================ Training Loss (Wed Mar 11 09:41:46 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.253, data: 0.198) , G_GAN: 0.594, G_L1: 1.046, G_delta_bg: 0.485, G_delta: 15.618, G_grad: 1.140, G_delta_grad: 1.069, G_lap: 0.706, G_ssim: 0.484, G_stats: 0.064, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.180, D_fake: 0.235

[Rank 0] (epoch: 1, iters: 200, time: 0.246, data: 0.197) , G_GAN: 0.836, G_L1: 1.103, G_delta_bg: 0.387, G_delta: 13.865, G_grad: 0.280, G_delta_grad: 0.216, G_lap: 0.196, G_ssim: 0.409, G_stats: 0.082, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.087, D_fake: 0.084

[Rank 0] (epoch: 2, iters: 60, time: 0.246, data: 0.264) , G_GAN: 0.986, G_L1: 5.694, G_delta_bg: 0.335, G_delta: 58.001, G_grad: 2.215, G_delta_grad: 1.568, G_lap: 0.397, G_ssim: 1.414, G_stats: 0.595, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.087, D_fake: 0.061

[Rank 0] (epoch: 2, iters: 160, time: 0.758, data: 0.262) , G_GAN: 0.999, G_L1: 2.098, G_delta_bg: 0.280, G_delta: 31.696, G_grad: 1.180, G_delta_grad: 0.968, G_lap: 0.603, G_ssim: 0.583, G_stats: 0.182, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.030, D_fake: 0.029

[Rank 0] (epoch: 3, iters: 20, time: 0.259, data: 0.204) , G_GAN: 0.991, G_L1: 2.282, G_delta_bg: 0.265, G_delta: 29.715, G_grad: 1.190, G_delta_grad: 0.925, G_lap: 0.570, G_ssim: 0.689, G_stats: 0.256, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.058, D_fake: 0.023

[Rank 0] (epoch: 3, iters: 120, time: 0.248, data: 0.435) , G_GAN: 0.973, G_L1: 1.023, G_delta_bg: 0.239, G_delta: 13.932, G_grad: 0.282, G_delta_grad: 0.254, G_lap: 0.165, G_ssim: 0.385, G_stats: 0.087, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.035, D_fake: 0.023

[Rank 0] (epoch: 3, iters: 220, time: 0.256, data: 0.407) , G_GAN: 0.997, G_L1: 1.881, G_delta_bg: 0.248, G_delta: 25.649, G_grad: 1.201, G_delta_grad: 0.933, G_lap: 0.584, G_ssim: 0.672, G_stats: 0.198, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.017, D_fake: 0.010

[Rank 0] (epoch: 4, iters: 80, time: 0.757, data: 0.259) , G_GAN: 0.997, G_L1: 5.154, G_delta_bg: 0.244, G_delta: 58.600, G_grad: 1.880, G_delta_grad: 1.605, G_lap: 0.393, G_ssim: 1.414, G_stats: 0.452, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.025, D_fake: 0.015

[Rank 0] (epoch: 4, iters: 180, time: 0.249, data: 0.385) , G_GAN: 0.969, G_L1: 0.965, G_delta_bg: 0.225, G_delta: 11.222, G_grad: 0.289, G_delta_grad: 0.221, G_lap: 0.182, G_ssim: 0.423, G_stats: 0.029, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.015, D_fake: 0.007

[Rank 0] (epoch: 5, iters: 40, time: 0.246, data: 0.195) , G_GAN: 1.051, G_L1: 0.899, G_delta_bg: 0.228, G_delta: 10.344, G_grad: 0.262, G_delta_grad: 0.194, G_lap: 0.183, G_ssim: 0.379, G_stats: 0.032, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.022, D_fake: 0.018

[Rank 0] (epoch: 5, iters: 140, time: 0.246, data: 0.224) , G_GAN: 1.031, G_L1: 2.998, G_delta_bg: 0.215, G_delta: 27.347, G_grad: 0.235, G_delta_grad: 0.117, G_lap: 0.188, G_ssim: 0.506, G_stats: 0.280, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.011

[Rank 0] (epoch: 5, iters: 240, time: 0.666, data: 0.261) , G_GAN: 0.000, G_L1: 1.053, G_delta_bg: 0.207, G_delta: 11.598, G_grad: 0.268, G_delta_grad: 0.165, G_lap: 0.123, G_ssim: 0.318, G_stats: 0.028, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 6, iters: 100, time: 0.252, data: 0.285) , G_GAN: 0.974, G_L1: 4.402, G_delta_bg: 0.211, G_delta: 39.685, G_grad: 0.184, G_delta_grad: 0.057, G_lap: 0.191, G_ssim: 0.570, G_stats: 0.469, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.010, D_fake: 0.007

[Rank 0] (epoch: 6, iters: 200, time: 0.138, data: 0.269) , G_GAN: 0.000, G_L1: 1.240, G_delta_bg: 0.222, G_delta: 14.994, G_grad: 0.342, G_delta_grad: 0.235, G_lap: 0.129, G_ssim: 0.407, G_stats: 0.071, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 7, iters: 60, time: 0.248, data: 0.227) , G_GAN: 1.009, G_L1: 5.672, G_delta_bg: 0.240, G_delta: 57.160, G_grad: 1.390, G_delta_grad: 0.990, G_lap: 0.358, G_ssim: 1.316, G_stats: 0.604, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.015, D_fake: 0.011

[Rank 0] (epoch: 7, iters: 160, time: 0.773, data: 0.205) , G_GAN: 1.017, G_L1: 4.423, G_delta_bg: 0.210, G_delta: 39.835, G_grad: 0.181, G_delta_grad: 0.063, G_lap: 0.179, G_ssim: 0.559, G_stats: 0.474, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.016

[Rank 0] (epoch: 8, iters: 20, time: 0.246, data: 0.438) , G_GAN: 0.885, G_L1: 1.005, G_delta_bg: 0.209, G_delta: 12.247, G_grad: 0.266, G_delta_grad: 0.198, G_lap: 0.172, G_ssim: 0.394, G_stats: 0.056, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.019, D_fake: 0.017

[Rank 0] (epoch: 8, iters: 120, time: 0.249, data: 0.265) , G_GAN: 0.963, G_L1: 4.238, G_delta_bg: 0.220, G_delta: 36.659, G_grad: 0.197, G_delta_grad: 0.068, G_lap: 0.189, G_ssim: 0.580, G_stats: 0.427, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.010, D_fake: 0.008

[Rank 0] (epoch: 8, iters: 220, time: 0.252, data: 0.204) , G_GAN: 1.056, G_L1: 2.243, G_delta_bg: 0.240, G_delta: 29.306, G_grad: 1.133, G_delta_grad: 0.866, G_lap: 0.540, G_ssim: 0.675, G_stats: 0.243, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.036, D_fake: 0.035

[Rank 0] (epoch: 9, iters: 80, time: 0.788, data: 0.218) , G_GAN: 0.977, G_L1: 0.790, G_delta_bg: 0.222, G_delta: 10.240, G_grad: 0.307, G_delta_grad: 0.248, G_lap: 0.178, G_ssim: 0.374, G_stats: 0.062, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.013, D_fake: 0.007

[Rank 0] (epoch: 9, iters: 180, time: 0.248, data: 0.365) , G_GAN: 1.011, G_L1: 0.929, G_delta_bg: 0.207, G_delta: 10.816, G_grad: 0.285, G_delta_grad: 0.198, G_lap: 0.194, G_ssim: 0.408, G_stats: 0.006, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.005

[Rank 0] (epoch: 10, iters: 40, time: 0.248, data: 0.223) , G_GAN: 1.065, G_L1: 1.185, G_delta_bg: 0.209, G_delta: 14.859, G_grad: 0.275, G_delta_grad: 0.206, G_lap: 0.171, G_ssim: 0.407, G_stats: 0.091, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.015, D_fake: 0.013

================ Training Loss (Wed Mar 11 10:04:14 2026) ================
================ Training Loss (Wed Mar 11 10:07:04 2026) ================
