================ Training Loss (Wed Mar 11 13:47:59 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.245, data: 0.237) , G_GAN: 0.830, G_L1: 2.274, G_delta_bg: 0.612, G_delta: 21.981, G_grad: 0.937, G_delta_grad: 0.859, G_lap: 0.618, G_ssim: 0.490, G_stats: 0.327, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.301, D_fake: 0.314

[Rank 0] (epoch: 1, iters: 200, time: 0.246, data: 0.321) , G_GAN: 0.886, G_L1: 2.623, G_delta_bg: 0.538, G_delta: 27.407, G_grad: 0.425, G_delta_grad: 0.348, G_lap: 0.362, G_ssim: 0.439, G_stats: 0.366, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.214, D_fake: 0.121

[Rank 0] (epoch: 2, iters: 60, time: 0.248, data: 0.307) , G_GAN: 0.917, G_L1: 6.275, G_delta_bg: 0.485, G_delta: 50.670, G_grad: 0.323, G_delta_grad: 0.159, G_lap: 0.419, G_ssim: 0.547, G_stats: 0.744, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.051, D_fake: 0.051

[Rank 0] (epoch: 2, iters: 160, time: 0.751, data: 0.264) , G_GAN: 0.974, G_L1: 4.134, G_delta_bg: 0.614, G_delta: 27.873, G_grad: 0.892, G_delta_grad: 0.130, G_lap: 0.566, G_ssim: 0.898, G_stats: 0.450, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.034, D_fake: 0.027

[Rank 0] (epoch: 3, iters: 20, time: 0.146, data: 0.395) , G_GAN: 0.000, G_L1: 3.724, G_delta_bg: 0.494, G_delta: 34.219, G_grad: 0.276, G_delta_grad: 0.156, G_lap: 0.210, G_ssim: 0.301, G_stats: 0.462, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 3, iters: 120, time: 0.138, data: 0.239) , G_GAN: 0.000, G_L1: 0.687, G_delta_bg: 0.515, G_delta: 7.516, G_grad: 0.402, G_delta_grad: 0.277, G_lap: 0.314, G_ssim: 0.242, G_stats: 0.119, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000
