================ Training Loss (Thu Mar 12 09:42:57 2026) ================
================ Training Loss (Thu Mar 12 09:44:40 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.272, data: 0.195) , G_GAN: 0.577, G_L1: 3.495, G_delta_bg: 0.551, G_delta: 39.884, G_grad: 0.354, G_delta_grad: 0.239, G_lap: 0.823, G_ssim: 0.557, G_stats: 0.522, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.170, D_fake: 0.199

[Rank 0] (epoch: 1, iters: 200, time: 0.145, data: 0.224) , G_GAN: 0.000, G_L1: 2.817, G_delta_bg: 0.504, G_delta: 39.960, G_grad: 0.309, G_delta_grad: 0.310, G_lap: 0.425, G_ssim: 0.385, G_stats: 0.395, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 2, iters: 60, time: 0.262, data: 0.217) , G_GAN: 1.024, G_L1: 1.316, G_delta_bg: 0.592, G_delta: 21.604, G_grad: 1.407, G_delta_grad: 1.805, G_lap: 1.347, G_ssim: 0.518, G_stats: 0.207, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.050, D_fake: 0.043

[Rank 0] (epoch: 2, iters: 160, time: 0.788, data: 0.366) , G_GAN: 1.018, G_L1: 0.638, G_delta_bg: 0.570, G_delta: 9.972, G_grad: 1.056, G_delta_grad: 1.150, G_lap: 1.635, G_ssim: 0.368, G_stats: 0.057, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.121, D_fake: 0.162

[Rank 0] (epoch: 3, iters: 20, time: 0.263, data: 0.185) , G_GAN: 1.024, G_L1: 0.986, G_delta_bg: 0.548, G_delta: 14.095, G_grad: 1.054, G_delta_grad: 1.008, G_lap: 1.302, G_ssim: 0.288, G_stats: 0.189, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.025, D_fake: 0.019

[Rank 0] (epoch: 3, iters: 120, time: 0.140, data: 0.184) , G_GAN: 0.000, G_L1: 1.095, G_delta_bg: 0.511, G_delta: 14.665, G_grad: 1.019, G_delta_grad: 0.953, G_lap: 1.065, G_ssim: 0.358, G_stats: 0.237, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 3, iters: 220, time: 0.150, data: 0.432) , G_GAN: 0.000, G_L1: 1.233, G_delta_bg: 0.498, G_delta: 17.836, G_grad: 1.633, G_delta_grad: 1.964, G_lap: 1.386, G_ssim: 0.313, G_stats: 0.212, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 4, iters: 80, time: 0.672, data: 0.183) , G_GAN: 0.000, G_L1: 3.000, G_delta_bg: 0.433, G_delta: 34.334, G_grad: 0.738, G_delta_grad: 0.169, G_lap: 0.761, G_ssim: 0.675, G_stats: 0.469, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 4, iters: 180, time: 0.267, data: 0.764) , G_GAN: 0.959, G_L1: 0.888, G_delta_bg: 0.382, G_delta: 14.574, G_grad: 0.416, G_delta_grad: 0.442, G_lap: 0.408, G_ssim: 0.391, G_stats: 0.122, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.022, D_fake: 0.013

[Rank 0] (epoch: 5, iters: 40, time: 0.275, data: 0.380) , G_GAN: 0.968, G_L1: 2.844, G_delta_bg: 0.359, G_delta: 32.055, G_grad: 0.265, G_delta_grad: 0.193, G_lap: 0.380, G_ssim: 0.329, G_stats: 0.413, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.035, D_fake: 0.038

