================ Training Loss (Tue Mar 10 15:37:06 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.266, data: 0.170) , G_GAN: 0.691, G_L1: 4.400, G_delta_bg: 0.377, G_delta: 121.352, G_grad: 4.084, G_delta_grad: 5.092, G_lap: 1.185, G_ssim: 1.896, G_stats: 1.127, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.251, D_fake: 0.233

[Rank 0] (epoch: 1, iters: 200, time: 0.246, data: 0.211) , G_GAN: 0.825, G_L1: 0.643, G_delta_bg: 0.313, G_delta: 19.915, G_grad: 0.524, G_delta_grad: 0.622, G_lap: 0.390, G_ssim: 0.510, G_stats: 0.013, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.079, D_fake: 0.055

[Rank 0] (epoch: 2, iters: 60, time: 0.246, data: 0.192) , G_GAN: 0.998, G_L1: 2.304, G_delta_bg: 0.269, G_delta: 77.688, G_grad: 2.424, G_delta_grad: 3.573, G_lap: 0.867, G_ssim: 0.928, G_stats: 0.583, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.071, D_fake: 0.041

[Rank 0] (epoch: 2, iters: 160, time: 0.652, data: 0.202) , G_GAN: 0.000, G_L1: 4.478, G_delta_bg: 0.241, G_delta: 120.897, G_grad: 3.778, G_delta_grad: 4.981, G_lap: 0.977, G_ssim: 1.862, G_stats: 1.141, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 3, iters: 20, time: 0.248, data: 0.407) , G_GAN: 1.067, G_L1: 4.398, G_delta_bg: 0.214, G_delta: 120.779, G_grad: 3.071, G_delta_grad: 3.936, G_lap: 0.887, G_ssim: 1.848, G_stats: 1.137, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.070, D_fake: 0.051

[Rank 0] (epoch: 3, iters: 120, time: 0.246, data: 0.185) , G_GAN: 1.015, G_L1: 4.561, G_delta_bg: 0.197, G_delta: 127.942, G_grad: 4.085, G_delta_grad: 5.239, G_lap: 0.734, G_ssim: 1.894, G_stats: 1.172, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.019, D_fake: 0.014

[Rank 0] (epoch: 3, iters: 220, time: 0.139, data: 0.171) , G_GAN: 0.000, G_L1: 0.718, G_delta_bg: 0.153, G_delta: 22.368, G_grad: 0.475, G_delta_grad: 0.541, G_lap: 0.247, G_ssim: 0.414, G_stats: 0.048, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 4, iters: 80, time: 0.679, data: 0.173) , G_GAN: 0.000, G_L1: 2.948, G_delta_bg: 0.157, G_delta: 67.098, G_grad: 0.257, G_delta_grad: 0.275, G_lap: 0.151, G_ssim: 0.416, G_stats: 0.705, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 4, iters: 180, time: 0.252, data: 0.159) , G_GAN: 1.061, G_L1: 1.267, G_delta_bg: 0.167, G_delta: 33.784, G_grad: 0.439, G_delta_grad: 0.497, G_lap: 0.358, G_ssim: 0.540, G_stats: 0.172, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.027, D_fake: 0.012

[Rank 0] (epoch: 5, iters: 40, time: 0.146, data: 0.201) , G_GAN: 0.000, G_L1: 3.345, G_delta_bg: 0.162, G_delta: 80.583, G_grad: 0.245, G_delta_grad: 0.313, G_lap: 0.145, G_ssim: 0.469, G_stats: 0.885, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 5, iters: 140, time: 0.246, data: 0.199) , G_GAN: 0.987, G_L1: 3.400, G_delta_bg: 0.164, G_delta: 82.244, G_grad: 0.308, G_delta_grad: 0.197, G_lap: 0.345, G_ssim: 0.698, G_stats: 0.897, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.018, D_fake: 0.017

[Rank 0] (epoch: 5, iters: 240, time: 0.671, data: 0.228) , G_GAN: 0.000, G_L1: 0.908, G_delta_bg: 0.161, G_delta: 29.097, G_grad: 0.503, G_delta_grad: 0.695, G_lap: 0.232, G_ssim: 0.522, G_stats: 0.142, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 6, iters: 100, time: 0.246, data: 0.227) , G_GAN: 1.013, G_L1: 1.143, G_delta_bg: 0.170, G_delta: 40.958, G_grad: 0.488, G_delta_grad: 0.833, G_lap: 0.361, G_ssim: 0.592, G_stats: 0.240, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.028, D_fake: 0.024

[Rank 0] (epoch: 6, iters: 200, time: 0.144, data: 0.206) , G_GAN: 0.000, G_L1: 0.708, G_delta_bg: 0.165, G_delta: 22.302, G_grad: 0.458, G_delta_grad: 0.530, G_lap: 0.270, G_ssim: 0.421, G_stats: 0.032, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 7, iters: 60, time: 0.146, data: 0.207) , G_GAN: 0.000, G_L1: 1.986, G_delta_bg: 0.156, G_delta: 50.371, G_grad: 0.354, G_delta_grad: 0.381, G_lap: 0.187, G_ssim: 0.455, G_stats: 0.412, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 7, iters: 160, time: 0.786, data: 0.198) , G_GAN: 1.041, G_L1: 0.923, G_delta_bg: 0.168, G_delta: 29.081, G_grad: 0.532, G_delta_grad: 0.736, G_lap: 0.376, G_ssim: 0.575, G_stats: 0.108, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.011, D_fake: 0.007

[Rank 0] (epoch: 8, iters: 20, time: 0.140, data: 0.219) , G_GAN: 0.000, G_L1: 1.511, G_delta_bg: 0.183, G_delta: 49.122, G_grad: 1.313, G_delta_grad: 1.804, G_lap: 0.598, G_ssim: 0.858, G_stats: 0.362, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 8, iters: 120, time: 0.269, data: 0.523) , G_GAN: 1.045, G_L1: 3.380, G_delta_bg: 0.163, G_delta: 82.294, G_grad: 0.333, G_delta_grad: 0.196, G_lap: 0.373, G_ssim: 0.749, G_stats: 0.886, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.004

[Rank 0] (epoch: 8, iters: 220, time: 0.246, data: 0.213) , G_GAN: 0.983, G_L1: 4.379, G_delta_bg: 0.184, G_delta: 116.776, G_grad: 3.197, G_delta_grad: 5.256, G_lap: 0.946, G_ssim: 1.891, G_stats: 0.930, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.023, D_fake: 0.020

[Rank 0] (epoch: 9, iters: 80, time: 0.774, data: 0.209) , G_GAN: 0.974, G_L1: 0.814, G_delta_bg: 0.165, G_delta: 26.649, G_grad: 0.485, G_delta_grad: 0.700, G_lap: 0.375, G_ssim: 0.538, G_stats: 0.122, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.009, D_fake: 0.004

[Rank 0] (epoch: 9, iters: 180, time: 0.250, data: 0.204) , G_GAN: 0.941, G_L1: 1.090, G_delta_bg: 0.164, G_delta: 37.896, G_grad: 0.550, G_delta_grad: 0.836, G_lap: 0.373, G_ssim: 0.623, G_stats: 0.214, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.101, D_fake: 0.067

[Rank 0] (epoch: 10, iters: 40, time: 0.250, data: 0.196) , G_GAN: 1.064, G_L1: 0.843, G_delta_bg: 0.162, G_delta: 26.465, G_grad: 0.536, G_delta_grad: 0.767, G_lap: 0.378, G_ssim: 0.548, G_stats: 0.157, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.019, D_fake: 0.007

[Rank 0] (epoch: 10, iters: 140, time: 0.249, data: 0.231) , G_GAN: 0.997, G_L1: 0.695, G_delta_bg: 0.159, G_delta: 21.369, G_grad: 0.513, G_delta_grad: 0.639, G_lap: 0.388, G_ssim: 0.515, G_stats: 0.032, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.017, D_fake: 0.018

[Rank 0] (epoch: 10, iters: 240, time: 0.762, data: 0.203) , G_GAN: 1.010, G_L1: 2.499, G_delta_bg: 0.183, G_delta: 86.909, G_grad: 4.353, G_delta_grad: 5.952, G_lap: 1.535, G_ssim: 1.803, G_stats: 0.495, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.033, D_fake: 0.039

[Rank 0] (epoch: 11, iters: 100, time: 0.246, data: 0.199) , G_GAN: 1.011, G_L1: 1.143, G_delta_bg: 0.167, G_delta: 40.956, G_grad: 0.488, G_delta_grad: 0.833, G_lap: 0.361, G_ssim: 0.592, G_stats: 0.240, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.022, D_fake: 0.015

[Rank 0] (epoch: 11, iters: 200, time: 0.137, data: 0.334) , G_GAN: 0.000, G_L1: 1.328, G_delta_bg: 0.183, G_delta: 47.259, G_grad: 2.366, G_delta_grad: 3.735, G_lap: 1.262, G_ssim: 0.640, G_stats: 0.278, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 12, iters: 60, time: 0.246, data: 0.237) , G_GAN: 1.000, G_L1: 3.402, G_delta_bg: 0.169, G_delta: 79.667, G_grad: 0.372, G_delta_grad: 0.245, G_lap: 0.380, G_ssim: 0.798, G_stats: 0.866, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.011, D_fake: 0.024

[Rank 0] (epoch: 12, iters: 160, time: 0.771, data: 0.167) , G_GAN: 0.972, G_L1: 3.545, G_delta_bg: 0.161, G_delta: 86.239, G_grad: 0.334, G_delta_grad: 0.263, G_lap: 0.373, G_ssim: 0.736, G_stats: 0.906, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.005

[Rank 0] (epoch: 13, iters: 20, time: 0.246, data: 0.209) , G_GAN: 0.998, G_L1: 4.459, G_delta_bg: 0.183, G_delta: 121.629, G_grad: 4.085, G_delta_grad: 5.103, G_lap: 1.212, G_ssim: 1.902, G_stats: 1.139, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.013, D_fake: 0.017

