================ Training Loss (Wed Mar  4 09:27:10 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.418, data: 0.181) , G_GAN: 0.423, G_L1: 5.124, D_real: 0.244, D_fake: 0.282

[Rank 0] (epoch: 1, iters: 200, time: 0.476, data: 0.003) , G_GAN: 0.438, G_L1: 4.257, D_real: 0.198, D_fake: 0.119

[Rank 0] (epoch: 2, iters: 60, time: 0.443, data: 0.003) , G_GAN: 0.550, G_L1: 4.085, D_real: 0.075, D_fake: 0.097

[Rank 0] (epoch: 2, iters: 160, time: 1.238, data: 0.003) , G_GAN: 0.516, G_L1: 3.805, D_real: 0.890, D_fake: 0.667

[Rank 0] (epoch: 3, iters: 20, time: 0.419, data: 0.005) , G_GAN: 0.264, G_L1: 3.322, D_real: 0.180, D_fake: 0.266

[Rank 0] (epoch: 3, iters: 120, time: 0.430, data: 0.003) , G_GAN: 0.796, G_L1: 4.180, D_real: 0.049, D_fake: 0.130

[Rank 0] (epoch: 3, iters: 220, time: 0.481, data: 0.004) , G_GAN: 0.298, G_L1: 3.878, D_real: 0.105, D_fake: 0.254

[Rank 0] (epoch: 4, iters: 80, time: 1.267, data: 0.004) , G_GAN: 0.837, G_L1: 4.198, D_real: 0.082, D_fake: 0.202

[Rank 0] (epoch: 4, iters: 180, time: 0.434, data: 0.004) , G_GAN: 0.383, G_L1: 3.373, D_real: 0.343, D_fake: 0.166

[Rank 0] (epoch: 5, iters: 40, time: 0.415, data: 0.004) , G_GAN: 0.973, G_L1: 4.653, D_real: 0.037, D_fake: 0.032

[Rank 0] (epoch: 5, iters: 140, time: 0.426, data: 0.004) , G_GAN: 0.591, G_L1: 3.540, D_real: 0.100, D_fake: 0.085

[Rank 0] (epoch: 5, iters: 240, time: 1.217, data: 0.004) , G_GAN: 0.632, G_L1: 3.638, D_real: 0.076, D_fake: 0.121

[Rank 0] (epoch: 6, iters: 100, time: 0.432, data: 0.206) , G_GAN: 0.353, G_L1: 4.250, D_real: 0.217, D_fake: 0.094

[Rank 0] (epoch: 6, iters: 200, time: 0.456, data: 0.004) , G_GAN: 0.894, G_L1: 3.263, D_real: 0.038, D_fake: 0.174

[Rank 0] (epoch: 7, iters: 60, time: 0.452, data: 0.004) , G_GAN: 0.748, G_L1: 2.829, D_real: 0.103, D_fake: 0.186

[Rank 0] (epoch: 7, iters: 160, time: 1.258, data: 0.006) , G_GAN: 0.597, G_L1: 3.962, D_real: 0.072, D_fake: 0.199

