================ Training Loss (Wed Mar  4 15:35:10 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.312, data: 0.199) , G_GAN: 0.930, G_L1: 27.857, G_delta_bg: 0.000, D_real: 0.067, D_fake: 0.060

[Rank 0] (epoch: 1, iters: 200, time: 0.307, data: 0.003) , G_GAN: 1.023, G_L1: 26.861, G_delta_bg: 0.000, D_real: 0.116, D_fake: 0.072

[Rank 0] (epoch: 2, iters: 60, time: 0.307, data: 0.004) , G_GAN: 0.963, G_L1: 26.562, G_delta_bg: 0.000, D_real: 0.018, D_fake: 0.017

[Rank 0] (epoch: 2, iters: 160, time: 1.076, data: 0.003) , G_GAN: 0.983, G_L1: 26.183, G_delta_bg: 0.000, D_real: 0.031, D_fake: 0.034

[Rank 0] (epoch: 3, iters: 20, time: 0.309, data: 0.003) , G_GAN: 0.979, G_L1: 27.459, G_delta_bg: 0.000, D_real: 0.013, D_fake: 0.010

[Rank 0] (epoch: 3, iters: 120, time: 0.307, data: 0.004) , G_GAN: 0.956, G_L1: 26.490, G_delta_bg: 0.000, D_real: 0.039, D_fake: 0.058

[Rank 0] (epoch: 3, iters: 220, time: 0.308, data: 0.004) , G_GAN: 1.028, G_L1: 26.991, G_delta_bg: 0.000, D_real: 0.007, D_fake: 0.004

[Rank 0] (epoch: 4, iters: 80, time: 1.056, data: 0.004) , G_GAN: 1.011, G_L1: 27.323, G_delta_bg: 0.000, D_real: 0.011, D_fake: 0.007

[Rank 0] (epoch: 4, iters: 180, time: 0.311, data: 0.004) , G_GAN: 0.979, G_L1: 27.327, G_delta_bg: 0.000, D_real: 0.007, D_fake: 0.004

[Rank 0] (epoch: 5, iters: 40, time: 0.308, data: 0.004) , G_GAN: 0.999, G_L1: 27.067, G_delta_bg: 0.000, D_real: 0.005, D_fake: 0.004

[Rank 0] (epoch: 5, iters: 140, time: 0.310, data: 0.004) , G_GAN: 0.991, G_L1: 27.222, G_delta_bg: 0.000, D_real: 0.007, D_fake: 0.004

[Rank 0] (epoch: 5, iters: 240, time: 1.073, data: 0.004) , G_GAN: 0.987, G_L1: 27.838, G_delta_bg: 0.000, D_real: 0.007, D_fake: 0.005

[Rank 0] (epoch: 6, iters: 100, time: 0.310, data: 0.227) , G_GAN: 0.959, G_L1: 25.910, G_delta_bg: 0.000, D_real: 0.005, D_fake: 0.003

[Rank 0] (epoch: 6, iters: 200, time: 0.307, data: 0.004) , G_GAN: 1.024, G_L1: 27.661, G_delta_bg: 0.000, D_real: 0.029, D_fake: 0.030

[Rank 0] (epoch: 7, iters: 60, time: 0.322, data: 0.004) , G_GAN: 0.993, G_L1: 26.290, G_delta_bg: 0.000, D_real: 0.004, D_fake: 0.005

[Rank 0] (epoch: 7, iters: 160, time: 1.086, data: 0.004) , G_GAN: 0.985, G_L1: 27.569, G_delta_bg: 0.000, D_real: 0.003, D_fake: 0.001

