================ Training Loss (Mon Mar  9 11:42:59 2026) ================
================ Training Loss (Mon Mar  9 11:46:15 2026) ================
================ Training Loss (Mon Mar  9 11:50:22 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.255, data: 0.447) , G_GAN: 0.555, G_L1: 1.474, G_delta_bg: 0.331, G_delta: 21.658, G_grad: 0.580, G_delta_grad: 0.564, G_lap: 2.611, G_ssim: 1.825, G_stats: 0.472, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.341, D_fake: 0.385

[Rank 0] (epoch: 1, iters: 200, time: 0.246, data: 0.234) , G_GAN: 1.008, G_L1: 1.936, G_delta_bg: 0.285, G_delta: 21.557, G_grad: 0.959, G_delta_grad: 0.832, G_lap: 7.917, G_ssim: 1.666, G_stats: 0.655, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.073, D_fake: 0.048

[Rank 0] (epoch: 2, iters: 60, time: 0.249, data: 0.100) , G_GAN: 1.103, G_L1: 2.070, G_delta_bg: 0.273, G_delta: 21.754, G_grad: 0.852, G_delta_grad: 0.895, G_lap: 12.344, G_ssim: 1.900, G_stats: 0.874, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.122, D_fake: 0.152

================ Training Loss (Mon Mar  9 12:01:24 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.108, data: 0.299) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.285, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.007, G_syn_mag: 0.092, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 1, iters: 200, time: 0.244, data: 0.161) , G_GAN: 0.852, G_L1: 2.265, G_delta_bg: 0.282, G_delta: 23.127, G_grad: 1.308, G_delta_grad: 1.053, G_lap: 13.696, G_ssim: 2.412, G_stats: 1.004, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.077, D_fake: 0.069

[Rank 0] (epoch: 2, iters: 60, time: 0.244, data: 0.407) , G_GAN: 0.898, G_L1: 1.276, G_delta_bg: 0.240, G_delta: 17.597, G_grad: 0.501, G_delta_grad: 0.516, G_lap: 1.218, G_ssim: 1.263, G_stats: 0.543, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.048, D_fake: 0.037

[Rank 0] (epoch: 2, iters: 160, time: 0.595, data: 0.296) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.182, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.006, G_syn_mag: 0.095, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 3, iters: 20, time: 0.244, data: 0.441) , G_GAN: 0.965, G_L1: 0.845, G_delta_bg: 0.243, G_delta: 13.218, G_grad: 0.573, G_delta_grad: 0.639, G_lap: 1.439, G_ssim: 1.292, G_stats: 0.291, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.025, D_fake: 0.015

[Rank 0] (epoch: 3, iters: 120, time: 0.243, data: 0.597) , G_GAN: 1.033, G_L1: 2.160, G_delta_bg: 0.260, G_delta: 25.419, G_grad: 0.821, G_delta_grad: 1.111, G_lap: 10.623, G_ssim: 1.592, G_stats: 0.760, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.042, D_fake: 0.046

[Rank 0] (epoch: 3, iters: 220, time: 0.264, data: 0.128) , G_GAN: 1.016, G_L1: 0.844, G_delta_bg: 0.231, G_delta: 10.999, G_grad: 0.482, G_delta_grad: 0.495, G_lap: 1.152, G_ssim: 1.109, G_stats: 0.359, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.018, D_fake: 0.016

[Rank 0] (epoch: 4, iters: 80, time: 0.565, data: 0.100) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.218, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.003, G_syn_mag: 0.100, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 4, iters: 180, time: 0.244, data: 0.211) , G_GAN: 1.204, G_L1: 1.948, G_delta_bg: 0.258, G_delta: 18.393, G_grad: 0.945, G_delta_grad: 0.681, G_lap: 13.125, G_ssim: 1.778, G_stats: 0.951, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.208, D_fake: 0.205

[Rank 0] (epoch: 5, iters: 40, time: 0.244, data: 0.166) , G_GAN: 0.987, G_L1: 1.819, G_delta_bg: 0.257, G_delta: 18.085, G_grad: 0.669, G_delta_grad: 0.719, G_lap: 12.072, G_ssim: 1.811, G_stats: 0.870, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.013, D_fake: 0.011

[Rank 0] (epoch: 5, iters: 140, time: 0.244, data: 0.166) , G_GAN: 0.948, G_L1: 0.698, G_delta_bg: 0.228, G_delta: 9.491, G_grad: 0.541, G_delta_grad: 0.529, G_lap: 1.100, G_ssim: 1.277, G_stats: 0.198, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.021, D_fake: 0.015

[Rank 0] (epoch: 5, iters: 240, time: 0.709, data: 0.100) , G_GAN: 1.102, G_L1: 1.164, G_delta_bg: 0.256, G_delta: 10.964, G_grad: 0.711, G_delta_grad: 0.586, G_lap: 7.573, G_ssim: 1.365, G_stats: 0.661, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.030, D_fake: 0.026

[Rank 0] (epoch: 6, iters: 100, time: 0.108, data: 0.170) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.164, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.004, G_syn_mag: 0.087, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 6, iters: 200, time: 0.253, data: 0.301) , G_GAN: 1.011, G_L1: 1.152, G_delta_bg: 0.231, G_delta: 19.024, G_grad: 0.545, G_delta_grad: 0.632, G_lap: 1.190, G_ssim: 1.344, G_stats: 0.440, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.035, D_fake: 0.044

[Rank 0] (epoch: 7, iters: 60, time: 0.108, data: 0.282) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.172, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.004, G_syn_mag: 0.091, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 7, iters: 160, time: 0.707, data: 0.187) , G_GAN: 1.000, G_L1: 0.793, G_delta_bg: 0.223, G_delta: 10.167, G_grad: 0.523, G_delta_grad: 0.487, G_lap: 1.071, G_ssim: 1.197, G_stats: 0.133, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.014

[Rank 0] (epoch: 8, iters: 20, time: 0.107, data: 0.098) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.154, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.005, G_syn_mag: 0.097, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 8, iters: 120, time: 0.110, data: 0.323) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.179, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.004, G_syn_mag: 0.090, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 8, iters: 220, time: 0.244, data: 0.099) , G_GAN: 1.017, G_L1: 0.723, G_delta_bg: 0.226, G_delta: 9.969, G_grad: 0.533, G_delta_grad: 0.533, G_lap: 1.078, G_ssim: 1.244, G_stats: 0.206, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.020, D_fake: 0.010

[Rank 0] (epoch: 9, iters: 80, time: 0.717, data: 0.174) , G_GAN: 0.997, G_L1: 0.878, G_delta_bg: 0.227, G_delta: 11.796, G_grad: 0.560, G_delta_grad: 0.546, G_lap: 1.144, G_ssim: 1.208, G_stats: 0.334, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.007, D_fake: 0.007

[Rank 0] (epoch: 9, iters: 180, time: 0.108, data: 0.099) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.224, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.003, G_syn_mag: 0.114, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 10, iters: 40, time: 0.244, data: 0.101) , G_GAN: 1.014, G_L1: 0.829, G_delta_bg: 0.230, G_delta: 11.694, G_grad: 0.531, G_delta_grad: 0.578, G_lap: 1.175, G_ssim: 1.233, G_stats: 0.210, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.015, D_fake: 0.011

[Rank 0] (epoch: 10, iters: 140, time: 0.246, data: 0.210) , G_GAN: 1.017, G_L1: 1.099, G_delta_bg: 0.254, G_delta: 10.191, G_grad: 0.637, G_delta_grad: 0.580, G_lap: 7.215, G_ssim: 1.122, G_stats: 0.650, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.004

[Rank 0] (epoch: 10, iters: 240, time: 0.573, data: 0.165) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.227, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.002, G_syn_mag: 0.109, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 11, iters: 100, time: 0.245, data: 0.202) , G_GAN: 1.000, G_L1: 1.741, G_delta_bg: 0.255, G_delta: 16.846, G_grad: 0.627, G_delta_grad: 0.430, G_lap: 12.097, G_ssim: 1.625, G_stats: 0.864, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.010, D_fake: 0.006

[Rank 0] (epoch: 11, iters: 200, time: 0.244, data: 0.255) , G_GAN: 1.024, G_L1: 1.120, G_delta_bg: 0.254, G_delta: 10.701, G_grad: 0.736, G_delta_grad: 0.568, G_lap: 6.660, G_ssim: 1.191, G_stats: 0.625, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.014, D_fake: 0.010

[Rank 0] (epoch: 12, iters: 60, time: 0.286, data: 0.177) , G_GAN: 1.041, G_L1: 1.183, G_delta_bg: 0.254, G_delta: 10.998, G_grad: 0.643, G_delta_grad: 0.563, G_lap: 8.038, G_ssim: 1.262, G_stats: 0.678, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.037, D_fake: 0.029

[Rank 0] (epoch: 12, iters: 160, time: 0.718, data: 0.220) , G_GAN: 0.974, G_L1: 0.598, G_delta_bg: 0.222, G_delta: 7.630, G_grad: 0.479, G_delta_grad: 0.468, G_lap: 0.996, G_ssim: 1.011, G_stats: 0.155, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.075, D_fake: 0.073

[Rank 0] (epoch: 13, iters: 20, time: 0.267, data: 0.228) , G_GAN: 1.008, G_L1: 1.141, G_delta_bg: 0.255, G_delta: 10.783, G_grad: 0.604, G_delta_grad: 0.507, G_lap: 8.184, G_ssim: 1.229, G_stats: 0.675, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.017, D_fake: 0.014

