================ Training Loss (Wed Mar 18 15:52:45 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.329, data: 0.457) , G_GAN: 0.239, G_L1: 75.032, G_grad: 0.454, G_lap: 0.900, G_ssim: 1.964, G_stats: 1.163, D_real: 0.309, D_fake: 0.190

[Rank 0] (epoch: 2, iters: 27, time: 0.335, data: 0.006) , G_GAN: 0.935, G_L1: 28.463, G_grad: 0.263, G_lap: 0.636, G_ssim: 0.894, G_stats: 0.548, D_real: 0.105, D_fake: 0.079

[Rank 0] (epoch: 2, iters: 127, time: 0.328, data: 0.004) , G_GAN: 0.297, G_L1: 93.966, G_grad: 0.395, G_lap: 0.676, G_ssim: 1.927, G_stats: 1.504, D_real: 0.064, D_fake: 0.050

[Rank 0] (epoch: 3, iters: 54, time: 0.682, data: 0.010) , G_GAN: 1.017, G_L1: 20.321, G_grad: 0.312, G_lap: 0.562, G_ssim: 0.920, G_stats: 0.599, D_real: 0.080, D_fake: 0.056

[Rank 0] (epoch: 3, iters: 154, time: 0.329, data: 0.005) , G_GAN: 0.893, G_L1: 7.441, G_grad: 0.198, G_lap: 0.359, G_ssim: 0.454, G_stats: 0.049, D_real: 0.029, D_fake: 0.030

[Rank 0] (epoch: 4, iters: 81, time: 0.326, data: 0.005) , G_GAN: 0.954, G_L1: 8.313, G_grad: 0.245, G_lap: 0.442, G_ssim: 0.610, G_stats: 0.307, D_real: 0.029, D_fake: 0.025

[Rank 0] (epoch: 5, iters: 8, time: 0.339, data: 0.005) , G_GAN: 0.867, G_L1: 10.876, G_grad: 0.224, G_lap: 0.393, G_ssim: 0.681, G_stats: 0.452, D_real: 0.038, D_fake: 0.017

================ Training Loss (Wed Mar 18 15:57:49 2026) ================
================ Training Loss (Wed Mar 18 16:02:41 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.328, data: 0.296) , G_GAN: 0.180, G_L1: 65.019, G_grad: 0.412, G_lap: 0.893, G_ssim: 1.841, G_stats: 1.037, D_real: 0.347, D_fake: 0.275

