================ Training Loss (Thu Apr  9 07:46:10 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.350, data: 0.464) , G_GAN: 0.110, G_L1: 0.919, G_grad: 0.087, G_lap: 0.134, G_ssim: 0.076, G_stats: 0.030, D_real: 0.178, D_fake: 0.135

[Rank 0] (epoch: 1, iters: 200, time: 0.327, data: 0.004) , G_GAN: 0.804, G_L1: 0.977, G_grad: 0.198, G_lap: 0.182, G_ssim: 0.244, G_stats: 0.004, D_real: 0.214, D_fake: 0.022

[Rank 0] (epoch: 1, iters: 300, time: 0.328, data: 0.005) , G_GAN: 0.910, G_L1: 0.922, G_grad: 0.193, G_lap: 0.182, G_ssim: 0.245, G_stats: 0.011, D_real: 0.008, D_fake: 0.027

[Rank 0] (epoch: 2, iters: 42, time: 0.582, data: 0.004) , G_GAN: 0.158, G_L1: 0.668, G_grad: 0.089, G_lap: 0.133, G_ssim: 0.080, G_stats: 0.020, D_real: 0.309, D_fake: 0.016

[Rank 0] (epoch: 2, iters: 142, time: 0.330, data: 0.004) , G_GAN: 0.140, G_L1: 0.904, G_grad: 0.093, G_lap: 0.147, G_ssim: 0.102, G_stats: 0.027, D_real: 0.060, D_fake: 0.104

[Rank 0] (epoch: 2, iters: 242, time: 0.330, data: 0.005) , G_GAN: 0.173, G_L1: 0.873, G_grad: 0.098, G_lap: 0.154, G_ssim: 0.104, G_stats: 0.026, D_real: 0.038, D_fake: 0.359

[Rank 0] (epoch: 2, iters: 342, time: 0.326, data: 0.005) , G_GAN: 0.132, G_L1: 0.786, G_grad: 0.093, G_lap: 0.150, G_ssim: 0.095, G_stats: 0.019, D_real: 0.334, D_fake: 0.060

[Rank 0] (epoch: 3, iters: 84, time: 0.679, data: 0.005) , G_GAN: 0.961, G_L1: 0.909, G_grad: 0.194, G_lap: 0.187, G_ssim: 0.256, G_stats: 0.003, D_real: 0.013, D_fake: 0.013

[Rank 0] (epoch: 3, iters: 184, time: 0.326, data: 0.005) , G_GAN: 1.046, G_L1: 0.944, G_grad: 0.198, G_lap: 0.189, G_ssim: 0.263, G_stats: 0.005, D_real: 0.032, D_fake: 0.023

[Rank 0] (epoch: 3, iters: 284, time: 0.328, data: 0.004) , G_GAN: 0.101, G_L1: 0.654, G_grad: 0.081, G_lap: 0.128, G_ssim: 0.071, G_stats: 0.003, D_real: 0.107, D_fake: 0.196

[Rank 0] (epoch: 4, iters: 26, time: 0.330, data: 0.005) , G_GAN: 0.954, G_L1: 0.878, G_grad: 0.184, G_lap: 0.166, G_ssim: 0.228, G_stats: 0.006, D_real: 0.038, D_fake: 0.013

[Rank 0] (epoch: 4, iters: 126, time: 0.678, data: 0.005) , G_GAN: 1.197, G_L1: 0.857, G_grad: 0.170, G_lap: 0.161, G_ssim: 0.214, G_stats: 0.007, D_real: 0.043, D_fake: 0.033

[Rank 0] (epoch: 4, iters: 226, time: 0.325, data: 0.004) , G_GAN: 0.106, G_L1: 0.735, G_grad: 0.092, G_lap: 0.136, G_ssim: 0.084, G_stats: 0.004, D_real: 0.229, D_fake: 0.198

[Rank 0] (epoch: 4, iters: 326, time: 0.330, data: 0.006) , G_GAN: 0.089, G_L1: 1.046, G_grad: 0.095, G_lap: 0.139, G_ssim: 0.097, G_stats: 0.065, D_real: 0.083, D_fake: 0.279

[Rank 0] (epoch: 5, iters: 68, time: 0.327, data: 0.005) , G_GAN: 0.085, G_L1: 0.764, G_grad: 0.086, G_lap: 0.128, G_ssim: 0.088, G_stats: 0.013, D_real: 0.049, D_fake: 0.206

[Rank 0] (epoch: 5, iters: 168, time: 0.602, data: 0.005) , G_GAN: 0.182, G_L1: 0.994, G_grad: 0.107, G_lap: 0.154, G_ssim: 0.110, G_stats: 0.020, D_real: 0.017, D_fake: 0.200

[Rank 0] (epoch: 5, iters: 268, time: 0.327, data: 0.004) , G_GAN: 0.077, G_L1: 0.579, G_grad: 0.079, G_lap: 0.127, G_ssim: 0.072, G_stats: 0.015, D_real: 0.054, D_fake: 0.460

[Rank 0] (epoch: 6, iters: 10, time: 0.326, data: 0.005) , G_GAN: 0.104, G_L1: 0.672, G_grad: 0.087, G_lap: 0.140, G_ssim: 0.075, G_stats: 0.014, D_real: 0.137, D_fake: 0.217

[Rank 0] (epoch: 6, iters: 110, time: 0.328, data: 0.005) , G_GAN: 0.078, G_L1: 0.745, G_grad: 0.083, G_lap: 0.123, G_ssim: 0.077, G_stats: 0.012, D_real: 0.063, D_fake: 0.489

[Rank 0] (epoch: 6, iters: 210, time: 0.671, data: 0.005) , G_GAN: 0.992, G_L1: 0.928, G_grad: 0.185, G_lap: 0.167, G_ssim: 0.232, G_stats: 0.015, D_real: 0.024, D_fake: 0.026

[Rank 0] (epoch: 6, iters: 310, time: 0.329, data: 0.005) , G_GAN: 0.079, G_L1: 0.643, G_grad: 0.089, G_lap: 0.131, G_ssim: 0.079, G_stats: 0.015, D_real: 0.238, D_fake: 0.161

[Rank 0] (epoch: 7, iters: 52, time: 0.330, data: 0.005) , G_GAN: 0.442, G_L1: 0.963, G_grad: 0.206, G_lap: 0.194, G_ssim: 0.277, G_stats: 0.003, D_real: 0.044, D_fake: 0.432

[Rank 0] (epoch: 7, iters: 152, time: 0.327, data: 0.005) , G_GAN: 0.100, G_L1: 0.930, G_grad: 0.087, G_lap: 0.140, G_ssim: 0.097, G_stats: 0.018, D_real: 0.081, D_fake: 0.245

[Rank 0] (epoch: 7, iters: 252, time: 0.684, data: 0.005) , G_GAN: 0.842, G_L1: 1.025, G_grad: 0.191, G_lap: 0.182, G_ssim: 0.238, G_stats: 0.021, D_real: 0.072, D_fake: 0.015

[Rank 0] (epoch: 7, iters: 352, time: 0.326, data: 0.004) , G_GAN: 0.098, G_L1: 0.722, G_grad: 0.083, G_lap: 0.139, G_ssim: 0.081, G_stats: 0.005, D_real: 0.222, D_fake: 0.147

[Rank 0] (epoch: 8, iters: 94, time: 0.330, data: 0.005) , G_GAN: 0.083, G_L1: 0.872, G_grad: 0.097, G_lap: 0.142, G_ssim: 0.100, G_stats: 0.017, D_real: 0.227, D_fake: 0.209

[Rank 0] (epoch: 8, iters: 194, time: 0.327, data: 0.005) , G_GAN: 0.098, G_L1: 0.886, G_grad: 0.084, G_lap: 0.131, G_ssim: 0.084, G_stats: 0.011, D_real: 0.463, D_fake: 0.035

[Rank 0] (epoch: 8, iters: 294, time: 0.608, data: 0.005) , G_GAN: 0.104, G_L1: 0.704, G_grad: 0.098, G_lap: 0.158, G_ssim: 0.094, G_stats: 0.006, D_real: 0.220, D_fake: 0.133

[Rank 0] (epoch: 9, iters: 36, time: 0.327, data: 0.005) , G_GAN: 0.959, G_L1: 0.933, G_grad: 0.189, G_lap: 0.175, G_ssim: 0.256, G_stats: 0.003, D_real: 0.016, D_fake: 0.025

