================ Training Loss (Tue Apr 14 17:06:24 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.330, data: 0.406) , G_GAN: 0.344, G_L1: 1.131, G_grad: 0.173, G_lap: 0.200, G_ssim: 0.316, G_stats: 0.004, D_real: 0.198, D_fake: 0.193

[Rank 0] (epoch: 1, iters: 200, time: 0.329, data: 0.004) , G_GAN: 0.336, G_L1: 0.908, G_grad: 0.161, G_lap: 0.202, G_ssim: 0.284, G_stats: 0.004, D_real: 0.152, D_fake: 0.238

[Rank 0] (epoch: 1, iters: 300, time: 0.328, data: 0.004) , G_GAN: 0.308, G_L1: 0.924, G_grad: 0.157, G_lap: 0.199, G_ssim: 0.279, G_stats: 0.011, D_real: 0.211, D_fake: 0.176

[Rank 0] (epoch: 2, iters: 45, time: 0.753, data: 0.004) , G_GAN: 0.319, G_L1: 0.939, G_grad: 0.161, G_lap: 0.200, G_ssim: 0.298, G_stats: 0.004, D_real: 0.197, D_fake: 0.201

[Rank 0] (epoch: 2, iters: 145, time: 0.353, data: 0.005) , G_GAN: 0.298, G_L1: 1.144, G_grad: 0.178, G_lap: 0.205, G_ssim: 0.333, G_stats: 0.008, D_real: 0.243, D_fake: 0.155

[Rank 0] (epoch: 2, iters: 245, time: 0.334, data: 0.007) , G_GAN: 0.358, G_L1: 1.106, G_grad: 0.196, G_lap: 0.245, G_ssim: 0.389, G_stats: 0.003, D_real: 0.167, D_fake: 0.200

[Rank 0] (epoch: 2, iters: 345, time: 0.331, data: 0.005) , G_GAN: 0.367, G_L1: 1.272, G_grad: 0.186, G_lap: 0.233, G_ssim: 0.393, G_stats: 0.014, D_real: 0.180, D_fake: 0.171

[Rank 0] (epoch: 3, iters: 90, time: 0.741, data: 0.004) , G_GAN: 0.339, G_L1: 1.017, G_grad: 0.179, G_lap: 0.236, G_ssim: 0.357, G_stats: 0.004, D_real: 0.172, D_fake: 0.201

[Rank 0] (epoch: 3, iters: 190, time: 0.340, data: 0.005) , G_GAN: 0.313, G_L1: 1.170, G_grad: 0.188, G_lap: 0.232, G_ssim: 0.383, G_stats: 0.002, D_real: 0.246, D_fake: 0.171

[Rank 0] (epoch: 3, iters: 290, time: 0.336, data: 0.005) , G_GAN: 0.308, G_L1: 0.870, G_grad: 0.155, G_lap: 0.200, G_ssim: 0.284, G_stats: 0.002, D_real: 0.188, D_fake: 0.220

[Rank 0] (epoch: 4, iters: 35, time: 0.340, data: 0.005) , G_GAN: 0.300, G_L1: 1.035, G_grad: 0.172, G_lap: 0.204, G_ssim: 0.330, G_stats: 0.009, D_real: 0.225, D_fake: 0.196

[Rank 0] (epoch: 4, iters: 135, time: 0.752, data: 0.004) , G_GAN: 0.342, G_L1: 1.007, G_grad: 0.181, G_lap: 0.240, G_ssim: 0.363, G_stats: 0.004, D_real: 0.184, D_fake: 0.185

[Rank 0] (epoch: 4, iters: 235, time: 0.330, data: 0.005) , G_GAN: 0.311, G_L1: 0.864, G_grad: 0.156, G_lap: 0.199, G_ssim: 0.280, G_stats: 0.001, D_real: 0.190, D_fake: 0.202

[Rank 0] (epoch: 4, iters: 335, time: 0.334, data: 0.006) , G_GAN: 0.372, G_L1: 0.999, G_grad: 0.175, G_lap: 0.231, G_ssim: 0.343, G_stats: 0.001, D_real: 0.169, D_fake: 0.210

[Rank 0] (epoch: 5, iters: 80, time: 0.336, data: 0.004) , G_GAN: 0.326, G_L1: 1.039, G_grad: 0.172, G_lap: 0.204, G_ssim: 0.320, G_stats: 0.007, D_real: 0.157, D_fake: 0.239

[Rank 0] (epoch: 5, iters: 180, time: 0.730, data: 0.005) , G_GAN: 0.329, G_L1: 1.132, G_grad: 0.184, G_lap: 0.225, G_ssim: 0.365, G_stats: 0.004, D_real: 0.187, D_fake: 0.183

[Rank 0] (epoch: 5, iters: 280, time: 0.339, data: 0.005) , G_GAN: 0.354, G_L1: 1.216, G_grad: 0.199, G_lap: 0.242, G_ssim: 0.394, G_stats: 0.017, D_real: 0.197, D_fake: 0.162

[Rank 0] (epoch: 6, iters: 25, time: 0.326, data: 0.005) , G_GAN: 0.299, G_L1: 1.119, G_grad: 0.183, G_lap: 0.224, G_ssim: 0.357, G_stats: 0.005, D_real: 0.200, D_fake: 0.195

[Rank 0] (epoch: 6, iters: 125, time: 0.346, data: 0.006) , G_GAN: 0.316, G_L1: 1.009, G_grad: 0.178, G_lap: 0.226, G_ssim: 0.335, G_stats: 0.009, D_real: 0.214, D_fake: 0.200

[Rank 0] (epoch: 6, iters: 225, time: 0.733, data: 0.005) , G_GAN: 0.333, G_L1: 0.989, G_grad: 0.176, G_lap: 0.232, G_ssim: 0.350, G_stats: 0.001, D_real: 0.170, D_fake: 0.203

[Rank 0] (epoch: 6, iters: 325, time: 0.352, data: 0.005) , G_GAN: 0.331, G_L1: 1.072, G_grad: 0.167, G_lap: 0.198, G_ssim: 0.306, G_stats: 0.002, D_real: 0.230, D_fake: 0.158

[Rank 0] (epoch: 7, iters: 70, time: 0.330, data: 0.005) , G_GAN: 0.349, G_L1: 1.066, G_grad: 0.176, G_lap: 0.223, G_ssim: 0.344, G_stats: 0.004, D_real: 0.201, D_fake: 0.180

