================ Training Loss (Thu Apr 16 20:33:22 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.331, data: 0.479) , G_GAN: 0.332, G_L1: 0.882, G_grad: 0.157, G_lap: 0.229, G_ssim: 0.292, G_stats: 0.002, D_real: 0.207, D_fake: 0.173

[Rank 0] (epoch: 1, iters: 200, time: 0.329, data: 0.004) , G_GAN: 0.339, G_L1: 0.887, G_grad: 0.158, G_lap: 0.222, G_ssim: 0.291, G_stats: 0.005, D_real: 0.224, D_fake: 0.178

[Rank 0] (epoch: 1, iters: 300, time: 0.329, data: 0.004) , G_GAN: 0.282, G_L1: 0.818, G_grad: 0.147, G_lap: 0.213, G_ssim: 0.265, G_stats: 0.003, D_real: 0.226, D_fake: 0.204

[Rank 0] (epoch: 1, iters: 400, time: 0.598, data: 0.004) , G_GAN: 0.112, G_L1: 0.194, G_grad: 0.049, G_lap: 0.111, G_ssim: 0.038, G_stats: 0.009, D_real: 0.167, D_fake: 0.198

[Rank 0] (epoch: 2, iters: 28, time: 0.330, data: 0.006) , G_GAN: 0.150, G_L1: 0.594, G_grad: 0.086, G_lap: 0.149, G_ssim: 0.080, G_stats: 0.025, D_real: 0.073, D_fake: 0.236

[Rank 0] (epoch: 2, iters: 128, time: 0.333, data: 0.005) , G_GAN: 0.323, G_L1: 0.882, G_grad: 0.157, G_lap: 0.233, G_ssim: 0.292, G_stats: 0.006, D_real: 0.217, D_fake: 0.185

[Rank 0] (epoch: 2, iters: 228, time: 0.329, data: 0.005) , G_GAN: 0.277, G_L1: 0.817, G_grad: 0.147, G_lap: 0.214, G_ssim: 0.269, G_stats: 0.003, D_real: 0.198, D_fake: 0.233

[Rank 0] (epoch: 2, iters: 328, time: 0.601, data: 0.008) , G_GAN: 0.124, G_L1: 0.580, G_grad: 0.082, G_lap: 0.145, G_ssim: 0.088, G_stats: 0.002, D_real: 0.320, D_fake: 0.046

[Rank 0] (epoch: 2, iters: 428, time: 0.328, data: 0.005) , G_GAN: 0.284, G_L1: 0.862, G_grad: 0.153, G_lap: 0.210, G_ssim: 0.265, G_stats: 0.006, D_real: 0.187, D_fake: 0.211

[Rank 0] (epoch: 3, iters: 56, time: 0.330, data: 0.005) , G_GAN: 0.342, G_L1: 0.908, G_grad: 0.162, G_lap: 0.242, G_ssim: 0.320, G_stats: 0.003, D_real: 0.228, D_fake: 0.170

