================ Training Loss (Tue Apr 21 10:37:40 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.333, data: 0.435) , G_GAN: 0.311, G_L1: 0.621, G_grad: 0.097, G_lap: 0.089, G_ssim: 0.261, G_stats: 0.000, D_real: 0.169, D_fake: 0.230

[Rank 0] (epoch: 1, iters: 200, time: 0.325, data: 0.004) , G_GAN: 0.300, G_L1: 0.530, G_grad: 0.087, G_lap: 0.082, G_ssim: 0.212, G_stats: 0.000, D_real: 0.193, D_fake: 0.210

[Rank 0] (epoch: 1, iters: 300, time: 0.331, data: 0.006) , G_GAN: 0.157, G_L1: 0.211, G_grad: 0.022, G_lap: 0.016, G_ssim: 0.037, G_stats: 0.000, D_real: 0.233, D_fake: 0.212

[Rank 0] (epoch: 1, iters: 400, time: 0.743, data: 0.005) , G_GAN: 0.309, G_L1: 0.520, G_grad: 0.083, G_lap: 0.073, G_ssim: 0.187, G_stats: 0.000, D_real: 0.227, D_fake: 0.184

[Rank 0] (epoch: 2, iters: 28, time: 0.350, data: 0.006) , G_GAN: 0.295, G_L1: 0.468, G_grad: 0.077, G_lap: 0.071, G_ssim: 0.172, G_stats: 0.000, D_real: 0.186, D_fake: 0.215

[Rank 0] (epoch: 2, iters: 128, time: 0.332, data: 0.004) , G_GAN: 0.162, G_L1: 0.346, G_grad: 0.020, G_lap: 0.017, G_ssim: 0.045, G_stats: 0.000, D_real: 0.136, D_fake: 0.221

[Rank 0] (epoch: 2, iters: 228, time: 0.324, data: 0.008) , G_GAN: 0.323, G_L1: 0.549, G_grad: 0.089, G_lap: 0.083, G_ssim: 0.221, G_stats: 0.000, D_real: 0.193, D_fake: 0.198

[Rank 0] (epoch: 2, iters: 328, time: 0.715, data: 0.005) , G_GAN: 0.291, G_L1: 0.548, G_grad: 0.088, G_lap: 0.080, G_ssim: 0.211, G_stats: 0.000, D_real: 0.191, D_fake: 0.208

[Rank 0] (epoch: 2, iters: 428, time: 0.332, data: 0.005) , G_GAN: 0.150, G_L1: 0.034, G_grad: 0.007, G_lap: 0.007, G_ssim: 0.012, G_stats: 0.000, D_real: 0.220, D_fake: 0.218

[Rank 0] (epoch: 3, iters: 56, time: 0.339, data: 0.007) , G_GAN: 0.315, G_L1: 0.492, G_grad: 0.081, G_lap: 0.078, G_ssim: 0.191, G_stats: 0.000, D_real: 0.188, D_fake: 0.201

[Rank 0] (epoch: 3, iters: 156, time: 0.326, data: 0.004) , G_GAN: 0.182, G_L1: 0.204, G_grad: 0.025, G_lap: 0.021, G_ssim: 0.044, G_stats: 0.000, D_real: 0.211, D_fake: 0.174

[Rank 0] (epoch: 3, iters: 256, time: 0.524, data: 0.007) , G_GAN: 0.166, G_L1: 0.233, G_grad: 0.017, G_lap: 0.012, G_ssim: 0.029, G_stats: 0.000, D_real: 0.170, D_fake: 0.203

[Rank 0] (epoch: 3, iters: 356, time: 0.323, data: 0.005) , G_GAN: 0.301, G_L1: 0.575, G_grad: 0.092, G_lap: 0.085, G_ssim: 0.232, G_stats: 0.000, D_real: 0.225, D_fake: 0.169

[Rank 0] (epoch: 3, iters: 456, time: 0.322, data: 0.005) , G_GAN: 0.153, G_L1: 0.180, G_grad: 0.023, G_lap: 0.018, G_ssim: 0.037, G_stats: 0.000, D_real: 0.186, D_fake: 0.212

[Rank 0] (epoch: 4, iters: 84, time: 0.324, data: 0.006) , G_GAN: 0.304, G_L1: 0.468, G_grad: 0.077, G_lap: 0.070, G_ssim: 0.170, G_stats: 0.000, D_real: 0.180, D_fake: 0.233

[Rank 0] (epoch: 4, iters: 184, time: 0.716, data: 0.005) , G_GAN: 0.308, G_L1: 0.456, G_grad: 0.075, G_lap: 0.071, G_ssim: 0.173, G_stats: 0.000, D_real: 0.223, D_fake: 0.182

[Rank 0] (epoch: 4, iters: 284, time: 0.324, data: 0.005) , G_GAN: 0.320, G_L1: 0.468, G_grad: 0.076, G_lap: 0.071, G_ssim: 0.175, G_stats: 0.000, D_real: 0.246, D_fake: 0.162

[Rank 0] (epoch: 4, iters: 384, time: 0.329, data: 0.005) , G_GAN: 0.170, G_L1: 0.224, G_grad: 0.022, G_lap: 0.018, G_ssim: 0.047, G_stats: 0.000, D_real: 0.264, D_fake: 0.191

[Rank 0] (epoch: 5, iters: 12, time: 0.332, data: 0.006) , G_GAN: 0.170, G_L1: 0.032, G_grad: 0.007, G_lap: 0.007, G_ssim: 0.011, G_stats: 0.000, D_real: 0.264, D_fake: 0.165

[Rank 0] (epoch: 5, iters: 112, time: 0.549, data: 0.006) , G_GAN: 0.167, G_L1: 0.207, G_grad: 0.021, G_lap: 0.018, G_ssim: 0.036, G_stats: 0.000, D_real: 0.211, D_fake: 0.158

[Rank 0] (epoch: 5, iters: 212, time: 0.328, data: 0.006) , G_GAN: 0.177, G_L1: 0.385, G_grad: 0.021, G_lap: 0.016, G_ssim: 0.045, G_stats: 0.000, D_real: 0.220, D_fake: 0.183

[Rank 0] (epoch: 5, iters: 312, time: 0.327, data: 0.005) , G_GAN: 0.324, G_L1: 0.509, G_grad: 0.083, G_lap: 0.078, G_ssim: 0.194, G_stats: 0.000, D_real: 0.217, D_fake: 0.176

[Rank 0] (epoch: 5, iters: 412, time: 0.326, data: 0.005) , G_GAN: 0.174, G_L1: 0.210, G_grad: 0.027, G_lap: 0.026, G_ssim: 0.056, G_stats: 0.000, D_real: 0.185, D_fake: 0.183

[Rank 0] (epoch: 6, iters: 40, time: 0.563, data: 0.005) , G_GAN: 0.151, G_L1: 0.036, G_grad: 0.008, G_lap: 0.008, G_ssim: 0.010, G_stats: 0.000, D_real: 0.185, D_fake: 0.237

[Rank 0] (epoch: 6, iters: 140, time: 0.336, data: 0.005) , G_GAN: 0.321, G_L1: 0.500, G_grad: 0.082, G_lap: 0.078, G_ssim: 0.195, G_stats: 0.000, D_real: 0.206, D_fake: 0.204

[Rank 0] (epoch: 6, iters: 240, time: 0.336, data: 0.006) , G_GAN: 0.157, G_L1: 0.028, G_grad: 0.005, G_lap: 0.005, G_ssim: 0.005, G_stats: 0.000, D_real: 0.192, D_fake: 0.221

[Rank 0] (epoch: 6, iters: 340, time: 0.349, data: 0.007) , G_GAN: 0.137, G_L1: 0.184, G_grad: 0.021, G_lap: 0.017, G_ssim: 0.038, G_stats: 0.000, D_real: 0.200, D_fake: 0.244

[Rank 0] (epoch: 6, iters: 440, time: 0.348, data: 0.006) , G_GAN: 0.147, G_L1: 0.242, G_grad: 0.030, G_lap: 0.026, G_ssim: 0.062, G_stats: 0.000, D_real: 0.153, D_fake: 0.245

[Rank 0] (epoch: 7, iters: 68, time: 0.335, data: 0.006) , G_GAN: 0.154, G_L1: 0.254, G_grad: 0.021, G_lap: 0.016, G_ssim: 0.038, G_stats: 0.000, D_real: 0.196, D_fake: 0.225

[Rank 0] (epoch: 7, iters: 168, time: 0.353, data: 0.006) , G_GAN: 0.330, G_L1: 0.449, G_grad: 0.074, G_lap: 0.071, G_ssim: 0.173, G_stats: 0.000, D_real: 0.214, D_fake: 0.196

[Rank 0] (epoch: 7, iters: 268, time: 0.322, data: 0.006) , G_GAN: 0.333, G_L1: 0.511, G_grad: 0.083, G_lap: 0.074, G_ssim: 0.194, G_stats: 0.000, D_real: 0.198, D_fake: 0.202

[Rank 0] (epoch: 7, iters: 368, time: 0.788, data: 0.005) , G_GAN: 0.303, G_L1: 0.493, G_grad: 0.078, G_lap: 0.069, G_ssim: 0.168, G_stats: 0.000, D_real: 0.182, D_fake: 0.224

[Rank 0] (epoch: 7, iters: 468, time: 0.368, data: 0.009) , G_GAN: 0.159, G_L1: 0.201, G_grad: 0.018, G_lap: 0.016, G_ssim: 0.035, G_stats: 0.000, D_real: 0.248, D_fake: 0.179

[Rank 0] (epoch: 8, iters: 96, time: 0.369, data: 0.005) , G_GAN: 0.292, G_L1: 0.508, G_grad: 0.083, G_lap: 0.077, G_ssim: 0.195, G_stats: 0.000, D_real: 0.187, D_fake: 0.209

[Rank 0] (epoch: 8, iters: 196, time: 0.366, data: 0.005) , G_GAN: 0.315, G_L1: 0.459, G_grad: 0.075, G_lap: 0.069, G_ssim: 0.165, G_stats: 0.000, D_real: 0.208, D_fake: 0.196

[Rank 0] (epoch: 8, iters: 296, time: 0.770, data: 0.005) , G_GAN: 0.300, G_L1: 0.443, G_grad: 0.073, G_lap: 0.070, G_ssim: 0.166, G_stats: 0.000, D_real: 0.174, D_fake: 0.214

[Rank 0] (epoch: 8, iters: 396, time: 0.338, data: 0.004) , G_GAN: 0.192, G_L1: 0.315, G_grad: 0.024, G_lap: 0.021, G_ssim: 0.052, G_stats: 0.000, D_real: 0.198, D_fake: 0.159

[Rank 0] (epoch: 9, iters: 24, time: 0.325, data: 0.008) , G_GAN: 0.319, G_L1: 0.499, G_grad: 0.082, G_lap: 0.074, G_ssim: 0.188, G_stats: 0.000, D_real: 0.187, D_fake: 0.217

[Rank 0] (epoch: 9, iters: 124, time: 0.324, data: 0.005) , G_GAN: 0.305, G_L1: 0.526, G_grad: 0.084, G_lap: 0.079, G_ssim: 0.204, G_stats: 0.000, D_real: 0.248, D_fake: 0.149

[Rank 0] (epoch: 9, iters: 224, time: 0.709, data: 0.004) , G_GAN: 0.306, G_L1: 0.471, G_grad: 0.077, G_lap: 0.069, G_ssim: 0.167, G_stats: 0.000, D_real: 0.204, D_fake: 0.206

[Rank 0] (epoch: 9, iters: 324, time: 0.326, data: 0.006) , G_GAN: 0.312, G_L1: 0.496, G_grad: 0.080, G_lap: 0.075, G_ssim: 0.182, G_stats: 0.000, D_real: 0.210, D_fake: 0.193

[Rank 0] (epoch: 9, iters: 424, time: 0.327, data: 0.005) , G_GAN: 0.290, G_L1: 0.498, G_grad: 0.082, G_lap: 0.074, G_ssim: 0.192, G_stats: 0.000, D_real: 0.168, D_fake: 0.228

