================ Training Loss (Fri Mar 20 20:26:22 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.486, data: 0.538) , G_GAN: 1.073, G_L1: 1.242, G_grad: 0.236, G_lap: 0.273, G_ssim: 0.527, G_stats: 0.009, D_real: 0.071, D_fake: 0.293

[Rank 0] (epoch: 2, iters: 27, time: 0.485, data: 0.006) , G_GAN: 0.450, G_L1: 0.789, G_grad: 0.214, G_lap: 0.252, G_ssim: 0.348, G_stats: 0.001, D_real: 0.118, D_fake: 0.110

[Rank 0] (epoch: 2, iters: 127, time: 0.486, data: 0.006) , G_GAN: 0.947, G_L1: 1.272, G_grad: 0.242, G_lap: 0.276, G_ssim: 0.546, G_stats: 0.020, D_real: 0.033, D_fake: 0.006

[Rank 0] (epoch: 3, iters: 54, time: 0.670, data: 0.007) , G_GAN: 0.981, G_L1: 1.297, G_grad: 0.248, G_lap: 0.276, G_ssim: 0.558, G_stats: 0.026, D_real: 0.011, D_fake: 0.029

[Rank 0] (epoch: 3, iters: 154, time: 0.486, data: 0.007) , G_GAN: 0.824, G_L1: 1.001, G_grad: 0.219, G_lap: 0.239, G_ssim: 0.315, G_stats: 0.016, D_real: 0.253, D_fake: 0.007

[Rank 0] (epoch: 4, iters: 81, time: 0.486, data: 0.006) , G_GAN: 0.845, G_L1: 1.108, G_grad: 0.232, G_lap: 0.260, G_ssim: 0.472, G_stats: 0.005, D_real: 0.054, D_fake: 0.032

[Rank 0] (epoch: 5, iters: 8, time: 0.485, data: 0.010) , G_GAN: 1.033, G_L1: 0.894, G_grad: 0.244, G_lap: 0.272, G_ssim: 0.401, G_stats: 0.011, D_real: 0.042, D_fake: 0.287

[Rank 0] (epoch: 5, iters: 108, time: 0.656, data: 0.007) , G_GAN: 0.433, G_L1: 1.016, G_grad: 0.231, G_lap: 0.253, G_ssim: 0.392, G_stats: 0.007, D_real: 0.357, D_fake: 0.063

[Rank 0] (epoch: 6, iters: 35, time: 0.486, data: 0.007) , G_GAN: 0.824, G_L1: 1.060, G_grad: 0.226, G_lap: 0.258, G_ssim: 0.421, G_stats: 0.004, D_real: 0.010, D_fake: 0.028

[Rank 0] (epoch: 6, iters: 135, time: 0.482, data: 0.007) , G_GAN: 1.060, G_L1: 1.055, G_grad: 0.223, G_lap: 0.244, G_ssim: 0.374, G_stats: 0.009, D_real: 0.053, D_fake: 0.099

[Rank 0] (epoch: 7, iters: 62, time: 0.483, data: 0.007) , G_GAN: 1.029, G_L1: 1.194, G_grad: 0.240, G_lap: 0.276, G_ssim: 0.553, G_stats: 0.013, D_real: 0.041, D_fake: 0.006

[Rank 0] (epoch: 7, iters: 162, time: 0.676, data: 0.006) , G_GAN: 1.059, G_L1: 1.082, G_grad: 0.239, G_lap: 0.269, G_ssim: 0.481, G_stats: 0.010, D_real: 0.031, D_fake: 0.024

