================ Training Loss (Mon Mar 23 09:25:08 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.501, data: 3.422) , G_GAN: 0.851, G_L1: 0.928, G_grad: 0.200, G_lap: 0.235, G_ssim: 0.318, G_stats: 0.003, D_real: 0.072, D_fake: 0.008

[Rank 0] (epoch: 2, iters: 27, time: 0.507, data: 0.005) , G_GAN: 0.951, G_L1: 1.128, G_grad: 0.223, G_lap: 0.246, G_ssim: 0.367, G_stats: 0.031, D_real: 0.011, D_fake: 0.024

[Rank 0] (epoch: 2, iters: 127, time: 0.499, data: 0.006) , G_GAN: 0.889, G_L1: 1.586, G_grad: 0.239, G_lap: 0.275, G_ssim: 0.541, G_stats: 0.094, D_real: 0.016, D_fake: 0.020

[Rank 0] (epoch: 3, iters: 54, time: 0.735, data: 0.008) , G_GAN: 0.824, G_L1: 1.372, G_grad: 0.233, G_lap: 0.247, G_ssim: 0.335, G_stats: 0.051, D_real: 0.033, D_fake: 0.080

[Rank 0] (epoch: 3, iters: 154, time: 0.539, data: 0.007) , G_GAN: 0.742, G_L1: 1.143, G_grad: 0.228, G_lap: 0.266, G_ssim: 0.440, G_stats: 0.056, D_real: 0.028, D_fake: 0.026

[Rank 0] (epoch: 4, iters: 81, time: 0.516, data: 0.007) , G_GAN: 0.184, G_L1: 1.605, G_grad: 0.261, G_lap: 0.143, G_ssim: 0.214, G_stats: 0.162, D_real: 0.041, D_fake: 0.185

[Rank 0] (epoch: 5, iters: 8, time: 0.653, data: 0.007) , G_GAN: 0.731, G_L1: 1.143, G_grad: 0.235, G_lap: 0.277, G_ssim: 0.468, G_stats: 0.051, D_real: 0.018, D_fake: 0.304

[Rank 0] (epoch: 5, iters: 108, time: 0.697, data: 0.006) , G_GAN: 0.608, G_L1: 0.815, G_grad: 0.227, G_lap: 0.272, G_ssim: 0.401, G_stats: 0.018, D_real: 0.083, D_fake: 0.062

[Rank 0] (epoch: 6, iters: 35, time: 0.507, data: 0.007) , G_GAN: 1.076, G_L1: 1.137, G_grad: 0.234, G_lap: 0.242, G_ssim: 0.387, G_stats: 0.009, D_real: 0.104, D_fake: 0.038

[Rank 0] (epoch: 6, iters: 135, time: 0.508, data: 0.006) , G_GAN: 0.774, G_L1: 1.700, G_grad: 0.259, G_lap: 0.281, G_ssim: 0.505, G_stats: 0.090, D_real: 0.005, D_fake: 0.101

[Rank 0] (epoch: 7, iters: 62, time: 0.559, data: 0.007) , G_GAN: 0.246, G_L1: 2.425, G_grad: 0.263, G_lap: 0.132, G_ssim: 0.248, G_stats: 0.203, D_real: 0.022, D_fake: 0.015

[Rank 0] (epoch: 7, iters: 162, time: 0.698, data: 0.007) , G_GAN: 0.950, G_L1: 0.831, G_grad: 0.218, G_lap: 0.256, G_ssim: 0.366, G_stats: 0.013, D_real: 0.011, D_fake: 0.183

