================ Training Loss (Tue Mar 24 12:21:46 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.482, data: 0.468) , G_GAN: 0.136, G_L1: 2.960, G_grad: 0.248, G_lap: 0.253, G_ssim: 0.551, G_stats: 0.073, D_real: 0.052, D_fake: 0.236

[Rank 0] (epoch: 2, iters: 27, time: 0.510, data: 0.006) , G_GAN: 0.159, G_L1: 2.557, G_grad: 0.288, G_lap: 0.272, G_ssim: 0.585, G_stats: 0.037, D_real: 0.099, D_fake: 0.196

[Rank 0] (epoch: 2, iters: 127, time: 0.483, data: 0.007) , G_GAN: 0.176, G_L1: 2.536, G_grad: 0.264, G_lap: 0.266, G_ssim: 0.550, G_stats: 0.044, D_real: 0.015, D_fake: 0.317

[Rank 0] (epoch: 3, iters: 54, time: 0.741, data: 0.007) , G_GAN: 0.090, G_L1: 2.030, G_grad: 0.266, G_lap: 0.267, G_ssim: 0.494, G_stats: 0.051, D_real: 0.229, D_fake: 0.200

[Rank 0] (epoch: 3, iters: 154, time: 0.489, data: 0.006) , G_GAN: 0.130, G_L1: 2.304, G_grad: 0.272, G_lap: 0.270, G_ssim: 0.523, G_stats: 0.066, D_real: 0.027, D_fake: 0.482

[Rank 0] (epoch: 4, iters: 81, time: 0.483, data: 0.007) , G_GAN: 0.201, G_L1: 1.899, G_grad: 0.226, G_lap: 0.227, G_ssim: 0.356, G_stats: 0.057, D_real: 0.040, D_fake: 0.075

[Rank 0] (epoch: 5, iters: 8, time: 0.483, data: 0.006) , G_GAN: 0.339, G_L1: 1.532, G_grad: 0.232, G_lap: 0.247, G_ssim: 0.338, G_stats: 0.012, D_real: 0.114, D_fake: 0.418

[Rank 0] (epoch: 5, iters: 108, time: 0.726, data: 0.006) , G_GAN: 0.112, G_L1: 2.406, G_grad: 0.254, G_lap: 0.251, G_ssim: 0.447, G_stats: 0.035, D_real: 0.284, D_fake: 0.171

[Rank 0] (epoch: 6, iters: 35, time: 0.487, data: 0.008) , G_GAN: 0.196, G_L1: 2.274, G_grad: 0.260, G_lap: 0.266, G_ssim: 0.518, G_stats: 0.020, D_real: 0.172, D_fake: 0.065

[Rank 0] (epoch: 6, iters: 135, time: 0.486, data: 0.007) , G_GAN: 0.210, G_L1: 2.251, G_grad: 0.269, G_lap: 0.254, G_ssim: 0.496, G_stats: 0.030, D_real: 0.124, D_fake: 0.032

[Rank 0] (epoch: 7, iters: 62, time: 0.484, data: 0.007) , G_GAN: 0.117, G_L1: 2.082, G_grad: 0.247, G_lap: 0.250, G_ssim: 0.428, G_stats: 0.073, D_real: 0.247, D_fake: 0.074

[Rank 0] (epoch: 7, iters: 162, time: 0.666, data: 0.006) , G_GAN: 0.164, G_L1: 2.761, G_grad: 0.308, G_lap: 0.291, G_ssim: 0.586, G_stats: 0.100, D_real: 0.120, D_fake: 0.161

[Rank 0] (epoch: 8, iters: 89, time: 0.485, data: 0.006) , G_GAN: 0.122, G_L1: 2.386, G_grad: 0.253, G_lap: 0.256, G_ssim: 0.477, G_stats: 0.044, D_real: 0.314, D_fake: 0.049

[Rank 0] (epoch: 9, iters: 16, time: 0.483, data: 0.006) , G_GAN: 0.090, G_L1: 1.985, G_grad: 0.255, G_lap: 0.256, G_ssim: 0.486, G_stats: 0.029, D_real: 0.243, D_fake: 0.164

[Rank 0] (epoch: 9, iters: 116, time: 0.489, data: 0.006) , G_GAN: 0.204, G_L1: 2.409, G_grad: 0.254, G_lap: 0.267, G_ssim: 0.549, G_stats: 0.017, D_real: 0.017, D_fake: 0.155

[Rank 0] (epoch: 10, iters: 43, time: 0.776, data: 0.008) , G_GAN: 0.206, G_L1: 2.722, G_grad: 0.263, G_lap: 0.256, G_ssim: 0.504, G_stats: 0.069, D_real: 0.017, D_fake: 0.202

[Rank 0] (epoch: 10, iters: 143, time: 0.512, data: 0.008) , G_GAN: 0.167, G_L1: 2.917, G_grad: 0.258, G_lap: 0.242, G_ssim: 0.508, G_stats: 0.088, D_real: 0.155, D_fake: 0.064

[Rank 0] (epoch: 11, iters: 70, time: 0.484, data: 0.006) , G_GAN: 0.196, G_L1: 2.634, G_grad: 0.253, G_lap: 0.251, G_ssim: 0.462, G_stats: 0.046, D_real: 0.195, D_fake: 0.025

[Rank 0] (epoch: 11, iters: 170, time: 0.490, data: 0.007) , G_GAN: 0.222, G_L1: 2.491, G_grad: 0.267, G_lap: 0.260, G_ssim: 0.541, G_stats: 0.030, D_real: 0.031, D_fake: 0.067

[Rank 0] (epoch: 12, iters: 97, time: 0.726, data: 0.008) , G_GAN: 0.579, G_L1: 1.706, G_grad: 0.277, G_lap: 0.274, G_ssim: 0.517, G_stats: 0.035, D_real: 0.076, D_fake: 0.147

[Rank 0] (epoch: 13, iters: 24, time: 0.542, data: 0.006) , G_GAN: 0.167, G_L1: 2.611, G_grad: 0.295, G_lap: 0.261, G_ssim: 0.554, G_stats: 0.045, D_real: 0.011, D_fake: 0.323

[Rank 0] (epoch: 13, iters: 124, time: 0.478, data: 0.013) , G_GAN: 0.188, G_L1: 1.994, G_grad: 0.252, G_lap: 0.251, G_ssim: 0.421, G_stats: 0.011, D_real: 0.253, D_fake: 0.012

[Rank 0] (epoch: 14, iters: 51, time: 0.484, data: 0.007) , G_GAN: 0.105, G_L1: 2.207, G_grad: 0.275, G_lap: 0.291, G_ssim: 0.585, G_stats: 0.074, D_real: 0.243, D_fake: 0.120

[Rank 0] (epoch: 14, iters: 151, time: 0.719, data: 0.006) , G_GAN: 0.198, G_L1: 2.067, G_grad: 0.253, G_lap: 0.246, G_ssim: 0.444, G_stats: 0.067, D_real: 0.022, D_fake: 0.129

[Rank 0] (epoch: 15, iters: 78, time: 0.523, data: 0.006) , G_GAN: 0.197, G_L1: 2.549, G_grad: 0.267, G_lap: 0.267, G_ssim: 0.547, G_stats: 0.019, D_real: 0.070, D_fake: 0.066

[Rank 0] (epoch: 16, iters: 5, time: 0.514, data: 0.010) , G_GAN: 0.238, G_L1: 2.664, G_grad: 0.269, G_lap: 0.269, G_ssim: 0.555, G_stats: 0.085, D_real: 0.077, D_fake: 0.008

[Rank 0] (epoch: 16, iters: 105, time: 0.493, data: 0.007) , G_GAN: 0.205, G_L1: 2.321, G_grad: 0.279, G_lap: 0.276, G_ssim: 0.571, G_stats: 0.027, D_real: 0.212, D_fake: 0.015

[Rank 0] (epoch: 17, iters: 32, time: 0.825, data: 0.007) , G_GAN: 0.138, G_L1: 2.195, G_grad: 0.247, G_lap: 0.244, G_ssim: 0.440, G_stats: 0.012, D_real: 0.315, D_fake: 0.033

[Rank 0] (epoch: 17, iters: 132, time: 0.481, data: 0.008) , G_GAN: 0.192, G_L1: 3.159, G_grad: 0.260, G_lap: 0.239, G_ssim: 0.449, G_stats: 0.027, D_real: 0.019, D_fake: 0.120

[Rank 0] (epoch: 18, iters: 59, time: 0.503, data: 0.006) , G_GAN: 0.220, G_L1: 2.500, G_grad: 0.250, G_lap: 0.245, G_ssim: 0.476, G_stats: 0.021, D_real: 0.037, D_fake: 0.151

[Rank 0] (epoch: 18, iters: 159, time: 0.510, data: 0.008) , G_GAN: 0.149, G_L1: 2.612, G_grad: 0.256, G_lap: 0.257, G_ssim: 0.527, G_stats: 0.020, D_real: 0.071, D_fake: 0.144

[Rank 0] (epoch: 19, iters: 86, time: 0.905, data: 0.009) , G_GAN: 0.164, G_L1: 2.551, G_grad: 0.270, G_lap: 0.273, G_ssim: 0.574, G_stats: 0.049, D_real: 0.090, D_fake: 0.088

[Rank 0] (epoch: 20, iters: 13, time: 0.494, data: 0.010) , G_GAN: 0.148, G_L1: 2.077, G_grad: 0.242, G_lap: 0.252, G_ssim: 0.484, G_stats: 0.031, D_real: 0.145, D_fake: 0.021

[Rank 0] (epoch: 20, iters: 113, time: 0.486, data: 0.011) , G_GAN: 0.504, G_L1: 1.912, G_grad: 0.246, G_lap: 0.255, G_ssim: 0.452, G_stats: 0.055, D_real: 0.070, D_fake: 0.128

[Rank 0] (epoch: 21, iters: 40, time: 0.508, data: 0.006) , G_GAN: 0.272, G_L1: 2.846, G_grad: 0.267, G_lap: 0.262, G_ssim: 0.545, G_stats: 0.036, D_real: 0.018, D_fake: 0.088

[Rank 0] (epoch: 21, iters: 140, time: 0.846, data: 0.007) , G_GAN: 0.133, G_L1: 2.430, G_grad: 0.264, G_lap: 0.256, G_ssim: 0.507, G_stats: 0.043, D_real: 0.181, D_fake: 0.089

[Rank 0] (epoch: 22, iters: 67, time: 0.499, data: 0.009) , G_GAN: 0.185, G_L1: 2.764, G_grad: 0.268, G_lap: 0.265, G_ssim: 0.532, G_stats: 0.066, D_real: 0.081, D_fake: 0.038

[Rank 0] (epoch: 22, iters: 167, time: 0.486, data: 0.009) , G_GAN: 0.165, G_L1: 2.368, G_grad: 0.247, G_lap: 0.256, G_ssim: 0.528, G_stats: 0.034, D_real: 0.123, D_fake: 0.042

[Rank 0] (epoch: 23, iters: 94, time: 0.485, data: 0.010) , G_GAN: 0.174, G_L1: 2.014, G_grad: 0.262, G_lap: 0.260, G_ssim: 0.501, G_stats: 0.028, D_real: 0.156, D_fake: 0.139

[Rank 0] (epoch: 24, iters: 21, time: 0.678, data: 0.006) , G_GAN: 0.171, G_L1: 2.454, G_grad: 0.242, G_lap: 0.242, G_ssim: 0.398, G_stats: 0.078, D_real: 0.064, D_fake: 0.091

[Rank 0] (epoch: 24, iters: 121, time: 0.484, data: 0.007) , G_GAN: 0.145, G_L1: 2.514, G_grad: 0.266, G_lap: 0.263, G_ssim: 0.542, G_stats: 0.022, D_real: 0.234, D_fake: 0.056

[Rank 0] (epoch: 25, iters: 48, time: 0.502, data: 0.009) , G_GAN: 0.101, G_L1: 2.508, G_grad: 0.250, G_lap: 0.254, G_ssim: 0.486, G_stats: 0.028, D_real: 0.058, D_fake: 0.202

[Rank 0] (epoch: 25, iters: 148, time: 0.486, data: 0.007) , G_GAN: 0.183, G_L1: 2.558, G_grad: 0.266, G_lap: 0.253, G_ssim: 0.505, G_stats: 0.036, D_real: 0.064, D_fake: 0.218

[Rank 0] (epoch: 26, iters: 75, time: 0.803, data: 0.008) , G_GAN: 0.188, G_L1: 2.585, G_grad: 0.253, G_lap: 0.259, G_ssim: 0.531, G_stats: 0.017, D_real: 0.052, D_fake: 0.033

[Rank 0] (epoch: 27, iters: 2, time: 0.486, data: 0.008) , G_GAN: 0.147, G_L1: 2.180, G_grad: 0.256, G_lap: 0.257, G_ssim: 0.516, G_stats: 0.006, D_real: 0.368, D_fake: 0.012

[Rank 0] (epoch: 27, iters: 102, time: 0.490, data: 0.006) , G_GAN: 0.197, G_L1: 1.944, G_grad: 0.249, G_lap: 0.253, G_ssim: 0.468, G_stats: 0.010, D_real: 0.027, D_fake: 0.213

[Rank 0] (epoch: 28, iters: 29, time: 0.486, data: 0.010) , G_GAN: 0.219, G_L1: 2.943, G_grad: 0.274, G_lap: 0.257, G_ssim: 0.567, G_stats: 0.052, D_real: 0.087, D_fake: 0.057

[Rank 0] (epoch: 28, iters: 129, time: 0.869, data: 0.007) , G_GAN: 0.197, G_L1: 2.488, G_grad: 0.246, G_lap: 0.249, G_ssim: 0.499, G_stats: 0.055, D_real: 0.042, D_fake: 0.108

[Rank 0] (epoch: 29, iters: 56, time: 0.532, data: 0.009) , G_GAN: 0.191, G_L1: 3.163, G_grad: 0.282, G_lap: 0.266, G_ssim: 0.583, G_stats: 0.081, D_real: 0.021, D_fake: 0.147

[Rank 0] (epoch: 29, iters: 156, time: 0.525, data: 0.008) , G_GAN: 0.169, G_L1: 2.699, G_grad: 0.267, G_lap: 0.257, G_ssim: 0.458, G_stats: 0.072, D_real: 0.073, D_fake: 0.114

[Rank 0] (epoch: 30, iters: 83, time: 0.487, data: 0.006) , G_GAN: 0.199, G_L1: 2.350, G_grad: 0.243, G_lap: 0.251, G_ssim: 0.475, G_stats: 0.057, D_real: 0.104, D_fake: 0.016

[Rank 0] (epoch: 31, iters: 10, time: 1.629, data: 0.007) , G_GAN: 0.157, G_L1: 2.712, G_grad: 0.272, G_lap: 0.269, G_ssim: 0.570, G_stats: 0.065, D_real: 0.038, D_fake: 0.144

[Rank 0] (epoch: 31, iters: 110, time: 0.492, data: 0.008) , G_GAN: 0.183, G_L1: 2.543, G_grad: 0.257, G_lap: 0.251, G_ssim: 0.498, G_stats: 0.074, D_real: 0.162, D_fake: 0.132

[Rank 0] (epoch: 32, iters: 37, time: 0.482, data: 0.012) , G_GAN: 0.427, G_L1: 1.531, G_grad: 0.250, G_lap: 0.279, G_ssim: 0.524, G_stats: 0.003, D_real: 0.335, D_fake: 0.057

[Rank 0] (epoch: 32, iters: 137, time: 0.492, data: 0.007) , G_GAN: 0.195, G_L1: 2.604, G_grad: 0.259, G_lap: 0.263, G_ssim: 0.529, G_stats: 0.001, D_real: 0.028, D_fake: 0.148

[Rank 0] (epoch: 33, iters: 64, time: 0.763, data: 0.012) , G_GAN: 0.196, G_L1: 2.564, G_grad: 0.279, G_lap: 0.265, G_ssim: 0.566, G_stats: 0.093, D_real: 0.056, D_fake: 0.137

[Rank 0] (epoch: 33, iters: 164, time: 0.501, data: 0.007) , G_GAN: 0.117, G_L1: 2.167, G_grad: 0.265, G_lap: 0.252, G_ssim: 0.475, G_stats: 0.012, D_real: 0.109, D_fake: 0.238

[Rank 0] (epoch: 34, iters: 91, time: 0.529, data: 0.007) , G_GAN: 0.147, G_L1: 1.935, G_grad: 0.260, G_lap: 0.275, G_ssim: 0.537, G_stats: 0.033, D_real: 0.050, D_fake: 0.242

[Rank 0] (epoch: 35, iters: 18, time: 0.498, data: 0.007) , G_GAN: 0.221, G_L1: 2.463, G_grad: 0.272, G_lap: 0.267, G_ssim: 0.547, G_stats: 0.075, D_real: 0.151, D_fake: 0.025

[Rank 0] (epoch: 35, iters: 118, time: 0.800, data: 0.009) , G_GAN: 0.139, G_L1: 2.263, G_grad: 0.254, G_lap: 0.259, G_ssim: 0.496, G_stats: 0.014, D_real: 0.039, D_fake: 0.262

[Rank 0] (epoch: 36, iters: 45, time: 0.491, data: 0.008) , G_GAN: 0.107, G_L1: 2.181, G_grad: 0.250, G_lap: 0.246, G_ssim: 0.465, G_stats: 0.035, D_real: 0.085, D_fake: 0.194

[Rank 0] (epoch: 36, iters: 145, time: 0.524, data: 0.008) , G_GAN: 0.183, G_L1: 2.054, G_grad: 0.243, G_lap: 0.242, G_ssim: 0.429, G_stats: 0.049, D_real: 0.141, D_fake: 0.045

[Rank 0] (epoch: 37, iters: 72, time: 0.506, data: 0.008) , G_GAN: 0.179, G_L1: 2.719, G_grad: 0.268, G_lap: 0.252, G_ssim: 0.517, G_stats: 0.017, D_real: 0.054, D_fake: 0.053

[Rank 0] (epoch: 37, iters: 172, time: 0.796, data: 0.009) , G_GAN: 0.176, G_L1: 2.231, G_grad: 0.254, G_lap: 0.258, G_ssim: 0.510, G_stats: 0.022, D_real: 0.175, D_fake: 0.067

