================ Training Loss (Thu Mar 26 08:52:59 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.489, data: 0.421) , G_GAN: 0.140, G_L1: 1.966, G_grad: 0.252, G_lap: 0.257, G_ssim: 0.563, G_stats: 0.021, D_real: 0.147, D_fake: 0.201

[Rank 0] (epoch: 2, iters: 27, time: 0.504, data: 0.006) , G_GAN: 0.142, G_L1: 2.008, G_grad: 0.260, G_lap: 0.249, G_ssim: 0.502, G_stats: 0.032, D_real: 0.057, D_fake: 0.175

[Rank 0] (epoch: 2, iters: 127, time: 0.511, data: 0.008) , G_GAN: 0.218, G_L1: 2.244, G_grad: 0.246, G_lap: 0.270, G_ssim: 0.583, G_stats: 0.016, D_real: 0.041, D_fake: 0.161

[Rank 0] (epoch: 3, iters: 54, time: 0.767, data: 0.008) , G_GAN: 0.193, G_L1: 1.931, G_grad: 0.256, G_lap: 0.264, G_ssim: 0.547, G_stats: 0.023, D_real: 0.113, D_fake: 0.041

[Rank 0] (epoch: 3, iters: 154, time: 0.507, data: 0.006) , G_GAN: 0.221, G_L1: 1.816, G_grad: 0.241, G_lap: 0.242, G_ssim: 0.479, G_stats: 0.035, D_real: 0.053, D_fake: 0.116

[Rank 0] (epoch: 4, iters: 81, time: 0.483, data: 0.007) , G_GAN: 0.295, G_L1: 2.231, G_grad: 0.251, G_lap: 0.255, G_ssim: 0.545, G_stats: 0.030, D_real: 0.018, D_fake: 0.031

[Rank 0] (epoch: 5, iters: 8, time: 0.485, data: 0.007) , G_GAN: 0.212, G_L1: 1.901, G_grad: 0.251, G_lap: 0.256, G_ssim: 0.549, G_stats: 0.007, D_real: 0.026, D_fake: 0.073

[Rank 0] (epoch: 5, iters: 108, time: 0.775, data: 0.008) , G_GAN: 0.264, G_L1: 2.084, G_grad: 0.264, G_lap: 0.265, G_ssim: 0.606, G_stats: 0.017, D_real: 0.088, D_fake: 0.063

[Rank 0] (epoch: 6, iters: 35, time: 0.492, data: 0.007) , G_GAN: 0.122, G_L1: 1.656, G_grad: 0.229, G_lap: 0.229, G_ssim: 0.352, G_stats: 0.026, D_real: 0.208, D_fake: 0.114

[Rank 0] (epoch: 6, iters: 135, time: 0.485, data: 0.006) , G_GAN: 0.250, G_L1: 1.908, G_grad: 0.266, G_lap: 0.246, G_ssim: 0.495, G_stats: 0.024, D_real: 0.011, D_fake: 0.028

[Rank 0] (epoch: 7, iters: 62, time: 0.510, data: 0.008) , G_GAN: 0.286, G_L1: 2.324, G_grad: 0.260, G_lap: 0.254, G_ssim: 0.563, G_stats: 0.039, D_real: 0.022, D_fake: 0.038

[Rank 0] (epoch: 7, iters: 162, time: 0.812, data: 0.006) , G_GAN: 0.183, G_L1: 1.996, G_grad: 0.246, G_lap: 0.251, G_ssim: 0.513, G_stats: 0.006, D_real: 0.017, D_fake: 0.192

[Rank 0] (epoch: 8, iters: 89, time: 0.516, data: 0.008) , G_GAN: 0.233, G_L1: 1.782, G_grad: 0.245, G_lap: 0.272, G_ssim: 0.573, G_stats: 0.012, D_real: 0.178, D_fake: 0.019

[Rank 0] (epoch: 9, iters: 16, time: 0.496, data: 0.007) , G_GAN: 0.171, G_L1: 1.933, G_grad: 0.237, G_lap: 0.241, G_ssim: 0.485, G_stats: 0.014, D_real: 0.217, D_fake: 0.018

[Rank 0] (epoch: 9, iters: 116, time: 0.485, data: 0.008) , G_GAN: 0.211, G_L1: 1.878, G_grad: 0.241, G_lap: 0.255, G_ssim: 0.519, G_stats: 0.022, D_real: 0.042, D_fake: 0.042

[Rank 0] (epoch: 10, iters: 43, time: 0.680, data: 0.007) , G_GAN: 0.263, G_L1: 1.938, G_grad: 0.269, G_lap: 0.288, G_ssim: 0.649, G_stats: 0.017, D_real: 0.030, D_fake: 0.039

[Rank 0] (epoch: 10, iters: 143, time: 0.523, data: 0.006) , G_GAN: 0.221, G_L1: 1.654, G_grad: 0.260, G_lap: 0.280, G_ssim: 0.546, G_stats: 0.028, D_real: 0.057, D_fake: 0.033

[Rank 0] (epoch: 11, iters: 70, time: 0.533, data: 0.006) , G_GAN: 0.167, G_L1: 1.732, G_grad: 0.232, G_lap: 0.268, G_ssim: 0.571, G_stats: 0.016, D_real: 0.080, D_fake: 0.078

