================ Training Loss (Thu Mar 12 14:16:54 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.270, data: 0.222) , G_GAN: 0.625, G_L1: 0.524, G_delta_bg: 0.573, G_delta: 8.475, G_grad: 0.445, G_delta_grad: 0.464, G_lap: 0.741, G_ssim: 0.437, G_stats: 0.079, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.127, D_fake: 0.157

[Rank 0] (epoch: 2, iters: 80, time: 0.141, data: 0.212) , G_GAN: 0.000, G_L1: 0.679, G_delta_bg: 0.410, G_delta: 10.834, G_grad: 0.352, G_delta_grad: 0.315, G_lap: 0.590, G_ssim: 0.295, G_stats: 0.160, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 3, iters: 60, time: 0.267, data: 0.215) , G_GAN: 0.941, G_L1: 0.338, G_delta_bg: 0.553, G_delta: 5.694, G_grad: 0.395, G_delta_grad: 0.435, G_lap: 0.562, G_ssim: 0.314, G_stats: 0.056, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.037, D_fake: 0.035

[Rank 0] (epoch: 4, iters: 40, time: 0.796, data: 0.222) , G_GAN: 0.902, G_L1: 0.750, G_delta_bg: 0.546, G_delta: 13.630, G_grad: 0.394, G_delta_grad: 0.430, G_lap: 0.592, G_ssim: 0.345, G_stats: 0.097, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.025, D_fake: 0.029

[Rank 0] (epoch: 5, iters: 20, time: 0.275, data: 0.221) , G_GAN: 1.032, G_L1: 0.413, G_delta_bg: 0.542, G_delta: 6.077, G_grad: 0.439, G_delta_grad: 0.481, G_lap: 0.522, G_ssim: 0.304, G_stats: 0.104, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.020, D_fake: 0.019

[Rank 0] (epoch: 5, iters: 120, time: 0.275, data: 0.233) , G_GAN: 0.984, G_L1: 0.678, G_delta_bg: 0.522, G_delta: 10.889, G_grad: 0.439, G_delta_grad: 0.467, G_lap: 0.563, G_ssim: 0.407, G_stats: 0.094, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.017, D_fake: 0.012

[Rank 0] (epoch: 6, iters: 100, time: 0.278, data: 0.218) , G_GAN: 0.965, G_L1: 0.449, G_delta_bg: 0.524, G_delta: 6.765, G_grad: 0.460, G_delta_grad: 0.464, G_lap: 0.550, G_ssim: 0.315, G_stats: 0.117, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.017, D_fake: 0.014

[Rank 0] (epoch: 7, iters: 80, time: 0.830, data: 0.222) , G_GAN: 1.004, G_L1: 0.409, G_delta_bg: 0.511, G_delta: 5.972, G_grad: 0.465, G_delta_grad: 0.511, G_lap: 0.512, G_ssim: 0.308, G_stats: 0.104, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.013, D_fake: 0.011

[Rank 0] (epoch: 8, iters: 60, time: 0.278, data: 0.234) , G_GAN: 1.015, G_L1: 0.737, G_delta_bg: 0.517, G_delta: 12.661, G_grad: 0.454, G_delta_grad: 0.482, G_lap: 0.593, G_ssim: 0.401, G_stats: 0.139, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.006

