================ Training Loss (Fri Mar 13 08:43:28 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.261, data: 0.227) , G_GAN: 0.720, G_L1: 0.879, G_delta_bg: 0.592, G_delta: 16.194, G_grad: 0.340, G_delta_grad: 0.354, G_lap: 0.304, G_ssim: 0.640, G_stats: 0.273, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.200, D_fake: 0.159

[Rank 0] (epoch: 2, iters: 80, time: 0.258, data: 0.228) , G_GAN: 0.878, G_L1: 0.890, G_delta_bg: 0.539, G_delta: 15.016, G_grad: 0.290, G_delta_grad: 0.243, G_lap: 0.267, G_ssim: 0.525, G_stats: 0.224, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.079, D_fake: 0.085

[Rank 0] (epoch: 3, iters: 60, time: 0.259, data: 0.219) , G_GAN: 0.917, G_L1: 0.821, G_delta_bg: 0.549, G_delta: 14.385, G_grad: 0.296, G_delta_grad: 0.321, G_lap: 0.248, G_ssim: 0.561, G_stats: 0.199, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.064, D_fake: 0.065

[Rank 0] (epoch: 4, iters: 40, time: 0.792, data: 0.215) , G_GAN: 0.935, G_L1: 1.013, G_delta_bg: 0.522, G_delta: 17.811, G_grad: 0.315, G_delta_grad: 0.242, G_lap: 0.267, G_ssim: 0.583, G_stats: 0.262, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.034, D_fake: 0.034

[Rank 0] (epoch: 5, iters: 20, time: 0.144, data: 0.259) , G_GAN: 0.000, G_L1: 0.827, G_delta_bg: 0.428, G_delta: 13.231, G_grad: 0.275, G_delta_grad: 0.210, G_lap: 0.236, G_ssim: 0.442, G_stats: 0.262, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 5, iters: 120, time: 0.262, data: 0.219) , G_GAN: 1.048, G_L1: 0.619, G_delta_bg: 0.471, G_delta: 10.329, G_grad: 0.299, G_delta_grad: 0.279, G_lap: 0.276, G_ssim: 0.487, G_stats: 0.192, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.033, D_fake: 0.020

[Rank 0] (epoch: 6, iters: 100, time: 0.144, data: 0.218) , G_GAN: 0.000, G_L1: 0.981, G_delta_bg: 0.411, G_delta: 16.373, G_grad: 0.268, G_delta_grad: 0.214, G_lap: 0.222, G_ssim: 0.463, G_stats: 0.267, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 7, iters: 80, time: 0.792, data: 0.235) , G_GAN: 0.968, G_L1: 0.881, G_delta_bg: 0.441, G_delta: 15.838, G_grad: 0.290, G_delta_grad: 0.254, G_lap: 0.263, G_ssim: 0.528, G_stats: 0.185, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.020, D_fake: 0.011

[Rank 0] (epoch: 8, iters: 60, time: 0.145, data: 0.229) , G_GAN: 0.000, G_L1: 0.808, G_delta_bg: 0.367, G_delta: 13.676, G_grad: 0.264, G_delta_grad: 0.226, G_lap: 0.186, G_ssim: 0.439, G_stats: 0.235, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 9, iters: 40, time: 0.144, data: 0.233) , G_GAN: 0.000, G_L1: 0.857, G_delta_bg: 0.402, G_delta: 14.916, G_grad: 0.270, G_delta_grad: 0.194, G_lap: 0.208, G_ssim: 0.449, G_stats: 0.244, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 10, iters: 20, time: 0.258, data: 0.300) , G_GAN: 0.965, G_L1: 0.997, G_delta_bg: 0.391, G_delta: 17.436, G_grad: 0.305, G_delta_grad: 0.224, G_lap: 0.268, G_ssim: 0.539, G_stats: 0.296, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.022, D_fake: 0.024

