================ Training Loss (Tue Mar  3 13:25:10 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.457, data: 0.195) , G_GAN: 0.522, G_L1: 5.573, D_real: 0.127, D_fake: 0.248

[Rank 0] (epoch: 2, iters: 80, time: 0.452, data: 0.005) , G_GAN: 0.746, G_L1: 5.089, D_real: 0.254, D_fake: 0.195

[Rank 0] (epoch: 3, iters: 60, time: 0.452, data: 0.004) , G_GAN: 0.473, G_L1: 5.346, D_real: 0.173, D_fake: 0.148

[Rank 0] (epoch: 4, iters: 40, time: 1.206, data: 0.004) , G_GAN: 0.211, G_L1: 5.607, D_real: 0.361, D_fake: 0.132

[Rank 0] (epoch: 5, iters: 20, time: 0.452, data: 0.004) , G_GAN: 0.294, G_L1: 4.338, D_real: 0.225, D_fake: 0.231

[Rank 0] (epoch: 5, iters: 120, time: 0.450, data: 0.004) , G_GAN: 0.456, G_L1: 4.303, D_real: 0.201, D_fake: 0.303

[Rank 0] (epoch: 6, iters: 100, time: 0.453, data: 0.222) , G_GAN: 0.238, G_L1: 5.365, D_real: 0.266, D_fake: 0.216

[Rank 0] (epoch: 7, iters: 80, time: 1.248, data: 0.004) , G_GAN: 0.745, G_L1: 4.282, D_real: 0.065, D_fake: 0.141

[Rank 0] (epoch: 8, iters: 60, time: 0.453, data: 0.004) , G_GAN: 0.355, G_L1: 4.710, D_real: 0.277, D_fake: 0.149

[Rank 0] (epoch: 9, iters: 40, time: 0.452, data: 0.004) , G_GAN: 0.334, G_L1: 3.990, D_real: 0.185, D_fake: 0.180

[Rank 0] (epoch: 10, iters: 20, time: 0.452, data: 0.004) , G_GAN: 0.338, G_L1: 3.470, D_real: 0.149, D_fake: 0.306

[Rank 0] (epoch: 10, iters: 120, time: 1.266, data: 0.004) , G_GAN: 0.308, G_L1: 4.005, D_real: 0.227, D_fake: 0.129

[Rank 0] (epoch: 11, iters: 100, time: 0.451, data: 0.228) , G_GAN: 0.337, G_L1: 3.724, D_real: 0.266, D_fake: 0.136

[Rank 0] (epoch: 12, iters: 80, time: 0.453, data: 0.004) , G_GAN: 0.327, G_L1: 3.308, D_real: 0.119, D_fake: 0.415

[Rank 0] (epoch: 13, iters: 60, time: 0.453, data: 0.004) , G_GAN: 0.471, G_L1: 3.291, D_real: 0.534, D_fake: 0.234

[Rank 0] (epoch: 14, iters: 40, time: 1.271, data: 0.004) , G_GAN: 0.537, G_L1: 3.476, D_real: 0.144, D_fake: 0.288

[Rank 0] (epoch: 15, iters: 20, time: 0.453, data: 0.004) , G_GAN: 0.371, G_L1: 3.386, D_real: 0.441, D_fake: 0.131

[Rank 0] (epoch: 15, iters: 120, time: 0.450, data: 0.004) , G_GAN: 0.308, G_L1: 4.031, D_real: 0.152, D_fake: 0.253

[Rank 0] (epoch: 16, iters: 100, time: 0.452, data: 0.223) , G_GAN: 0.449, G_L1: 2.726, D_real: 0.111, D_fake: 0.328

[Rank 0] (epoch: 17, iters: 80, time: 1.278, data: 0.004) , G_GAN: 0.343, G_L1: 2.928, D_real: 0.223, D_fake: 0.299

[Rank 0] (epoch: 18, iters: 60, time: 0.452, data: 0.004) , G_GAN: 0.287, G_L1: 3.349, D_real: 0.260, D_fake: 0.127

[Rank 0] (epoch: 19, iters: 40, time: 0.452, data: 0.004) , G_GAN: 0.251, G_L1: 2.621, D_real: 0.314, D_fake: 0.201

[Rank 0] (epoch: 20, iters: 20, time: 0.452, data: 0.004) , G_GAN: 0.539, G_L1: 2.786, D_real: 0.193, D_fake: 0.322

[Rank 0] (epoch: 20, iters: 120, time: 1.284, data: 0.004) , G_GAN: 0.334, G_L1: 2.963, D_real: 0.253, D_fake: 0.232

[Rank 0] (epoch: 21, iters: 100, time: 0.452, data: 0.218) , G_GAN: 0.389, G_L1: 3.391, D_real: 0.227, D_fake: 0.214

[Rank 0] (epoch: 22, iters: 80, time: 0.453, data: 0.004) , G_GAN: 0.486, G_L1: 2.640, D_real: 0.133, D_fake: 0.293

[Rank 0] (epoch: 23, iters: 60, time: 0.454, data: 0.004) , G_GAN: 0.379, G_L1: 2.316, D_real: 0.295, D_fake: 0.264

[Rank 0] (epoch: 24, iters: 40, time: 1.309, data: 0.004) , G_GAN: 0.395, G_L1: 2.620, D_real: 0.184, D_fake: 0.175

[Rank 0] (epoch: 25, iters: 20, time: 0.452, data: 0.004) , G_GAN: 0.891, G_L1: 2.402, D_real: 0.098, D_fake: 0.373

[Rank 0] (epoch: 25, iters: 120, time: 0.451, data: 0.004) , G_GAN: 0.238, G_L1: 2.503, D_real: 0.453, D_fake: 0.147

[Rank 0] (epoch: 26, iters: 100, time: 0.452, data: 0.225) , G_GAN: 0.248, G_L1: 2.034, D_real: 0.241, D_fake: 0.263

[Rank 0] (epoch: 27, iters: 80, time: 1.264, data: 0.004) , G_GAN: 0.264, G_L1: 1.893, D_real: 0.286, D_fake: 0.212

[Rank 0] (epoch: 28, iters: 60, time: 0.452, data: 0.004) , G_GAN: 0.258, G_L1: 1.915, D_real: 0.296, D_fake: 0.197

[Rank 0] (epoch: 29, iters: 40, time: 0.453, data: 0.005) , G_GAN: 0.350, G_L1: 2.122, D_real: 0.218, D_fake: 0.264

[Rank 0] (epoch: 30, iters: 20, time: 0.452, data: 0.005) , G_GAN: 0.257, G_L1: 2.004, D_real: 0.346, D_fake: 0.185

[Rank 0] (epoch: 30, iters: 120, time: 1.273, data: 0.004) , G_GAN: 0.669, G_L1: 1.965, D_real: 0.079, D_fake: 0.451

[Rank 0] (epoch: 31, iters: 100, time: 0.454, data: 0.230) , G_GAN: 0.439, G_L1: 2.017, D_real: 0.169, D_fake: 0.230

[Rank 0] (epoch: 32, iters: 80, time: 0.452, data: 0.004) , G_GAN: 0.243, G_L1: 2.209, D_real: 0.388, D_fake: 0.056

[Rank 0] (epoch: 33, iters: 60, time: 0.453, data: 0.004) , G_GAN: 0.571, G_L1: 2.089, D_real: 0.087, D_fake: 0.284

[Rank 0] (epoch: 34, iters: 40, time: 1.372, data: 0.004) , G_GAN: 0.302, G_L1: 1.885, D_real: 0.232, D_fake: 0.297

[Rank 0] (epoch: 35, iters: 20, time: 0.451, data: 0.003) , G_GAN: 0.247, G_L1: 1.722, D_real: 0.266, D_fake: 0.236

[Rank 0] (epoch: 35, iters: 120, time: 0.449, data: 0.004) , G_GAN: 0.243, G_L1: 1.653, D_real: 0.283, D_fake: 0.216

[Rank 0] (epoch: 36, iters: 100, time: 0.452, data: 0.228) , G_GAN: 0.251, G_L1: 1.906, D_real: 0.271, D_fake: 0.227

[Rank 0] (epoch: 37, iters: 80, time: 1.269, data: 0.005) , G_GAN: 0.253, G_L1: 1.788, D_real: 0.311, D_fake: 0.205

[Rank 0] (epoch: 38, iters: 60, time: 0.451, data: 0.004) , G_GAN: 0.274, G_L1: 1.921, D_real: 0.249, D_fake: 0.255

[Rank 0] (epoch: 39, iters: 40, time: 0.452, data: 0.004) , G_GAN: 0.281, G_L1: 1.694, D_real: 0.283, D_fake: 0.215

[Rank 0] (epoch: 40, iters: 20, time: 0.451, data: 0.005) , G_GAN: 0.261, G_L1: 1.691, D_real: 0.366, D_fake: 0.196

[Rank 0] (epoch: 40, iters: 120, time: 1.259, data: 0.004) , G_GAN: 0.257, G_L1: 1.741, D_real: 0.255, D_fake: 0.234

[Rank 0] (epoch: 41, iters: 100, time: 0.452, data: 0.225) , G_GAN: 0.257, G_L1: 1.920, D_real: 0.260, D_fake: 0.232

[Rank 0] (epoch: 42, iters: 80, time: 0.451, data: 0.004) , G_GAN: 0.242, G_L1: 2.131, D_real: 0.301, D_fake: 0.189

[Rank 0] (epoch: 43, iters: 60, time: 0.452, data: 0.004) , G_GAN: 0.284, G_L1: 1.868, D_real: 0.250, D_fake: 0.220

[Rank 0] (epoch: 44, iters: 40, time: 1.258, data: 0.004) , G_GAN: 0.300, G_L1: 1.618, D_real: 0.213, D_fake: 0.268

[Rank 0] (epoch: 45, iters: 20, time: 0.451, data: 0.004) , G_GAN: 0.246, G_L1: 1.632, D_real: 0.395, D_fake: 0.170

[Rank 0] (epoch: 45, iters: 120, time: 0.450, data: 0.004) , G_GAN: 0.277, G_L1: 1.883, D_real: 0.236, D_fake: 0.246

[Rank 0] (epoch: 46, iters: 100, time: 0.452, data: 0.220) , G_GAN: 0.325, G_L1: 1.481, D_real: 0.203, D_fake: 0.298

[Rank 0] (epoch: 47, iters: 80, time: 1.289, data: 0.004) , G_GAN: 0.296, G_L1: 1.575, D_real: 0.219, D_fake: 0.258

[Rank 0] (epoch: 48, iters: 60, time: 0.451, data: 0.004) , G_GAN: 0.287, G_L1: 1.669, D_real: 0.254, D_fake: 0.182

[Rank 0] (epoch: 49, iters: 40, time: 0.452, data: 0.005) , G_GAN: 0.493, G_L1: 1.828, D_real: 0.168, D_fake: 0.248

[Rank 0] (epoch: 50, iters: 20, time: 0.452, data: 0.004) , G_GAN: 0.252, G_L1: 1.563, D_real: 0.409, D_fake: 0.177

[Rank 0] (epoch: 50, iters: 120, time: 1.263, data: 0.004) , G_GAN: 0.264, G_L1: 1.576, D_real: 0.275, D_fake: 0.260

[Rank 0] (epoch: 51, iters: 100, time: 0.451, data: 0.220) , G_GAN: 0.276, G_L1: 1.613, D_real: 0.268, D_fake: 0.195

[Rank 0] (epoch: 52, iters: 80, time: 0.456, data: 0.004) , G_GAN: 0.316, G_L1: 1.666, D_real: 0.199, D_fake: 0.268

[Rank 0] (epoch: 53, iters: 60, time: 0.452, data: 0.003) , G_GAN: 0.583, G_L1: 1.744, D_real: 0.189, D_fake: 0.256

[Rank 0] (epoch: 54, iters: 40, time: 1.292, data: 0.004) , G_GAN: 0.385, G_L1: 1.828, D_real: 0.142, D_fake: 0.247

[Rank 0] (epoch: 55, iters: 20, time: 0.468, data: 0.006) , G_GAN: 0.270, G_L1: 1.758, D_real: 0.226, D_fake: 0.224

[Rank 0] (epoch: 55, iters: 120, time: 0.481, data: 0.005) , G_GAN: 0.294, G_L1: 1.639, D_real: 0.315, D_fake: 0.153

[Rank 0] (epoch: 56, iters: 100, time: 0.469, data: 0.224) , G_GAN: 0.474, G_L1: 1.864, D_real: 0.133, D_fake: 0.492

[Rank 0] (epoch: 57, iters: 80, time: 1.348, data: 0.004) , G_GAN: 0.363, G_L1: 1.726, D_real: 0.167, D_fake: 0.189

[Rank 0] (epoch: 58, iters: 60, time: 0.450, data: 0.004) , G_GAN: 0.416, G_L1: 1.589, D_real: 0.152, D_fake: 0.185

[Rank 0] (epoch: 59, iters: 40, time: 0.451, data: 0.004) , G_GAN: 0.425, G_L1: 1.654, D_real: 0.190, D_fake: 0.190

[Rank 0] (epoch: 60, iters: 20, time: 0.451, data: 0.004) , G_GAN: 0.263, G_L1: 1.760, D_real: 0.598, D_fake: 0.055

[Rank 0] (epoch: 60, iters: 120, time: 1.289, data: 0.004) , G_GAN: 0.269, G_L1: 1.776, D_real: 0.281, D_fake: 0.178

[Rank 0] (epoch: 61, iters: 100, time: 0.452, data: 0.219) , G_GAN: 0.332, G_L1: 1.618, D_real: 0.180, D_fake: 0.256

[Rank 0] (epoch: 62, iters: 80, time: 0.451, data: 0.004) , G_GAN: 0.397, G_L1: 1.744, D_real: 0.326, D_fake: 0.221

[Rank 0] (epoch: 63, iters: 60, time: 0.451, data: 0.004) , G_GAN: 0.268, G_L1: 1.700, D_real: 0.267, D_fake: 0.252

[Rank 0] (epoch: 64, iters: 40, time: 1.255, data: 0.004) , G_GAN: 0.316, G_L1: 1.542, D_real: 0.184, D_fake: 0.328

[Rank 0] (epoch: 65, iters: 20, time: 0.452, data: 0.004) , G_GAN: 0.267, G_L1: 1.651, D_real: 0.264, D_fake: 0.233

[Rank 0] (epoch: 65, iters: 120, time: 0.449, data: 0.004) , G_GAN: 0.285, G_L1: 1.508, D_real: 0.228, D_fake: 0.272

[Rank 0] (epoch: 66, iters: 100, time: 0.452, data: 0.225) , G_GAN: 0.491, G_L1: 1.379, D_real: 0.200, D_fake: 0.422

[Rank 0] (epoch: 67, iters: 80, time: 1.251, data: 0.004) , G_GAN: 0.416, G_L1: 1.352, D_real: 0.215, D_fake: 0.257

[Rank 0] (epoch: 68, iters: 60, time: 0.452, data: 0.004) , G_GAN: 0.262, G_L1: 1.481, D_real: 0.238, D_fake: 0.227

[Rank 0] (epoch: 69, iters: 40, time: 0.452, data: 0.004) , G_GAN: 0.371, G_L1: 1.664, D_real: 0.208, D_fake: 0.189

[Rank 0] (epoch: 70, iters: 20, time: 0.452, data: 0.004) , G_GAN: 0.376, G_L1: 1.676, D_real: 0.178, D_fake: 0.226

[Rank 0] (epoch: 70, iters: 120, time: 1.301, data: 0.003) , G_GAN: 0.529, G_L1: 1.692, D_real: 0.184, D_fake: 0.289

[Rank 0] (epoch: 71, iters: 100, time: 0.452, data: 0.235) , G_GAN: 0.339, G_L1: 1.645, D_real: 0.178, D_fake: 0.336

[Rank 0] (epoch: 72, iters: 80, time: 0.452, data: 0.004) , G_GAN: 0.267, G_L1: 1.592, D_real: 0.348, D_fake: 0.180

[Rank 0] (epoch: 73, iters: 60, time: 0.451, data: 0.004) , G_GAN: 0.331, G_L1: 1.512, D_real: 0.264, D_fake: 0.205

