================ Training Loss (Mon Mar  2 22:03:15 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.676, data: 0.208) , G_GAN: 0.397, G_L1: 1.075, D_real: 0.269, D_fake: 0.307, G_FM: 10.751

[Rank 0] (epoch: 2, iters: 80, time: 0.666, data: 0.005) , G_GAN: 0.552, G_L1: 0.976, D_real: 0.161, D_fake: 0.153, G_FM: 10.216

[Rank 0] (epoch: 3, iters: 60, time: 0.670, data: 0.003) , G_GAN: 0.484, G_L1: 0.891, D_real: 0.144, D_fake: 0.184, G_FM: 9.767

[Rank 0] (epoch: 4, iters: 40, time: 1.287, data: 0.004) , G_GAN: 0.760, G_L1: 0.899, D_real: 0.060, D_fake: 0.117, G_FM: 10.448

[Rank 0] (epoch: 5, iters: 20, time: 0.669, data: 0.004) , G_GAN: 0.295, G_L1: 0.610, D_real: 0.293, D_fake: 0.237, G_FM: 7.124

[Rank 0] (epoch: 5, iters: 120, time: 0.659, data: 0.004) , G_GAN: 0.380, G_L1: 0.763, D_real: 0.214, D_fake: 0.190, G_FM: 9.683

[Rank 0] (epoch: 6, iters: 100, time: 0.687, data: 0.251) , G_GAN: 0.355, G_L1: 0.748, D_real: 0.208, D_fake: 0.209, G_FM: 9.894

[Rank 0] (epoch: 7, iters: 80, time: 1.340, data: 0.004) , G_GAN: 0.407, G_L1: 0.718, D_real: 0.249, D_fake: 0.193, G_FM: 10.108

[Rank 0] (epoch: 8, iters: 60, time: 0.593, data: 0.004) , G_GAN: 0.472, G_L1: 0.596, D_real: 0.138, D_fake: 0.142, G_FM: 9.194

[Rank 0] (epoch: 9, iters: 40, time: 0.632, data: 0.004) , G_GAN: 0.648, G_L1: 0.702, D_real: 0.085, D_fake: 0.145, G_FM: 11.127

[Rank 0] (epoch: 10, iters: 20, time: 0.593, data: 0.004) , G_GAN: 0.505, G_L1: 0.662, D_real: 0.136, D_fake: 0.123, G_FM: 11.149

[Rank 0] (epoch: 10, iters: 120, time: 1.343, data: 0.003) , G_GAN: 0.552, G_L1: 0.841, D_real: 0.125, D_fake: 0.124, G_FM: 14.097

[Rank 0] (epoch: 11, iters: 100, time: 0.596, data: 0.224) , G_GAN: 0.535, G_L1: 0.672, D_real: 0.165, D_fake: 0.152, G_FM: 11.663

[Rank 0] (epoch: 12, iters: 80, time: 0.593, data: 0.005) , G_GAN: 0.607, G_L1: 0.723, D_real: 0.117, D_fake: 0.067, G_FM: 12.951

[Rank 0] (epoch: 13, iters: 60, time: 0.593, data: 0.004) , G_GAN: 0.626, G_L1: 0.641, D_real: 0.190, D_fake: 0.078, G_FM: 12.451

[Rank 0] (epoch: 14, iters: 40, time: 1.321, data: 0.004) , G_GAN: 0.613, G_L1: 0.595, D_real: 0.090, D_fake: 0.084, G_FM: 12.214

[Rank 0] (epoch: 15, iters: 20, time: 0.594, data: 0.004) , G_GAN: 0.612, G_L1: 0.758, D_real: 0.106, D_fake: 0.086, G_FM: 14.598

[Rank 0] (epoch: 15, iters: 120, time: 0.590, data: 0.004) , G_GAN: 0.510, G_L1: 0.602, D_real: 0.145, D_fake: 0.091, G_FM: 12.161

[Rank 0] (epoch: 16, iters: 100, time: 0.593, data: 0.236) , G_GAN: 0.523, G_L1: 0.722, D_real: 0.224, D_fake: 0.095, G_FM: 15.455

[Rank 0] (epoch: 17, iters: 80, time: 1.285, data: 0.004) , G_GAN: 0.561, G_L1: 0.590, D_real: 0.210, D_fake: 0.093, G_FM: 12.260

[Rank 0] (epoch: 18, iters: 60, time: 0.618, data: 0.004) , G_GAN: 0.647, G_L1: 0.656, D_real: 0.151, D_fake: 0.078, G_FM: 14.578

[Rank 0] (epoch: 19, iters: 40, time: 0.593, data: 0.004) , G_GAN: 0.595, G_L1: 0.638, D_real: 0.187, D_fake: 0.051, G_FM: 14.818

[Rank 0] (epoch: 20, iters: 20, time: 0.593, data: 0.004) , G_GAN: 0.505, G_L1: 0.658, D_real: 0.089, D_fake: 0.164, G_FM: 13.586

[Rank 0] (epoch: 20, iters: 120, time: 1.307, data: 0.003) , G_GAN: 0.592, G_L1: 0.546, D_real: 0.159, D_fake: 0.128, G_FM: 11.939

[Rank 0] (epoch: 21, iters: 100, time: 0.593, data: 0.222) , G_GAN: 0.477, G_L1: 0.566, D_real: 0.117, D_fake: 0.164, G_FM: 12.541

[Rank 0] (epoch: 22, iters: 80, time: 0.592, data: 0.004) , G_GAN: 0.525, G_L1: 0.497, D_real: 0.128, D_fake: 0.113, G_FM: 12.050

[Rank 0] (epoch: 23, iters: 60, time: 0.594, data: 0.004) , G_GAN: 0.537, G_L1: 0.552, D_real: 0.161, D_fake: 0.204, G_FM: 13.602

[Rank 0] (epoch: 24, iters: 40, time: 1.366, data: 0.004) , G_GAN: 0.680, G_L1: 0.545, D_real: 0.125, D_fake: 0.079, G_FM: 13.083

[Rank 0] (epoch: 25, iters: 20, time: 0.593, data: 0.004) , G_GAN: 0.485, G_L1: 0.486, D_real: 0.118, D_fake: 0.139, G_FM: 11.375

[Rank 0] (epoch: 25, iters: 120, time: 0.591, data: 0.004) , G_GAN: 0.592, G_L1: 0.545, D_real: 0.071, D_fake: 0.123, G_FM: 12.359

[Rank 0] (epoch: 26, iters: 100, time: 0.593, data: 0.226) , G_GAN: 0.671, G_L1: 0.536, D_real: 0.046, D_fake: 0.123, G_FM: 13.583

[Rank 0] (epoch: 27, iters: 80, time: 1.343, data: 0.004) , G_GAN: 0.568, G_L1: 0.489, D_real: 0.083, D_fake: 0.080, G_FM: 12.802

[Rank 0] (epoch: 28, iters: 60, time: 0.593, data: 0.004) , G_GAN: 0.566, G_L1: 0.575, D_real: 0.153, D_fake: 0.091, G_FM: 13.059

[Rank 0] (epoch: 29, iters: 40, time: 0.592, data: 0.004) , G_GAN: 0.653, G_L1: 0.475, D_real: 0.225, D_fake: 0.044, G_FM: 12.027

[Rank 0] (epoch: 30, iters: 20, time: 0.593, data: 0.004) , G_GAN: 0.748, G_L1: 0.466, D_real: 0.082, D_fake: 0.065, G_FM: 12.014

[Rank 0] (epoch: 30, iters: 120, time: 1.339, data: 0.004) , G_GAN: 0.656, G_L1: 0.465, D_real: 0.111, D_fake: 0.050, G_FM: 12.034

[Rank 0] (epoch: 31, iters: 100, time: 0.593, data: 0.223) , G_GAN: 0.481, G_L1: 0.441, D_real: 0.124, D_fake: 0.102, G_FM: 12.272

