================ Training Loss (Sun Feb 15 22:10:08 2026) ================
[Rank 0] (epoch: 5, iters: 20, time: 0.045, data: 0.070) , G_GAN: 1.393, G_L1: 20.144, D_real: 1.051, D_fake: 0.115

[Rank 0] (epoch: 10, iters: 20, time: 0.039, data: 0.093) , G_GAN: 1.579, G_L1: 9.372, D_real: 0.179, D_fake: 0.268

[Rank 0] (epoch: 15, iters: 20, time: 0.043, data: 0.156) , G_GAN: 1.727, G_L1: 8.460, D_real: 1.587, D_fake: 0.074

[Rank 0] (epoch: 20, iters: 20, time: 0.105, data: 0.193) , G_GAN: 2.552, G_L1: 9.143, D_real: 0.165, D_fake: 0.655

[Rank 0] (epoch: 25, iters: 20, time: 0.446, data: 0.123) , G_GAN: 3.138, G_L1: 8.673, D_real: 0.216, D_fake: 1.088

[Rank 0] (epoch: 30, iters: 20, time: 0.096, data: 0.161) , G_GAN: 2.155, G_L1: 8.366, D_real: 0.351, D_fake: 0.196

[Rank 0] (epoch: 35, iters: 20, time: 0.093, data: 0.151) , G_GAN: 1.775, G_L1: 8.553, D_real: 0.445, D_fake: 0.784

[Rank 0] (epoch: 40, iters: 20, time: 0.229, data: 0.161) , G_GAN: 1.402, G_L1: 8.237, D_real: 0.448, D_fake: 0.572

[Rank 0] (epoch: 45, iters: 20, time: 0.081, data: 0.261) , G_GAN: 1.812, G_L1: 7.821, D_real: 0.537, D_fake: 0.279

[Rank 0] (epoch: 50, iters: 20, time: 0.354, data: 0.342) , G_GAN: 1.398, G_L1: 7.172, D_real: 0.360, D_fake: 0.546

[Rank 0] (epoch: 55, iters: 20, time: 0.095, data: 0.284) , G_GAN: 1.567, G_L1: 7.049, D_real: 1.113, D_fake: 0.310

[Rank 0] (epoch: 60, iters: 20, time: 0.510, data: 0.384) , G_GAN: 1.648, G_L1: 6.913, D_real: 0.539, D_fake: 0.394

[Rank 0] (epoch: 65, iters: 20, time: 0.029, data: 0.414) , G_GAN: 1.414, G_L1: 6.816, D_real: 0.472, D_fake: 0.495

[Rank 0] (epoch: 70, iters: 20, time: 0.030, data: 0.093) , G_GAN: 2.011, G_L1: 6.812, D_real: 0.423, D_fake: 0.428

[Rank 0] (epoch: 75, iters: 20, time: 0.036, data: 0.070) , G_GAN: 1.301, G_L1: 5.766, D_real: 0.877, D_fake: 0.410

[Rank 0] (epoch: 80, iters: 20, time: 0.051, data: 0.098) , G_GAN: 1.445, G_L1: 6.407, D_real: 0.614, D_fake: 0.581

[Rank 0] (epoch: 85, iters: 20, time: 0.029, data: 0.069) , G_GAN: 1.633, G_L1: 5.734, D_real: 0.446, D_fake: 0.553

[Rank 0] (epoch: 90, iters: 20, time: 0.029, data: 0.063) , G_GAN: 1.407, G_L1: 5.825, D_real: 0.349, D_fake: 0.589

[Rank 0] (epoch: 95, iters: 20, time: 0.035, data: 0.062) , G_GAN: 1.296, G_L1: 6.256, D_real: 0.849, D_fake: 0.809

[Rank 0] (epoch: 100, iters: 20, time: 0.046, data: 0.068) , G_GAN: 1.019, G_L1: 5.209, D_real: 0.589, D_fake: 0.443

[Rank 0] (epoch: 105, iters: 20, time: 0.030, data: 0.076) , G_GAN: 1.421, G_L1: 5.548, D_real: 0.476, D_fake: 0.775

[Rank 0] (epoch: 110, iters: 20, time: 0.029, data: 0.078) , G_GAN: 1.287, G_L1: 5.106, D_real: 0.519, D_fake: 0.522

[Rank 0] (epoch: 115, iters: 20, time: 0.030, data: 0.073) , G_GAN: 1.070, G_L1: 5.022, D_real: 0.527, D_fake: 0.557

[Rank 0] (epoch: 120, iters: 20, time: 0.049, data: 0.070) , G_GAN: 1.151, G_L1: 4.957, D_real: 0.581, D_fake: 0.639

[Rank 0] (epoch: 125, iters: 20, time: 0.030, data: 0.081) , G_GAN: 0.910, G_L1: 4.933, D_real: 0.599, D_fake: 0.479

[Rank 0] (epoch: 130, iters: 20, time: 0.029, data: 0.077) , G_GAN: 1.231, G_L1: 4.854, D_real: 0.693, D_fake: 0.335

[Rank 0] (epoch: 135, iters: 20, time: 0.030, data: 0.072) , G_GAN: 1.234, G_L1: 4.518, D_real: 0.333, D_fake: 0.671

[Rank 0] (epoch: 140, iters: 20, time: 0.049, data: 0.086) , G_GAN: 1.036, G_L1: 4.596, D_real: 0.430, D_fake: 0.670

[Rank 0] (epoch: 145, iters: 20, time: 0.029, data: 0.069) , G_GAN: 1.121, G_L1: 4.739, D_real: 0.548, D_fake: 0.657

[Rank 0] (epoch: 150, iters: 20, time: 0.033, data: 0.062) , G_GAN: 0.869, G_L1: 4.374, D_real: 0.660, D_fake: 0.502

[Rank 0] (epoch: 155, iters: 20, time: 0.032, data: 0.060) , G_GAN: 1.083, G_L1: 4.668, D_real: 0.530, D_fake: 0.814

[Rank 0] (epoch: 160, iters: 20, time: 0.047, data: 0.073) , G_GAN: 0.846, G_L1: 4.262, D_real: 0.789, D_fake: 0.403

[Rank 0] (epoch: 165, iters: 20, time: 0.029, data: 0.069) , G_GAN: 0.912, G_L1: 4.195, D_real: 0.616, D_fake: 0.444

[Rank 0] (epoch: 170, iters: 20, time: 0.030, data: 0.063) , G_GAN: 1.058, G_L1: 4.344, D_real: 0.366, D_fake: 0.642

[Rank 0] (epoch: 175, iters: 20, time: 0.030, data: 0.064) , G_GAN: 0.987, G_L1: 4.384, D_real: 0.466, D_fake: 0.636

[Rank 0] (epoch: 180, iters: 20, time: 0.090, data: 0.064) , G_GAN: 0.830, G_L1: 4.161, D_real: 0.764, D_fake: 0.472

[Rank 0] (epoch: 185, iters: 20, time: 0.030, data: 0.062) , G_GAN: 0.959, G_L1: 4.237, D_real: 0.593, D_fake: 0.531

[Rank 0] (epoch: 190, iters: 20, time: 0.030, data: 0.061) , G_GAN: 1.010, G_L1: 4.308, D_real: 0.494, D_fake: 0.518

[Rank 0] (epoch: 195, iters: 20, time: 0.030, data: 0.069) , G_GAN: 0.939, G_L1: 4.138, D_real: 0.513, D_fake: 0.552

[Rank 0] (epoch: 200, iters: 20, time: 0.053, data: 0.070) , G_GAN: 1.022, G_L1: 4.096, D_real: 0.559, D_fake: 0.476

================ Training Loss (Sun Feb 15 22:22:11 2026) ================
[Rank 0] (epoch: 205, iters: 20, time: 0.030, data: 0.057) , G_GAN: 1.514, G_L1: 4.126, D_real: 0.393, D_fake: 1.267

[Rank 0] (epoch: 210, iters: 20, time: 0.029, data: 0.062) , G_GAN: 0.481, G_L1: 4.090, D_real: 1.044, D_fake: 0.297

[Rank 0] (epoch: 215, iters: 20, time: 0.029, data: 0.065) , G_GAN: 1.001, G_L1: 3.946, D_real: 0.556, D_fake: 0.473

[Rank 0] (epoch: 220, iters: 20, time: 0.067, data: 0.063) , G_GAN: 0.714, G_L1: 3.830, D_real: 0.942, D_fake: 0.361

[Rank 0] (epoch: 225, iters: 20, time: 0.029, data: 0.056) , G_GAN: 0.819, G_L1: 3.764, D_real: 0.613, D_fake: 0.531

[Rank 0] (epoch: 230, iters: 20, time: 0.029, data: 0.056) , G_GAN: 1.356, G_L1: 3.632, D_real: 0.347, D_fake: 0.833

