================ Training Loss (Tue Feb 24 15:37:24 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.390, data: 0.141) , G_GAN: 0.989, G_L1: 5.306, D_real: 0.155, D_fake: 0.078

[Rank 0] (epoch: 2, iters: 89, time: 0.372, data: 0.002) , G_GAN: 0.938, G_L1: 4.738, D_real: 0.368, D_fake: 0.378

[Rank 0] (epoch: 3, iters: 78, time: 0.373, data: 0.002) , G_GAN: 0.467, G_L1: 4.504, D_real: 0.091, D_fake: 0.309

[Rank 0] (epoch: 4, iters: 67, time: 1.095, data: 0.002) , G_GAN: 0.542, G_L1: 6.169, D_real: 0.093, D_fake: 0.349

[Rank 0] (epoch: 5, iters: 56, time: 0.373, data: 0.003) , G_GAN: 0.519, G_L1: 5.504, D_real: 0.157, D_fake: 0.282

[Rank 0] (epoch: 6, iters: 45, time: 0.372, data: 0.003) , G_GAN: 0.984, G_L1: 6.270, D_real: 0.142, D_fake: 0.560

[Rank 0] (epoch: 7, iters: 34, time: 0.372, data: 0.003) , G_GAN: 0.594, G_L1: 4.228, D_real: 0.074, D_fake: 0.249

[Rank 0] (epoch: 8, iters: 23, time: 1.193, data: 0.003) , G_GAN: 0.712, G_L1: 5.769, D_real: 0.160, D_fake: 0.336

[Rank 0] (epoch: 9, iters: 12, time: 0.393, data: 0.002) , G_GAN: 0.405, G_L1: 5.073, D_real: 0.546, D_fake: 0.138

[Rank 0] (epoch: 10, iters: 1, time: 0.238, data: 0.003) , G_GAN: 0.466, G_L1: 4.816, D_real: 0.238, D_fake: 0.130

[Rank 0] (epoch: 10, iters: 101, time: 0.371, data: 0.003) , G_GAN: 0.495, G_L1: 5.487, D_real: 0.250, D_fake: 0.482

[Rank 0] (epoch: 11, iters: 90, time: 1.140, data: 0.003) , G_GAN: 0.681, G_L1: 5.013, D_real: 0.086, D_fake: 0.205

[Rank 0] (epoch: 12, iters: 79, time: 0.407, data: 0.003) , G_GAN: 0.378, G_L1: 4.708, D_real: 0.537, D_fake: 0.084

[Rank 0] (epoch: 13, iters: 68, time: 0.370, data: 0.002) , G_GAN: 0.608, G_L1: 4.807, D_real: 0.422, D_fake: 0.340

[Rank 0] (epoch: 14, iters: 57, time: 0.371, data: 0.003) , G_GAN: 0.849, G_L1: 5.265, D_real: 0.039, D_fake: 0.153

