================ Training Loss (Thu Feb 26 09:11:10 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.430, data: 0.372) , G_GAN: 0.409, G_L1: 4.479, D_real: 0.217, D_fake: 0.212

[Rank 0] (epoch: 2, iters: 89, time: 0.435, data: 0.004) , G_GAN: 0.819, G_L1: 5.922, D_real: 0.433, D_fake: 0.641

[Rank 0] (epoch: 3, iters: 78, time: 0.455, data: 0.003) , G_GAN: 0.711, G_L1: 4.384, D_real: 0.057, D_fake: 0.104

[Rank 0] (epoch: 4, iters: 67, time: 1.203, data: 0.003) , G_GAN: 0.806, G_L1: 3.953, D_real: 0.050, D_fake: 0.042

[Rank 0] (epoch: 5, iters: 56, time: 0.464, data: 0.003) , G_GAN: 1.286, G_L1: 3.687, D_real: 0.021, D_fake: 0.024

[Rank 0] (epoch: 6, iters: 45, time: 0.433, data: 0.004) , G_GAN: 1.030, G_L1: 6.703, D_real: 0.030, D_fake: 0.027

[Rank 0] (epoch: 7, iters: 34, time: 0.444, data: 0.003) , G_GAN: 1.003, G_L1: 5.316, D_real: 0.045, D_fake: 0.053

[Rank 0] (epoch: 8, iters: 23, time: 1.227, data: 0.004) , G_GAN: 1.098, G_L1: 7.187, D_real: 0.037, D_fake: 0.018

[Rank 0] (epoch: 9, iters: 12, time: 0.429, data: 0.003) , G_GAN: 0.792, G_L1: 4.234, D_real: 0.032, D_fake: 0.412

[Rank 0] (epoch: 10, iters: 1, time: 0.227, data: 0.004) , G_GAN: 1.075, G_L1: 4.284, D_real: 0.017, D_fake: 0.017

[Rank 0] (epoch: 10, iters: 101, time: 0.436, data: 0.003) , G_GAN: 1.042, G_L1: 4.843, D_real: 0.043, D_fake: 0.028

[Rank 0] (epoch: 11, iters: 90, time: 1.212, data: 0.003) , G_GAN: 0.242, G_L1: 4.556, D_real: 0.247, D_fake: 0.035

[Rank 0] (epoch: 12, iters: 79, time: 0.430, data: 0.003) , G_GAN: 0.872, G_L1: 4.574, D_real: 0.031, D_fake: 0.044

[Rank 0] (epoch: 13, iters: 68, time: 0.430, data: 0.003) , G_GAN: 1.041, G_L1: 3.371, D_real: 0.024, D_fake: 0.034

[Rank 0] (epoch: 14, iters: 57, time: 0.433, data: 0.004) , G_GAN: 0.987, G_L1: 5.324, D_real: 0.016, D_fake: 0.047

[Rank 0] (epoch: 15, iters: 46, time: 1.233, data: 0.004) , G_GAN: 0.865, G_L1: 3.792, D_real: 0.029, D_fake: 0.021

[Rank 0] (epoch: 16, iters: 35, time: 0.430, data: 0.003) , G_GAN: 0.928, G_L1: 4.131, D_real: 0.006, D_fake: 0.011

[Rank 0] (epoch: 17, iters: 24, time: 0.431, data: 0.003) , G_GAN: 1.072, G_L1: 3.285, D_real: 0.018, D_fake: 0.022

[Rank 0] (epoch: 18, iters: 13, time: 0.430, data: 0.004) , G_GAN: 0.887, G_L1: 4.313, D_real: 0.013, D_fake: 0.014

[Rank 0] (epoch: 19, iters: 2, time: 1.227, data: 0.004) , G_GAN: 0.859, G_L1: 3.308, D_real: 0.057, D_fake: 0.058

[Rank 0] (epoch: 19, iters: 102, time: 0.432, data: 0.003) , G_GAN: 0.811, G_L1: 4.279, D_real: 0.013, D_fake: 0.032

[Rank 0] (epoch: 20, iters: 91, time: 0.432, data: 0.004) , G_GAN: 1.010, G_L1: 3.506, D_real: 0.017, D_fake: 0.016

[Rank 0] (epoch: 21, iters: 80, time: 0.432, data: 0.006) , G_GAN: 1.087, G_L1: 4.137, D_real: 0.056, D_fake: 0.029

[Rank 0] (epoch: 22, iters: 69, time: 1.243, data: 0.004) , G_GAN: 1.118, G_L1: 3.776, D_real: 0.183, D_fake: 0.199

[Rank 0] (epoch: 23, iters: 58, time: 0.431, data: 0.004) , G_GAN: 0.307, G_L1: 3.170, D_real: 0.230, D_fake: 0.239

[Rank 0] (epoch: 24, iters: 47, time: 0.460, data: 0.004) , G_GAN: 0.242, G_L1: 3.209, D_real: 0.414, D_fake: 0.126

[Rank 0] (epoch: 25, iters: 36, time: 0.458, data: 0.004) , G_GAN: 0.760, G_L1: 3.013, D_real: 0.099, D_fake: 0.099

[Rank 0] (epoch: 26, iters: 25, time: 1.264, data: 0.004) , G_GAN: 0.843, G_L1: 3.248, D_real: 0.210, D_fake: 0.286

[Rank 0] (epoch: 27, iters: 14, time: 0.455, data: 0.004) , G_GAN: 0.998, G_L1: 3.162, D_real: 0.025, D_fake: 0.009

[Rank 0] (epoch: 28, iters: 3, time: 0.435, data: 0.003) , G_GAN: 0.841, G_L1: 3.698, D_real: 0.012, D_fake: 0.013

[Rank 0] (epoch: 28, iters: 103, time: 0.443, data: 0.004) , G_GAN: 0.877, G_L1: 3.842, D_real: 0.030, D_fake: 0.046

[Rank 0] (epoch: 29, iters: 92, time: 1.263, data: 0.003) , G_GAN: 0.991, G_L1: 2.821, D_real: 0.012, D_fake: 0.010

[Rank 0] (epoch: 30, iters: 81, time: 0.441, data: 0.004) , G_GAN: 1.019, G_L1: 2.971, D_real: 0.011, D_fake: 0.032

[Rank 0] (epoch: 31, iters: 70, time: 0.430, data: 0.004) , G_GAN: 1.045, G_L1: 2.761, D_real: 0.004, D_fake: 0.007

[Rank 0] (epoch: 32, iters: 59, time: 0.430, data: 0.004) , G_GAN: 0.990, G_L1: 3.403, D_real: 0.018, D_fake: 0.026

[Rank 0] (epoch: 33, iters: 48, time: 1.231, data: 0.004) , G_GAN: 0.940, G_L1: 2.374, D_real: 0.007, D_fake: 0.016

[Rank 0] (epoch: 34, iters: 37, time: 0.449, data: 0.004) , G_GAN: 0.949, G_L1: 3.479, D_real: 0.011, D_fake: 0.016

[Rank 0] (epoch: 35, iters: 26, time: 0.430, data: 0.004) , G_GAN: 1.150, G_L1: 2.856, D_real: 0.033, D_fake: 0.018

[Rank 0] (epoch: 36, iters: 15, time: 0.431, data: 0.004) , G_GAN: 0.515, G_L1: 2.439, D_real: 0.224, D_fake: 0.251

[Rank 0] (epoch: 37, iters: 4, time: 1.240, data: 0.004) , G_GAN: 1.086, G_L1: 2.567, D_real: 0.009, D_fake: 0.006

[Rank 0] (epoch: 37, iters: 104, time: 0.438, data: 0.007) , G_GAN: 1.109, G_L1: 2.527, D_real: 0.020, D_fake: 0.034

[Rank 0] (epoch: 38, iters: 93, time: 0.441, data: 0.004) , G_GAN: 0.995, G_L1: 2.468, D_real: 0.035, D_fake: 0.026

