================ Training Loss (Sat Feb 28 21:20:49 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.621, data: 0.527) , G_GAN: 0.247, G_L1: 0.276, D_real: 0.225, D_fake: 0.511, G_FM: 12.467

[Rank 0] (epoch: 2, iters: 89, time: 0.622, data: 0.004) , G_GAN: 0.397, G_L1: 0.261, D_real: 0.217, D_fake: 0.211, G_FM: 14.226

[Rank 0] (epoch: 3, iters: 78, time: 0.622, data: 0.004) , G_GAN: 0.636, G_L1: 0.275, D_real: 0.080, D_fake: 0.067, G_FM: 13.878

[Rank 0] (epoch: 4, iters: 67, time: 1.434, data: 0.003) , G_GAN: 0.317, G_L1: 0.251, D_real: 0.258, D_fake: 0.215, G_FM: 13.720

[Rank 0] (epoch: 5, iters: 56, time: 0.622, data: 0.003) , G_GAN: 0.423, G_L1: 0.258, D_real: 0.158, D_fake: 0.232, G_FM: 14.246

[Rank 0] (epoch: 6, iters: 45, time: 0.623, data: 0.003) , G_GAN: 0.448, G_L1: 0.256, D_real: 0.101, D_fake: 0.190, G_FM: 14.395

[Rank 0] (epoch: 7, iters: 34, time: 0.625, data: 0.004) , G_GAN: 0.376, G_L1: 0.270, D_real: 0.102, D_fake: 0.261, G_FM: 14.120

[Rank 0] (epoch: 8, iters: 23, time: 1.430, data: 0.004) , G_GAN: 0.532, G_L1: 0.264, D_real: 0.203, D_fake: 0.079, G_FM: 13.490

[Rank 0] (epoch: 9, iters: 12, time: 0.623, data: 0.003) , G_GAN: 0.477, G_L1: 0.295, D_real: 0.053, D_fake: 0.318, G_FM: 13.348

[Rank 0] (epoch: 10, iters: 1, time: 0.400, data: 0.004) , G_GAN: 0.541, G_L1: 0.288, D_real: 0.142, D_fake: 0.063, G_FM: 12.618

[Rank 0] (epoch: 10, iters: 101, time: 0.625, data: 0.003) , G_GAN: 0.543, G_L1: 0.257, D_real: 0.238, D_fake: 0.106, G_FM: 13.690

[Rank 0] (epoch: 11, iters: 90, time: 1.447, data: 0.004) , G_GAN: 0.292, G_L1: 0.257, D_real: 0.078, D_fake: 0.685, G_FM: 14.555

[Rank 0] (epoch: 12, iters: 79, time: 0.621, data: 0.003) , G_GAN: 0.321, G_L1: 0.258, D_real: 0.102, D_fake: 0.404, G_FM: 13.566

[Rank 0] (epoch: 13, iters: 68, time: 0.622, data: 0.004) , G_GAN: 0.491, G_L1: 0.259, D_real: 0.543, D_fake: 0.071, G_FM: 13.552

[Rank 0] (epoch: 14, iters: 57, time: 0.622, data: 0.003) , G_GAN: 0.521, G_L1: 0.250, D_real: 0.248, D_fake: 0.116, G_FM: 14.319

[Rank 0] (epoch: 15, iters: 46, time: 1.428, data: 0.003) , G_GAN: 0.506, G_L1: 0.282, D_real: 0.145, D_fake: 0.149, G_FM: 12.883

[Rank 0] (epoch: 16, iters: 35, time: 0.622, data: 0.004) , G_GAN: 0.524, G_L1: 0.243, D_real: 0.136, D_fake: 0.139, G_FM: 13.958

[Rank 0] (epoch: 17, iters: 24, time: 0.622, data: 0.004) , G_GAN: 0.391, G_L1: 0.294, D_real: 0.165, D_fake: 0.249, G_FM: 12.866

[Rank 0] (epoch: 18, iters: 13, time: 0.623, data: 0.004) , G_GAN: 0.462, G_L1: 0.245, D_real: 0.237, D_fake: 0.074, G_FM: 14.050

[Rank 0] (epoch: 19, iters: 2, time: 1.428, data: 0.004) , G_GAN: 0.370, G_L1: 0.292, D_real: 0.271, D_fake: 0.322, G_FM: 13.911

[Rank 0] (epoch: 19, iters: 102, time: 0.621, data: 0.003) , G_GAN: 0.481, G_L1: 0.258, D_real: 0.225, D_fake: 0.120, G_FM: 13.615

[Rank 0] (epoch: 20, iters: 91, time: 0.622, data: 0.004) , G_GAN: 0.537, G_L1: 0.255, D_real: 0.223, D_fake: 0.062, G_FM: 13.986

[Rank 0] (epoch: 21, iters: 80, time: 0.638, data: 0.004) , G_GAN: 0.457, G_L1: 0.279, D_real: 0.184, D_fake: 0.190, G_FM: 14.539

[Rank 0] (epoch: 22, iters: 69, time: 1.429, data: 0.005) , G_GAN: 0.502, G_L1: 0.292, D_real: 0.079, D_fake: 0.129, G_FM: 13.046

