================ Training Loss (Thu Feb 19 09:31:00 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.131, data: 0.081) , G_GAN: 1.090, G_L1: 3.395, D_real: 0.595, D_fake: 0.870

[Rank 0] (epoch: 1, iters: 200, time: 0.115, data: 0.001) , G_GAN: 0.762, G_L1: 1.839, D_real: 0.831, D_fake: 0.643

[Rank 0] (epoch: 1, iters: 300, time: 0.115, data: 0.001) , G_GAN: 0.788, G_L1: 1.635, D_real: 0.636, D_fake: 0.706

[Rank 0] (epoch: 1, iters: 400, time: 0.340, data: 0.001) , G_GAN: 0.611, G_L1: 1.704, D_real: 1.269, D_fake: 0.688

[Rank 0] (epoch: 1, iters: 500, time: 0.115, data: 0.001) , G_GAN: 0.835, G_L1: 1.555, D_real: 0.842, D_fake: 0.539

[Rank 0] (epoch: 1, iters: 600, time: 0.124, data: 0.001) , G_GAN: 0.867, G_L1: 2.257, D_real: 0.627, D_fake: 0.629

[Rank 0] (epoch: 1, iters: 700, time: 0.120, data: 0.002) , G_GAN: 0.909, G_L1: 1.634, D_real: 0.505, D_fake: 0.647

[Rank 0] (epoch: 1, iters: 800, time: 0.115, data: 0.002) , G_GAN: 0.836, G_L1: 2.563, D_real: 0.629, D_fake: 0.810

[Rank 0] (epoch: 1, iters: 900, time: 0.115, data: 0.001) , G_GAN: 0.917, G_L1: 1.693, D_real: 0.877, D_fake: 0.467

[Rank 0] (epoch: 1, iters: 1000, time: 0.115, data: 0.002) , G_GAN: 0.623, G_L1: 1.589, D_real: 0.703, D_fake: 0.789

[Rank 0] (epoch: 1, iters: 1100, time: 0.115, data: 0.002) , G_GAN: 0.817, G_L1: 1.740, D_real: 0.714, D_fake: 0.561

[Rank 0] (epoch: 1, iters: 1200, time: 0.115, data: 0.002) , G_GAN: 0.791, G_L1: 2.130, D_real: 0.484, D_fake: 0.734

[Rank 0] (epoch: 1, iters: 1300, time: 0.115, data: 0.001) , G_GAN: 1.100, G_L1: 1.841, D_real: 0.629, D_fake: 0.471

[Rank 0] (epoch: 1, iters: 1400, time: 0.115, data: 0.001) , G_GAN: 0.884, G_L1: 2.055, D_real: 0.978, D_fake: 0.462

[Rank 0] (epoch: 1, iters: 1500, time: 0.115, data: 0.002) , G_GAN: 0.728, G_L1: 1.893, D_real: 0.572, D_fake: 0.803

[Rank 0] (epoch: 1, iters: 1600, time: 0.123, data: 0.001) , G_GAN: 1.560, G_L1: 2.466, D_real: 0.556, D_fake: 0.283

[Rank 0] (epoch: 1, iters: 1700, time: 0.115, data: 0.001) , G_GAN: 0.687, G_L1: 1.478, D_real: 0.708, D_fake: 0.730

[Rank 0] (epoch: 1, iters: 1800, time: 0.115, data: 0.001) , G_GAN: 0.985, G_L1: 1.685, D_real: 0.643, D_fake: 0.462

[Rank 0] (epoch: 1, iters: 1900, time: 0.115, data: 0.002) , G_GAN: 1.065, G_L1: 1.834, D_real: 0.648, D_fake: 0.511

[Rank 0] (epoch: 1, iters: 2000, time: 0.279, data: 0.001) , G_GAN: 0.804, G_L1: 1.398, D_real: 0.674, D_fake: 0.682

[Rank 0] (epoch: 1, iters: 2100, time: 0.116, data: 0.002) , G_GAN: 0.881, G_L1: 1.534, D_real: 1.015, D_fake: 0.615

[Rank 0] (epoch: 1, iters: 2200, time: 0.115, data: 0.001) , G_GAN: 0.914, G_L1: 1.500, D_real: 0.697, D_fake: 0.566

[Rank 0] (epoch: 1, iters: 2300, time: 0.115, data: 0.002) , G_GAN: 0.929, G_L1: 1.083, D_real: 0.675, D_fake: 0.527

[Rank 0] (epoch: 1, iters: 2400, time: 0.125, data: 0.002) , G_GAN: 0.942, G_L1: 1.909, D_real: 0.662, D_fake: 0.577

[Rank 0] (epoch: 1, iters: 2500, time: 0.115, data: 0.002) , G_GAN: 0.883, G_L1: 2.746, D_real: 0.742, D_fake: 0.733

[Rank 0] (epoch: 1, iters: 2600, time: 0.115, data: 0.002) , G_GAN: 0.932, G_L1: 2.010, D_real: 0.706, D_fake: 0.475

[Rank 0] (epoch: 1, iters: 2700, time: 0.115, data: 0.001) , G_GAN: 0.962, G_L1: 1.411, D_real: 0.644, D_fake: 0.578

[Rank 0] (epoch: 1, iters: 2800, time: 0.115, data: 0.002) , G_GAN: 0.756, G_L1: 1.248, D_real: 0.772, D_fake: 0.889

[Rank 0] (epoch: 1, iters: 2900, time: 0.115, data: 0.002) , G_GAN: 1.018, G_L1: 2.332, D_real: 0.756, D_fake: 0.477

[Rank 0] (epoch: 1, iters: 3000, time: 0.115, data: 0.002) , G_GAN: 0.896, G_L1: 1.351, D_real: 0.820, D_fake: 0.493

[Rank 0] (epoch: 1, iters: 3100, time: 0.116, data: 0.002) , G_GAN: 0.970, G_L1: 1.482, D_real: 0.442, D_fake: 0.668

[Rank 0] (epoch: 2, iters: 94, time: 0.285, data: 0.002) , G_GAN: 0.941, G_L1: 1.797, D_real: 0.964, D_fake: 0.486

[Rank 0] (epoch: 2, iters: 194, time: 0.115, data: 0.002) , G_GAN: 0.785, G_L1: 1.257, D_real: 0.575, D_fake: 0.683

