================ Training Loss (Wed Mar 11 12:06:38 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.267, data: 0.307) , G_GAN: 0.676, G_L1: 2.085, G_delta_bg: 0.235, G_delta: 20.292, G_grad: 0.284, G_delta_grad: 0.152, G_lap: 0.515, G_ssim: 0.618, G_stats: 0.238, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.184, D_fake: 0.165

[Rank 0] (epoch: 1, iters: 200, time: 0.246, data: 0.249) , G_GAN: 0.932, G_L1: 2.216, G_delta_bg: 0.229, G_delta: 22.210, G_grad: 0.270, G_delta_grad: 0.211, G_lap: 0.358, G_ssim: 0.577, G_stats: 0.271, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.064, D_fake: 0.038

[Rank 0] (epoch: 2, iters: 60, time: 0.245, data: 0.294) , G_GAN: 1.019, G_L1: 0.869, G_delta_bg: 0.256, G_delta: 6.110, G_grad: 0.283, G_delta_grad: 0.106, G_lap: 0.294, G_ssim: 0.589, G_stats: 0.073, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.059, D_fake: 0.053

[Rank 0] (epoch: 2, iters: 160, time: 0.775, data: 0.354) , G_GAN: 1.082, G_L1: 1.367, G_delta_bg: 0.254, G_delta: 7.685, G_grad: 0.195, G_delta_grad: 0.085, G_lap: 0.204, G_ssim: 0.424, G_stats: 0.131, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.117, D_fake: 0.055

[Rank 0] (epoch: 3, iters: 20, time: 0.247, data: 0.252) , G_GAN: 1.098, G_L1: 2.583, G_delta_bg: 0.238, G_delta: 19.970, G_grad: 0.587, G_delta_grad: 0.163, G_lap: 0.455, G_ssim: 0.928, G_stats: 0.253, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.072, D_fake: 0.063

[Rank 0] (epoch: 3, iters: 120, time: 0.137, data: 0.588) , G_GAN: 0.000, G_L1: 2.183, G_delta_bg: 0.175, G_delta: 22.412, G_grad: 0.257, G_delta_grad: 0.209, G_lap: 0.153, G_ssim: 0.373, G_stats: 0.251, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 3, iters: 220, time: 0.245, data: 0.304) , G_GAN: 0.935, G_L1: 3.301, G_delta_bg: 0.189, G_delta: 26.651, G_grad: 0.190, G_delta_grad: 0.081, G_lap: 0.210, G_ssim: 0.459, G_stats: 0.331, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.014, D_fake: 0.014

[Rank 0] (epoch: 4, iters: 80, time: 0.758, data: 0.368) , G_GAN: 1.313, G_L1: 0.371, G_delta_bg: 0.214, G_delta: 3.230, G_grad: 0.539, G_delta_grad: 0.341, G_lap: 0.461, G_ssim: 0.221, G_stats: 0.043, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.142, D_fake: 0.132

[Rank 0] (epoch: 4, iters: 180, time: 0.263, data: 0.273) , G_GAN: 0.929, G_L1: 1.078, G_delta_bg: 0.184, G_delta: 11.917, G_grad: 0.268, G_delta_grad: 0.224, G_lap: 0.216, G_ssim: 0.351, G_stats: 0.133, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.011, D_fake: 0.007

[Rank 0] (epoch: 5, iters: 40, time: 0.273, data: 0.317) , G_GAN: 0.972, G_L1: 2.680, G_delta_bg: 0.164, G_delta: 20.687, G_grad: 0.162, G_delta_grad: 0.061, G_lap: 0.196, G_ssim: 0.390, G_stats: 0.264, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.008

[Rank 0] (epoch: 5, iters: 140, time: 0.246, data: 0.244) , G_GAN: 0.969, G_L1: 1.195, G_delta_bg: 0.167, G_delta: 6.961, G_grad: 0.386, G_delta_grad: 0.084, G_lap: 0.312, G_ssim: 0.701, G_stats: 0.117, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.011

[Rank 0] (epoch: 5, iters: 240, time: 0.762, data: 0.518) , G_GAN: 1.017, G_L1: 0.514, G_delta_bg: 0.153, G_delta: 5.016, G_grad: 0.600, G_delta_grad: 0.305, G_lap: 0.445, G_ssim: 0.240, G_stats: 0.042, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.009

