================ Training Loss (Mon Mar  9 22:31:47 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.110, data: 0.786) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.511, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.000, G_syn_mag: 0.021, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

================ Training Loss (Tue Mar 10 08:52:43 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.266, data: 0.108) , G_GAN: 0.750, G_L1: 1.059, G_delta_bg: 0.515, G_delta: 11.861, G_grad: 1.796, G_delta_grad: 1.196, G_lap: 1.655, G_ssim: 0.698, G_stats: 0.253, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.125, D_fake: 0.093

[Rank 0] (epoch: 1, iters: 200, time: 0.244, data: 0.267) , G_GAN: 0.827, G_L1: 1.994, G_delta_bg: 0.413, G_delta: 32.010, G_grad: 0.592, G_delta_grad: 0.588, G_lap: 1.029, G_ssim: 0.742, G_stats: 0.313, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.071, D_fake: 0.062

[Rank 0] (epoch: 2, iters: 60, time: 0.277, data: 0.100) , G_GAN: 1.007, G_L1: 0.879, G_delta_bg: 0.491, G_delta: 10.239, G_grad: 1.051, G_delta_grad: 0.621, G_lap: 0.997, G_ssim: 0.412, G_stats: 0.158, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.035, D_fake: 0.027

[Rank 0] (epoch: 2, iters: 160, time: 0.428, data: 0.121) , G_GAN: 0.922, G_L1: 1.000, G_delta_bg: 0.403, G_delta: 17.088, G_grad: 0.544, G_delta_grad: 0.595, G_lap: 0.515, G_ssim: 0.513, G_stats: 0.162, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.051, D_fake: 0.034

[Rank 0] (epoch: 3, iters: 20, time: 0.247, data: 0.102) , G_GAN: 0.552, G_L1: 0.983, G_delta_bg: 0.400, G_delta: 14.292, G_grad: 0.529, G_delta_grad: 0.564, G_lap: 0.529, G_ssim: 0.525, G_stats: 0.121, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.183, D_fake: 0.230

[Rank 0] (epoch: 3, iters: 120, time: 0.243, data: 0.154) , G_GAN: 0.888, G_L1: 1.005, G_delta_bg: 0.392, G_delta: 16.203, G_grad: 0.530, G_delta_grad: 0.517, G_lap: 0.474, G_ssim: 0.529, G_stats: 0.137, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.028, D_fake: 0.016

[Rank 0] (epoch: 3, iters: 220, time: 0.246, data: 0.267) , G_GAN: 1.039, G_L1: 0.912, G_delta_bg: 0.360, G_delta: 13.608, G_grad: 0.522, G_delta_grad: 0.511, G_lap: 0.493, G_ssim: 0.483, G_stats: 0.112, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.023, D_fake: 0.013

[Rank 0] (epoch: 4, iters: 80, time: 0.441, data: 0.099) , G_GAN: 0.994, G_L1: 0.541, G_delta_bg: 0.439, G_delta: 7.925, G_grad: 0.984, G_delta_grad: 0.816, G_lap: 1.074, G_ssim: 0.327, G_stats: 0.052, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.011, D_fake: 0.007

[Rank 0] (epoch: 4, iters: 180, time: 0.244, data: 0.170) , G_GAN: 0.963, G_L1: 0.796, G_delta_bg: 0.391, G_delta: 12.721, G_grad: 0.559, G_delta_grad: 0.575, G_lap: 0.406, G_ssim: 0.476, G_stats: 0.083, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.007, D_fake: 0.009

[Rank 0] (epoch: 5, iters: 40, time: 0.244, data: 0.104) , G_GAN: 0.976, G_L1: 0.849, G_delta_bg: 0.338, G_delta: 11.603, G_grad: 0.515, G_delta_grad: 0.466, G_lap: 0.466, G_ssim: 0.469, G_stats: 0.102, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.013, D_fake: 0.021

[Rank 0] (epoch: 5, iters: 140, time: 0.244, data: 0.162) , G_GAN: 0.993, G_L1: 0.883, G_delta_bg: 0.340, G_delta: 13.064, G_grad: 0.472, G_delta_grad: 0.485, G_lap: 0.623, G_ssim: 0.506, G_stats: 0.130, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.007, D_fake: 0.005

[Rank 0] (epoch: 5, iters: 240, time: 0.434, data: 0.105) , G_GAN: 0.991, G_L1: 0.928, G_delta_bg: 0.365, G_delta: 14.256, G_grad: 0.519, G_delta_grad: 0.538, G_lap: 0.427, G_ssim: 0.470, G_stats: 0.107, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.019, D_fake: 0.038

[Rank 0] (epoch: 6, iters: 100, time: 0.260, data: 0.103) , G_GAN: 0.995, G_L1: 0.406, G_delta_bg: 0.414, G_delta: 4.553, G_grad: 0.748, G_delta_grad: 0.725, G_lap: 0.923, G_ssim: 0.262, G_stats: 0.050, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.006, D_fake: 0.006

[Rank 0] (epoch: 6, iters: 200, time: 0.260, data: 0.104) , G_GAN: 1.044, G_L1: 0.973, G_delta_bg: 0.344, G_delta: 14.560, G_grad: 0.541, G_delta_grad: 0.554, G_lap: 0.438, G_ssim: 0.493, G_stats: 0.141, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.028, D_fake: 0.021

[Rank 0] (epoch: 7, iters: 60, time: 0.244, data: 0.104) , G_GAN: 0.990, G_L1: 0.502, G_delta_bg: 0.407, G_delta: 5.793, G_grad: 0.684, G_delta_grad: 0.746, G_lap: 0.814, G_ssim: 0.268, G_stats: 0.074, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.009, D_fake: 0.008

[Rank 0] (epoch: 7, iters: 160, time: 0.509, data: 0.128) , G_GAN: 0.935, G_L1: 0.730, G_delta_bg: 0.343, G_delta: 11.860, G_grad: 0.555, G_delta_grad: 0.624, G_lap: 0.400, G_ssim: 0.510, G_stats: 0.067, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.012, D_fake: 0.009

[Rank 0] (epoch: 8, iters: 20, time: 0.267, data: 0.139) , G_GAN: 0.988, G_L1: 0.724, G_delta_bg: 0.393, G_delta: 11.732, G_grad: 1.284, G_delta_grad: 1.235, G_lap: 1.129, G_ssim: 0.257, G_stats: 0.110, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.006, D_fake: 0.003

[Rank 0] (epoch: 8, iters: 120, time: 0.110, data: 0.117) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.385, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.000, G_syn_mag: 0.017, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 8, iters: 220, time: 0.254, data: 0.108) , G_GAN: 0.984, G_L1: 0.437, G_delta_bg: 0.377, G_delta: 4.951, G_grad: 0.894, G_delta_grad: 0.890, G_lap: 0.865, G_ssim: 0.257, G_stats: 0.062, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.004, D_fake: 0.003

[Rank 0] (epoch: 9, iters: 80, time: 0.429, data: 0.124) , G_GAN: 1.014, G_L1: 0.532, G_delta_bg: 0.377, G_delta: 5.681, G_grad: 1.024, G_delta_grad: 0.936, G_lap: 0.814, G_ssim: 0.313, G_stats: 0.092, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.006, D_fake: 0.002

[Rank 0] (epoch: 9, iters: 180, time: 0.112, data: 0.276) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.308, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.000, G_syn_mag: 0.028, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 10, iters: 40, time: 0.269, data: 0.123) , G_GAN: 1.008, G_L1: 0.664, G_delta_bg: 0.296, G_delta: 8.982, G_grad: 0.484, G_delta_grad: 0.451, G_lap: 0.385, G_ssim: 0.440, G_stats: 0.078, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.003, D_fake: 0.003

[Rank 0] (epoch: 10, iters: 140, time: 0.289, data: 0.110) , G_GAN: 1.021, G_L1: 0.453, G_delta_bg: 0.368, G_delta: 5.113, G_grad: 0.735, G_delta_grad: 0.735, G_lap: 0.791, G_ssim: 0.284, G_stats: 0.050, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.031, D_fake: 0.022

[Rank 0] (epoch: 10, iters: 240, time: 0.435, data: 0.369) , G_GAN: 1.005, G_L1: 0.745, G_delta_bg: 0.301, G_delta: 12.307, G_grad: 0.571, G_delta_grad: 0.650, G_lap: 0.407, G_ssim: 0.519, G_stats: 0.062, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.015, D_fake: 0.010

[Rank 0] (epoch: 11, iters: 100, time: 0.248, data: 0.335) , G_GAN: 0.986, G_L1: 0.692, G_delta_bg: 0.365, G_delta: 8.970, G_grad: 1.618, G_delta_grad: 1.039, G_lap: 1.036, G_ssim: 0.433, G_stats: 0.121, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.003, D_fake: 0.005

[Rank 0] (epoch: 11, iters: 200, time: 0.252, data: 0.174) , G_GAN: 0.991, G_L1: 0.721, G_delta_bg: 0.303, G_delta: 11.464, G_grad: 0.534, G_delta_grad: 0.581, G_lap: 0.364, G_ssim: 0.464, G_stats: 0.063, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.017, D_fake: 0.007

[Rank 0] (epoch: 12, iters: 60, time: 0.245, data: 0.224) , G_GAN: 1.037, G_L1: 0.782, G_delta_bg: 0.281, G_delta: 10.547, G_grad: 0.518, G_delta_grad: 0.480, G_lap: 0.427, G_ssim: 0.477, G_stats: 0.079, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.004

[Rank 0] (epoch: 12, iters: 160, time: 0.448, data: 0.132) , G_GAN: 1.008, G_L1: 0.661, G_delta_bg: 0.283, G_delta: 8.632, G_grad: 0.506, G_delta_grad: 0.453, G_lap: 0.389, G_ssim: 0.427, G_stats: 0.108, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.014, D_fake: 0.013

[Rank 0] (epoch: 13, iters: 20, time: 0.256, data: 0.122) , G_GAN: 0.977, G_L1: 0.597, G_delta_bg: 0.341, G_delta: 10.246, G_grad: 1.359, G_delta_grad: 1.247, G_lap: 0.718, G_ssim: 0.431, G_stats: 0.020, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.005, D_fake: 0.002

[Rank 0] (epoch: 13, iters: 120, time: 0.107, data: 0.102) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.287, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.000, G_syn_mag: 0.026, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 13, iters: 220, time: 0.255, data: 0.103) , G_GAN: 1.026, G_L1: 0.794, G_delta_bg: 0.272, G_delta: 10.751, G_grad: 0.505, G_delta_grad: 0.492, G_lap: 0.427, G_ssim: 0.468, G_stats: 0.090, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.004, D_fake: 0.003

[Rank 0] (epoch: 14, iters: 80, time: 0.301, data: 0.169) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.297, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.000, G_syn_mag: 0.027, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 14, iters: 180, time: 0.107, data: 0.101) , G_GAN: 0.000, G_L1: 0.000, G_delta_bg: 0.326, G_delta: 0.000, G_grad: 0.000, G_delta_grad: 0.000, G_lap: 0.000, G_ssim: 0.000, G_stats: 0.000, G_syn_tv: 0.000, G_syn_mag: 0.019, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 15, iters: 40, time: 0.274, data: 0.300) , G_GAN: 0.965, G_L1: 0.550, G_delta_bg: 0.270, G_delta: 7.240, G_grad: 0.477, G_delta_grad: 0.448, G_lap: 0.390, G_ssim: 0.398, G_stats: 0.078, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.043, D_fake: 0.048

[Rank 0] (epoch: 15, iters: 140, time: 0.253, data: 0.106) , G_GAN: 0.988, G_L1: 0.566, G_delta_bg: 0.328, G_delta: 5.955, G_grad: 0.975, G_delta_grad: 0.799, G_lap: 0.757, G_ssim: 0.272, G_stats: 0.130, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.008, D_fake: 0.005

