================ Training Loss (Thu Mar 12 10:15:26 2026) ================
================ Training Loss (Thu Mar 12 10:16:41 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.265, data: 0.404) , G_GAN: 0.862, G_L1: 3.140, G_delta_bg: 0.552, G_delta: 34.637, G_grad: 0.295, G_delta_grad: 0.160, G_lap: 0.473, G_ssim: 0.400, G_stats: 0.486, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.287, D_fake: 0.315

[Rank 0] (epoch: 2, iters: 80, time: 0.283, data: 0.210) , G_GAN: 0.973, G_L1: 2.840, G_delta_bg: 0.530, G_delta: 31.685, G_grad: 0.268, G_delta_grad: 0.174, G_lap: 0.393, G_ssim: 0.320, G_stats: 0.408, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.137, D_fake: 0.169

[Rank 0] (epoch: 3, iters: 60, time: 0.152, data: 0.241) , G_GAN: 0.000, G_L1: 2.666, G_delta_bg: 0.436, G_delta: 36.627, G_grad: 0.321, G_delta_grad: 0.312, G_lap: 0.301, G_ssim: 0.374, G_stats: 0.343, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 4, iters: 40, time: 0.790, data: 0.585) , G_GAN: 1.029, G_L1: 2.752, G_delta_bg: 0.456, G_delta: 31.950, G_grad: 0.369, G_delta_grad: 0.273, G_lap: 0.465, G_ssim: 0.512, G_stats: 0.500, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.054, D_fake: 0.045

[Rank 0] (epoch: 5, iters: 20, time: 0.147, data: 0.513) , G_GAN: 0.000, G_L1: 0.772, G_delta_bg: 0.437, G_delta: 12.602, G_grad: 0.426, G_delta_grad: 0.421, G_lap: 0.436, G_ssim: 0.315, G_stats: 0.100, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.000, D_fake: 0.000

[Rank 0] (epoch: 5, iters: 120, time: 0.264, data: 0.239) , G_GAN: 0.940, G_L1: 0.710, G_delta_bg: 0.397, G_delta: 12.193, G_grad: 0.403, G_delta_grad: 0.442, G_lap: 0.463, G_ssim: 0.349, G_stats: 0.075, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.030, D_fake: 0.019

[Rank 0] (epoch: 6, iters: 100, time: 0.272, data: 0.224) , G_GAN: 0.980, G_L1: 2.543, G_delta_bg: 0.359, G_delta: 29.898, G_grad: 0.345, G_delta_grad: 0.269, G_lap: 0.383, G_ssim: 0.388, G_stats: 0.507, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.024, D_fake: 0.019

[Rank 0] (epoch: 7, iters: 80, time: 0.790, data: 0.213) , G_GAN: 1.056, G_L1: 2.441, G_delta_bg: 0.343, G_delta: 30.863, G_grad: 0.337, G_delta_grad: 0.307, G_lap: 0.428, G_ssim: 0.444, G_stats: 0.471, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.026, D_fake: 0.013

[Rank 0] (epoch: 8, iters: 60, time: 0.263, data: 0.218) , G_GAN: 0.964, G_L1: 1.119, G_delta_bg: 0.323, G_delta: 18.226, G_grad: 0.424, G_delta_grad: 0.406, G_lap: 0.444, G_ssim: 0.394, G_stats: 0.115, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 0.025, D_fake: 0.029

