================ Training Loss (Tue Mar 17 09:28:31 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.391, data: 0.259) , G_GAN: 1.419, G_L1: 8.172, G_delta_bg: 0.846, G_delta: 6.343, G_grad: 0.380, G_delta_grad: 0.474, G_lap: 0.338, G_ssim: 0.778, G_stats: 0.209, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.265, D_fake: 0.635

[Rank 0] (epoch: 2, iters: 80, time: 0.391, data: 0.222) , G_GAN: 1.368, G_L1: 10.911, G_delta_bg: 0.840, G_delta: 9.216, G_grad: 0.337, G_delta_grad: 0.436, G_lap: 0.249, G_ssim: 0.785, G_stats: 0.348, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.218, D_fake: 0.545

[Rank 0] (epoch: 3, iters: 60, time: 0.399, data: 0.247) , G_GAN: 0.392, G_L1: 12.239, G_delta_bg: 0.786, G_delta: 9.325, G_grad: 0.448, G_delta_grad: 0.502, G_lap: 0.321, G_ssim: 0.952, G_stats: 0.365, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.124, D_fake: 0.452

[Rank 0] (epoch: 4, iters: 40, time: 0.908, data: 0.316) , G_GAN: 1.317, G_L1: 12.247, G_delta_bg: 0.669, G_delta: 9.958, G_grad: 0.352, G_delta_grad: 0.401, G_lap: 0.285, G_ssim: 0.860, G_stats: 0.283, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.146, D_fake: 0.478

[Rank 0] (epoch: 5, iters: 20, time: 0.394, data: 0.321) , G_GAN: 1.368, G_L1: 14.605, G_delta_bg: 0.641, G_delta: 12.316, G_grad: 0.467, G_delta_grad: 0.534, G_lap: 0.314, G_ssim: 1.054, G_stats: 0.521, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.202, D_fake: 0.510

[Rank 0] (epoch: 5, iters: 120, time: 0.425, data: 0.229) , G_GAN: 1.360, G_L1: 9.061, G_delta_bg: 0.566, G_delta: 7.673, G_grad: 0.339, G_delta_grad: 0.412, G_lap: 0.271, G_ssim: 0.775, G_stats: 0.253, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.193, D_fake: 0.488

[Rank 0] (epoch: 6, iters: 100, time: 0.391, data: 0.252) , G_GAN: 1.429, G_L1: 9.555, G_delta_bg: 0.532, G_delta: 7.945, G_grad: 0.324, G_delta_grad: 0.466, G_lap: 0.296, G_ssim: 0.775, G_stats: 0.283, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.258, D_fake: 0.555

[Rank 0] (epoch: 7, iters: 80, time: 1.005, data: 0.252) , G_GAN: 1.425, G_L1: 8.435, G_delta_bg: 0.525, G_delta: 6.562, G_grad: 0.344, G_delta_grad: 0.460, G_lap: 0.297, G_ssim: 0.733, G_stats: 0.317, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.253, D_fake: 0.544

[Rank 0] (epoch: 8, iters: 60, time: 0.409, data: 0.235) , G_GAN: 1.430, G_L1: 9.591, G_delta_bg: 0.522, G_delta: 7.731, G_grad: 0.388, G_delta_grad: 0.471, G_lap: 0.302, G_ssim: 0.871, G_stats: 0.343, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.263, D_fake: 0.541

[Rank 0] (epoch: 9, iters: 40, time: 0.388, data: 0.340) , G_GAN: 0.436, G_L1: 8.884, G_delta_bg: 0.505, G_delta: 7.137, G_grad: 0.357, G_delta_grad: 0.468, G_lap: 0.338, G_ssim: 0.733, G_stats: 0.268, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.267, D_fake: 0.555

[Rank 0] (epoch: 10, iters: 20, time: 0.407, data: 0.219) , G_GAN: 0.442, G_L1: 10.367, G_delta_bg: 0.430, G_delta: 8.342, G_grad: 0.309, G_delta_grad: 0.329, G_lap: 0.212, G_ssim: 0.692, G_stats: 0.247, G_syn_tv: 0.000, G_syn_mag: 0.000, G_syn_mask_mean: 0.000, D_real: 1.285, D_fake: 0.607

