================ Training Loss (Tue Mar  3 22:14:31 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.418, data: 0.241) , G_GAN: 0.822, G_L1: 5.454, D_real: 0.144, D_fake: 0.082

[Rank 0] (epoch: 2, iters: 80, time: 0.426, data: 0.006) , G_GAN: 1.043, G_L1: 4.952, D_real: 0.185, D_fake: 0.782

[Rank 0] (epoch: 3, iters: 60, time: 0.417, data: 0.004) , G_GAN: 0.981, G_L1: 4.776, D_real: 0.054, D_fake: 0.058

[Rank 0] (epoch: 4, iters: 40, time: 1.204, data: 0.004) , G_GAN: 0.930, G_L1: 4.306, D_real: 0.024, D_fake: 0.043

[Rank 0] (epoch: 5, iters: 20, time: 0.418, data: 0.004) , G_GAN: 0.609, G_L1: 4.273, D_real: 0.064, D_fake: 0.008

[Rank 0] (epoch: 5, iters: 120, time: 0.416, data: 0.004) , G_GAN: 1.018, G_L1: 3.880, D_real: 0.056, D_fake: 0.059

[Rank 0] (epoch: 6, iters: 100, time: 0.417, data: 0.214) , G_GAN: 1.021, G_L1: 3.536, D_real: 0.013, D_fake: 0.011

[Rank 0] (epoch: 7, iters: 80, time: 1.195, data: 0.004) , G_GAN: 0.988, G_L1: 3.809, D_real: 0.015, D_fake: 0.013

[Rank 0] (epoch: 8, iters: 60, time: 0.418, data: 0.004) , G_GAN: 0.752, G_L1: 3.426, D_real: 0.033, D_fake: 0.011

[Rank 0] (epoch: 9, iters: 40, time: 0.417, data: 0.004) , G_GAN: 1.011, G_L1: 3.894, D_real: 0.015, D_fake: 0.016

[Rank 0] (epoch: 10, iters: 20, time: 0.417, data: 0.004) , G_GAN: 1.045, G_L1: 3.541, D_real: 0.038, D_fake: 0.025

[Rank 0] (epoch: 10, iters: 120, time: 1.228, data: 0.004) , G_GAN: 0.948, G_L1: 4.025, D_real: 0.011, D_fake: 0.008

[Rank 0] (epoch: 11, iters: 100, time: 0.418, data: 0.207) , G_GAN: 1.118, G_L1: 5.627, D_real: 0.021, D_fake: 0.043

[Rank 0] (epoch: 12, iters: 80, time: 0.419, data: 0.004) , G_GAN: 0.994, G_L1: 4.237, D_real: 0.005, D_fake: 0.006

[Rank 0] (epoch: 13, iters: 60, time: 0.417, data: 0.004) , G_GAN: 1.010, G_L1: 3.318, D_real: 0.026, D_fake: 0.021

[Rank 0] (epoch: 14, iters: 40, time: 1.197, data: 0.004) , G_GAN: 1.028, G_L1: 3.380, D_real: 0.006, D_fake: 0.007

[Rank 0] (epoch: 15, iters: 20, time: 0.417, data: 0.004) , G_GAN: 0.883, G_L1: 3.606, D_real: 0.011, D_fake: 0.008

