================ Training Loss (Tue Mar  3 11:34:45 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.452, data: 0.201) , G_GAN: 0.811, G_L1: 4.880, D_real: 0.072, D_fake: 0.037

[Rank 0] (epoch: 2, iters: 80, time: 0.452, data: 0.003) , G_GAN: 0.931, G_L1: 4.903, D_real: 0.079, D_fake: 0.160

[Rank 0] (epoch: 3, iters: 60, time: 0.478, data: 0.004) , G_GAN: 0.925, G_L1: 5.252, D_real: 0.031, D_fake: 0.032

[Rank 0] (epoch: 4, iters: 40, time: 1.132, data: 0.003) , G_GAN: 0.956, G_L1: 4.421, D_real: 0.013, D_fake: 0.024

[Rank 0] (epoch: 5, iters: 20, time: 0.461, data: 0.003) , G_GAN: 0.439, G_L1: 3.666, D_real: 0.144, D_fake: 0.229

[Rank 0] (epoch: 5, iters: 120, time: 0.471, data: 0.004) , G_GAN: 1.344, G_L1: 4.909, D_real: 0.055, D_fake: 0.110

[Rank 0] (epoch: 6, iters: 100, time: 0.455, data: 0.223) , G_GAN: 0.942, G_L1: 5.766, D_real: 0.011, D_fake: 0.014

[Rank 0] (epoch: 7, iters: 80, time: 1.266, data: 0.003) , G_GAN: 0.942, G_L1: 3.725, D_real: 0.011, D_fake: 0.016

[Rank 0] (epoch: 8, iters: 60, time: 0.449, data: 0.004) , G_GAN: 1.016, G_L1: 4.490, D_real: 0.014, D_fake: 0.020

[Rank 0] (epoch: 9, iters: 40, time: 0.449, data: 0.004) , G_GAN: 1.027, G_L1: 3.596, D_real: 0.010, D_fake: 0.009

[Rank 0] (epoch: 10, iters: 20, time: 0.479, data: 0.004) , G_GAN: 0.649, G_L1: 3.383, D_real: 0.113, D_fake: 0.098

[Rank 0] (epoch: 10, iters: 120, time: 1.285, data: 0.005) , G_GAN: 1.062, G_L1: 3.437, D_real: 0.010, D_fake: 0.009

[Rank 0] (epoch: 11, iters: 100, time: 0.465, data: 0.236) , G_GAN: 0.991, G_L1: 5.250, D_real: 0.197, D_fake: 0.309

[Rank 0] (epoch: 12, iters: 80, time: 0.455, data: 0.004) , G_GAN: 1.378, G_L1: 4.055, D_real: 0.070, D_fake: 0.077

[Rank 0] (epoch: 13, iters: 60, time: 0.464, data: 0.004) , G_GAN: 0.447, G_L1: 3.735, D_real: 0.073, D_fake: 0.126

[Rank 0] (epoch: 14, iters: 40, time: 1.279, data: 0.004) , G_GAN: 0.453, G_L1: 3.491, D_real: 0.595, D_fake: 0.039

[Rank 0] (epoch: 15, iters: 20, time: 0.510, data: 0.003) , G_GAN: 0.843, G_L1: 3.749, D_real: 0.201, D_fake: 0.037

[Rank 0] (epoch: 15, iters: 120, time: 0.479, data: 0.004) , G_GAN: 0.440, G_L1: 2.892, D_real: 0.214, D_fake: 0.075

[Rank 0] (epoch: 16, iters: 100, time: 0.459, data: 0.228) , G_GAN: 0.759, G_L1: 3.725, D_real: 0.082, D_fake: 0.416

[Rank 0] (epoch: 17, iters: 80, time: 1.345, data: 0.004) , G_GAN: 0.651, G_L1: 3.232, D_real: 0.102, D_fake: 0.241

[Rank 0] (epoch: 18, iters: 60, time: 0.481, data: 0.004) , G_GAN: 0.913, G_L1: 4.021, D_real: 0.052, D_fake: 0.041

[Rank 0] (epoch: 19, iters: 40, time: 0.454, data: 0.004) , G_GAN: 0.535, G_L1: 2.832, D_real: 0.063, D_fake: 0.433

[Rank 0] (epoch: 20, iters: 20, time: 0.457, data: 0.004) , G_GAN: 0.619, G_L1: 2.631, D_real: 0.461, D_fake: 0.037

[Rank 0] (epoch: 20, iters: 120, time: 1.313, data: 0.004) , G_GAN: 0.340, G_L1: 3.577, D_real: 0.188, D_fake: 0.363

[Rank 0] (epoch: 21, iters: 100, time: 0.457, data: 0.222) , G_GAN: 0.719, G_L1: 3.382, D_real: 0.038, D_fake: 0.400

[Rank 0] (epoch: 22, iters: 80, time: 0.507, data: 0.004) , G_GAN: 0.672, G_L1: 2.736, D_real: 0.266, D_fake: 0.096

[Rank 0] (epoch: 23, iters: 60, time: 0.455, data: 0.005) , G_GAN: 1.029, G_L1: 2.761, D_real: 0.097, D_fake: 0.029

[Rank 0] (epoch: 24, iters: 40, time: 1.344, data: 0.004) , G_GAN: 0.311, G_L1: 2.697, D_real: 0.212, D_fake: 0.344

[Rank 0] (epoch: 25, iters: 20, time: 0.456, data: 0.004) , G_GAN: 1.284, G_L1: 2.707, D_real: 0.082, D_fake: 0.135

[Rank 0] (epoch: 25, iters: 120, time: 0.469, data: 0.004) , G_GAN: 0.524, G_L1: 2.523, D_real: 0.170, D_fake: 0.137

[Rank 0] (epoch: 26, iters: 100, time: 0.472, data: 0.231) , G_GAN: 0.442, G_L1: 2.997, D_real: 0.316, D_fake: 0.026

[Rank 0] (epoch: 27, iters: 80, time: 1.364, data: 0.003) , G_GAN: 0.357, G_L1: 2.277, D_real: 0.265, D_fake: 0.281

[Rank 0] (epoch: 28, iters: 60, time: 0.452, data: 0.004) , G_GAN: 0.405, G_L1: 2.207, D_real: 0.390, D_fake: 0.046

[Rank 0] (epoch: 29, iters: 40, time: 0.479, data: 0.004) , G_GAN: 0.724, G_L1: 2.387, D_real: 0.072, D_fake: 0.290

[Rank 0] (epoch: 30, iters: 20, time: 0.477, data: 0.004) , G_GAN: 0.820, G_L1: 2.830, D_real: 0.054, D_fake: 0.104

[Rank 0] (epoch: 30, iters: 120, time: 1.280, data: 0.004) , G_GAN: 0.540, G_L1: 2.558, D_real: 0.272, D_fake: 0.246

[Rank 0] (epoch: 31, iters: 100, time: 0.478, data: 0.223) , G_GAN: 0.351, G_L1: 2.327, D_real: 0.328, D_fake: 0.166

[Rank 0] (epoch: 32, iters: 80, time: 0.457, data: 0.005) , G_GAN: 0.801, G_L1: 2.049, D_real: 0.047, D_fake: 0.281

[Rank 0] (epoch: 33, iters: 60, time: 0.462, data: 0.004) , G_GAN: 0.732, G_L1: 2.052, D_real: 0.071, D_fake: 0.171

[Rank 0] (epoch: 34, iters: 40, time: 1.287, data: 0.004) , G_GAN: 0.407, G_L1: 2.054, D_real: 0.193, D_fake: 0.390

[Rank 0] (epoch: 35, iters: 20, time: 0.468, data: 0.004) , G_GAN: 0.289, G_L1: 2.012, D_real: 0.177, D_fake: 0.313

[Rank 0] (epoch: 35, iters: 120, time: 0.504, data: 0.005) , G_GAN: 0.438, G_L1: 1.999, D_real: 0.086, D_fake: 0.352

[Rank 0] (epoch: 36, iters: 100, time: 0.451, data: 0.260) , G_GAN: 0.358, G_L1: 2.202, D_real: 0.082, D_fake: 0.513

[Rank 0] (epoch: 37, iters: 80, time: 1.468, data: 0.004) , G_GAN: 0.583, G_L1: 2.049, D_real: 0.218, D_fake: 0.097

[Rank 0] (epoch: 38, iters: 60, time: 0.477, data: 0.007) , G_GAN: 0.658, G_L1: 2.333, D_real: 0.056, D_fake: 0.168

[Rank 0] (epoch: 39, iters: 40, time: 0.486, data: 0.007) , G_GAN: 0.466, G_L1: 2.196, D_real: 0.196, D_fake: 0.149

[Rank 0] (epoch: 40, iters: 20, time: 0.455, data: 0.004) , G_GAN: 0.482, G_L1: 2.169, D_real: 0.139, D_fake: 0.145

[Rank 0] (epoch: 40, iters: 120, time: 1.276, data: 0.004) , G_GAN: 0.382, G_L1: 2.066, D_real: 0.194, D_fake: 0.166

[Rank 0] (epoch: 41, iters: 100, time: 0.456, data: 0.240) , G_GAN: 0.297, G_L1: 2.131, D_real: 0.288, D_fake: 0.214

[Rank 0] (epoch: 42, iters: 80, time: 0.452, data: 0.004) , G_GAN: 0.369, G_L1: 1.975, D_real: 0.191, D_fake: 0.155

[Rank 0] (epoch: 43, iters: 60, time: 0.460, data: 0.004) , G_GAN: 0.456, G_L1: 1.972, D_real: 0.217, D_fake: 0.253

[Rank 0] (epoch: 44, iters: 40, time: 1.310, data: 0.004) , G_GAN: 0.404, G_L1: 2.036, D_real: 0.120, D_fake: 0.258

[Rank 0] (epoch: 45, iters: 20, time: 0.453, data: 0.004) , G_GAN: 0.488, G_L1: 1.991, D_real: 0.160, D_fake: 0.319

[Rank 0] (epoch: 45, iters: 120, time: 0.458, data: 0.003) , G_GAN: 0.230, G_L1: 1.863, D_real: 0.291, D_fake: 0.062

[Rank 0] (epoch: 46, iters: 100, time: 0.466, data: 0.233) , G_GAN: 0.314, G_L1: 2.010, D_real: 0.231, D_fake: 0.200

[Rank 0] (epoch: 47, iters: 80, time: 1.334, data: 0.004) , G_GAN: 0.491, G_L1: 2.060, D_real: 0.287, D_fake: 0.102

[Rank 0] (epoch: 48, iters: 60, time: 0.479, data: 0.004) , G_GAN: 0.117, G_L1: 2.110, D_real: 0.346, D_fake: 0.042

[Rank 0] (epoch: 49, iters: 40, time: 0.453, data: 0.004) , G_GAN: 0.289, G_L1: 1.987, D_real: 0.256, D_fake: 0.402

[Rank 0] (epoch: 50, iters: 20, time: 0.458, data: 0.004) , G_GAN: 0.784, G_L1: 1.767, D_real: 0.154, D_fake: 0.257

[Rank 0] (epoch: 50, iters: 120, time: 1.273, data: 0.004) , G_GAN: 0.263, G_L1: 1.636, D_real: 0.273, D_fake: 0.233

[Rank 0] (epoch: 51, iters: 100, time: 0.480, data: 0.231) , G_GAN: 0.266, G_L1: 1.845, D_real: 0.251, D_fake: 0.228

[Rank 0] (epoch: 52, iters: 80, time: 0.464, data: 0.004) , G_GAN: 0.276, G_L1: 1.690, D_real: 0.223, D_fake: 0.389

[Rank 0] (epoch: 53, iters: 60, time: 0.481, data: 0.006) , G_GAN: 0.392, G_L1: 1.890, D_real: 0.307, D_fake: 0.158

[Rank 0] (epoch: 54, iters: 40, time: 1.245, data: 0.004) , G_GAN: 0.900, G_L1: 2.005, D_real: 0.018, D_fake: 0.017

[Rank 0] (epoch: 55, iters: 20, time: 0.499, data: 0.004) , G_GAN: 0.782, G_L1: 2.016, D_real: 0.024, D_fake: 0.068

[Rank 0] (epoch: 55, iters: 120, time: 0.451, data: 0.004) , G_GAN: 0.392, G_L1: 1.841, D_real: 0.146, D_fake: 0.468

[Rank 0] (epoch: 56, iters: 100, time: 0.463, data: 0.229) , G_GAN: 0.510, G_L1: 1.798, D_real: 0.120, D_fake: 0.141

