================ Training Loss (Tue Mar  3 09:14:31 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 1.305, data: 0.146) , G_GAN: 0.396, G_L1: 0.663, D_real: 0.213, D_fake: 0.187, G_FM: 8.844

[Rank 0] (epoch: 2, iters: 80, time: 1.206, data: 0.003) , G_GAN: 0.529, G_L1: 0.978, D_real: 0.112, D_fake: 0.140, G_FM: 12.461

[Rank 0] (epoch: 3, iters: 60, time: 1.231, data: 0.003) , G_GAN: 0.706, G_L1: 0.792, D_real: 0.091, D_fake: 0.056, G_FM: 12.200

[Rank 0] (epoch: 4, iters: 40, time: 1.946, data: 0.003) , G_GAN: 0.713, G_L1: 0.674, D_real: 0.084, D_fake: 0.086, G_FM: 12.330

[Rank 0] (epoch: 5, iters: 20, time: 1.198, data: 0.003) , G_GAN: 0.643, G_L1: 0.771, D_real: 0.127, D_fake: 0.083, G_FM: 11.954

[Rank 0] (epoch: 5, iters: 120, time: 1.236, data: 0.003) , G_GAN: 0.902, G_L1: 0.603, D_real: 0.066, D_fake: 0.255, G_FM: 12.984

[Rank 0] (epoch: 6, iters: 100, time: 1.245, data: 0.184) , G_GAN: 0.764, G_L1: 0.615, D_real: 0.063, D_fake: 0.039, G_FM: 13.262

[Rank 0] (epoch: 7, iters: 80, time: 2.172, data: 0.005) , G_GAN: 1.024, G_L1: 0.675, D_real: 0.113, D_fake: 0.165, G_FM: 15.193

[Rank 0] (epoch: 8, iters: 60, time: 1.247, data: 0.004) , G_GAN: 0.719, G_L1: 0.601, D_real: 0.036, D_fake: 0.035, G_FM: 14.750

[Rank 0] (epoch: 9, iters: 40, time: 1.218, data: 0.003) , G_GAN: 0.792, G_L1: 0.593, D_real: 0.043, D_fake: 0.031, G_FM: 15.439

[Rank 0] (epoch: 10, iters: 20, time: 0.622, data: 0.003) , G_GAN: 0.892, G_L1: 0.641, D_real: 0.025, D_fake: 0.017, G_FM: 16.314

[Rank 0] (epoch: 10, iters: 120, time: 1.321, data: 0.003) , G_GAN: 0.921, G_L1: 0.638, D_real: 0.048, D_fake: 0.029, G_FM: 16.677

[Rank 0] (epoch: 11, iters: 100, time: 0.588, data: 0.146) , G_GAN: 0.836, G_L1: 0.568, D_real: 0.029, D_fake: 0.012, G_FM: 16.117

[Rank 0] (epoch: 12, iters: 80, time: 0.589, data: 0.003) , G_GAN: 0.765, G_L1: 0.589, D_real: 0.063, D_fake: 0.023, G_FM: 16.171

[Rank 0] (epoch: 13, iters: 60, time: 0.588, data: 0.003) , G_GAN: 0.747, G_L1: 0.798, D_real: 0.203, D_fake: 0.155, G_FM: 18.541

[Rank 0] (epoch: 14, iters: 40, time: 1.340, data: 0.003) , G_GAN: 0.891, G_L1: 0.672, D_real: 0.078, D_fake: 0.040, G_FM: 18.041

[Rank 0] (epoch: 15, iters: 20, time: 0.586, data: 0.003) , G_GAN: 0.667, G_L1: 0.793, D_real: 0.059, D_fake: 0.039, G_FM: 19.810

[Rank 0] (epoch: 15, iters: 120, time: 0.620, data: 0.003) , G_GAN: 1.113, G_L1: 0.668, D_real: 0.069, D_fake: 0.117, G_FM: 18.732

[Rank 0] (epoch: 16, iters: 100, time: 0.586, data: 0.176) , G_GAN: 0.970, G_L1: 0.659, D_real: 0.042, D_fake: 0.034, G_FM: 18.091

[Rank 0] (epoch: 17, iters: 80, time: 1.351, data: 0.003) , G_GAN: 0.898, G_L1: 0.535, D_real: 0.055, D_fake: 0.062, G_FM: 17.317

