================ Training Loss (Sat Feb 28 12:32:14 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.612, data: 0.196) , G_GAN: 0.293, G_L1: 0.951, D_real: 0.291, D_fake: 0.323, G_FM: 14.804

[Rank 0] (epoch: 2, iters: 89, time: 0.654, data: 0.004) , G_GAN: 0.327, G_L1: 0.898, D_real: 0.208, D_fake: 0.235, G_FM: 14.469

[Rank 0] (epoch: 3, iters: 78, time: 0.602, data: 0.004) , G_GAN: 0.674, G_L1: 1.206, D_real: 0.129, D_fake: 0.206, G_FM: 14.586

[Rank 0] (epoch: 4, iters: 67, time: 1.221, data: 0.004) , G_GAN: 1.108, G_L1: 1.231, D_real: 0.174, D_fake: 0.265, G_FM: 15.943

[Rank 0] (epoch: 5, iters: 56, time: 0.602, data: 0.004) , G_GAN: 1.402, G_L1: 0.840, D_real: 0.236, D_fake: 0.632, G_FM: 14.339

[Rank 0] (epoch: 6, iters: 45, time: 0.602, data: 0.004) , G_GAN: 0.272, G_L1: 0.972, D_real: 0.505, D_fake: 0.095, G_FM: 12.764

[Rank 0] (epoch: 7, iters: 34, time: 0.602, data: 0.004) , G_GAN: 0.435, G_L1: 0.649, D_real: 0.081, D_fake: 0.294, G_FM: 11.174

[Rank 0] (epoch: 8, iters: 23, time: 1.308, data: 0.004) , G_GAN: 0.691, G_L1: 0.757, D_real: 0.119, D_fake: 0.174, G_FM: 15.707

[Rank 0] (epoch: 9, iters: 12, time: 0.602, data: 0.004) , G_GAN: 0.521, G_L1: 0.880, D_real: 0.127, D_fake: 0.272, G_FM: 17.540

[Rank 0] (epoch: 10, iters: 1, time: 0.388, data: 0.004) , G_GAN: 0.693, G_L1: 0.852, D_real: 0.098, D_fake: 0.216, G_FM: 14.178

[Rank 0] (epoch: 10, iters: 101, time: 0.602, data: 0.004) , G_GAN: 0.737, G_L1: 0.792, D_real: 0.045, D_fake: 0.184, G_FM: 17.951

[Rank 0] (epoch: 11, iters: 90, time: 1.292, data: 0.004) , G_GAN: 0.449, G_L1: 0.699, D_real: 0.091, D_fake: 0.382, G_FM: 14.690

[Rank 0] (epoch: 12, iters: 79, time: 0.602, data: 0.004) , G_GAN: 0.531, G_L1: 0.782, D_real: 0.085, D_fake: 0.237, G_FM: 15.056

[Rank 0] (epoch: 13, iters: 68, time: 0.602, data: 0.003) , G_GAN: 0.452, G_L1: 0.799, D_real: 0.364, D_fake: 0.334, G_FM: 15.392

[Rank 0] (epoch: 14, iters: 57, time: 0.602, data: 0.004) , G_GAN: 0.445, G_L1: 0.758, D_real: 0.203, D_fake: 0.181, G_FM: 15.011

[Rank 0] (epoch: 15, iters: 46, time: 1.310, data: 0.004) , G_GAN: 0.361, G_L1: 0.605, D_real: 0.186, D_fake: 0.070, G_FM: 15.795

[Rank 0] (epoch: 16, iters: 35, time: 0.601, data: 0.004) , G_GAN: 0.416, G_L1: 0.673, D_real: 0.148, D_fake: 0.158, G_FM: 17.064

[Rank 0] (epoch: 17, iters: 24, time: 0.602, data: 0.004) , G_GAN: 0.487, G_L1: 0.661, D_real: 0.165, D_fake: 0.042, G_FM: 17.644

[Rank 0] (epoch: 18, iters: 13, time: 0.603, data: 0.003) , G_GAN: 1.182, G_L1: 0.540, D_real: 0.230, D_fake: 0.408, G_FM: 17.676

[Rank 0] (epoch: 19, iters: 2, time: 1.367, data: 0.003) , G_GAN: 0.470, G_L1: 0.718, D_real: 0.187, D_fake: 0.061, G_FM: 18.297

[Rank 0] (epoch: 19, iters: 102, time: 0.602, data: 0.004) , G_GAN: 0.717, G_L1: 0.629, D_real: 0.084, D_fake: 0.046, G_FM: 21.148

[Rank 0] (epoch: 20, iters: 91, time: 0.602, data: 0.003) , G_GAN: 0.567, G_L1: 0.511, D_real: 0.185, D_fake: 0.040, G_FM: 19.058

[Rank 0] (epoch: 21, iters: 80, time: 0.602, data: 0.004) , G_GAN: 0.740, G_L1: 0.567, D_real: 0.098, D_fake: 0.062, G_FM: 19.792

[Rank 0] (epoch: 22, iters: 69, time: 1.319, data: 0.004) , G_GAN: 0.870, G_L1: 0.593, D_real: 0.037, D_fake: 0.093, G_FM: 19.483

[Rank 0] (epoch: 23, iters: 58, time: 0.602, data: 0.004) , G_GAN: 0.820, G_L1: 0.528, D_real: 0.054, D_fake: 0.042, G_FM: 19.084

[Rank 0] (epoch: 24, iters: 47, time: 0.602, data: 0.004) , G_GAN: 0.466, G_L1: 0.613, D_real: 0.332, D_fake: 0.059, G_FM: 19.865

[Rank 0] (epoch: 25, iters: 36, time: 0.602, data: 0.004) , G_GAN: 0.538, G_L1: 0.625, D_real: 0.136, D_fake: 0.041, G_FM: 23.253

[Rank 0] (epoch: 26, iters: 25, time: 1.306, data: 0.004) , G_GAN: 1.113, G_L1: 0.612, D_real: 0.088, D_fake: 0.209, G_FM: 18.712

[Rank 0] (epoch: 27, iters: 14, time: 0.602, data: 0.004) , G_GAN: 0.819, G_L1: 0.634, D_real: 0.099, D_fake: 0.053, G_FM: 18.287

[Rank 0] (epoch: 28, iters: 3, time: 0.603, data: 0.004) , G_GAN: 0.277, G_L1: 0.933, D_real: 0.265, D_fake: 0.253, G_FM: 16.515

[Rank 0] (epoch: 28, iters: 103, time: 0.602, data: 0.004) , G_GAN: 0.301, G_L1: 0.550, D_real: 0.237, D_fake: 0.212, G_FM: 12.394

[Rank 0] (epoch: 29, iters: 92, time: 1.290, data: 0.004) , G_GAN: 0.595, G_L1: 0.655, D_real: 0.308, D_fake: 0.377, G_FM: 13.542

[Rank 0] (epoch: 30, iters: 81, time: 0.602, data: 0.004) , G_GAN: 0.661, G_L1: 0.605, D_real: 0.285, D_fake: 0.077, G_FM: 17.078

[Rank 0] (epoch: 31, iters: 70, time: 0.602, data: 0.004) , G_GAN: 1.287, G_L1: 0.514, D_real: 0.037, D_fake: 0.185, G_FM: 18.484

[Rank 0] (epoch: 32, iters: 59, time: 0.602, data: 0.004) , G_GAN: 0.459, G_L1: 0.608, D_real: 0.139, D_fake: 0.016, G_FM: 18.425

[Rank 0] (epoch: 33, iters: 48, time: 1.315, data: 0.004) , G_GAN: 0.839, G_L1: 0.576, D_real: 0.022, D_fake: 0.246, G_FM: 15.272

[Rank 0] (epoch: 34, iters: 37, time: 0.602, data: 0.004) , G_GAN: 0.597, G_L1: 0.453, D_real: 0.092, D_fake: 0.111, G_FM: 18.368

[Rank 0] (epoch: 35, iters: 26, time: 0.602, data: 0.003) , G_GAN: 0.388, G_L1: 0.530, D_real: 0.073, D_fake: 0.058, G_FM: 16.528

[Rank 0] (epoch: 36, iters: 15, time: 0.602, data: 0.005) , G_GAN: 0.454, G_L1: 0.549, D_real: 0.222, D_fake: 0.025, G_FM: 19.714

[Rank 0] (epoch: 37, iters: 4, time: 1.290, data: 0.005) , G_GAN: 0.336, G_L1: 0.514, D_real: 0.234, D_fake: 0.057, G_FM: 19.984

[Rank 0] (epoch: 37, iters: 104, time: 0.599, data: 0.005) , G_GAN: 0.645, G_L1: 0.516, D_real: 0.119, D_fake: 0.035, G_FM: 18.499

[Rank 0] (epoch: 38, iters: 93, time: 0.602, data: 0.004) , G_GAN: 1.204, G_L1: 0.620, D_real: 0.042, D_fake: 0.051, G_FM: 17.785

[Rank 0] (epoch: 39, iters: 82, time: 0.602, data: 0.004) , G_GAN: 0.264, G_L1: 0.434, D_real: 0.329, D_fake: 0.028, G_FM: 17.710

[Rank 0] (epoch: 40, iters: 71, time: 1.325, data: 0.004) , G_GAN: 0.893, G_L1: 0.452, D_real: 0.086, D_fake: 0.055, G_FM: 19.097

[Rank 0] (epoch: 41, iters: 60, time: 0.602, data: 0.003) , G_GAN: 1.049, G_L1: 0.453, D_real: 0.022, D_fake: 0.062, G_FM: 18.444

[Rank 0] (epoch: 42, iters: 49, time: 0.602, data: 0.004) , G_GAN: 0.995, G_L1: 0.431, D_real: 0.030, D_fake: 0.028, G_FM: 19.620

[Rank 0] (epoch: 43, iters: 38, time: 0.602, data: 0.004) , G_GAN: 1.056, G_L1: 0.519, D_real: 0.055, D_fake: 0.095, G_FM: 16.465

