================ Training Loss (Tue Feb 24 10:25:23 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.370, data: 0.119) , G_GAN: 0.309, G_L1: 14.697, D_real: 0.263, D_fake: 0.298

[Rank 0] (epoch: 2, iters: 60, time: 0.378, data: 0.003) , G_GAN: 0.366, G_L1: 11.313, D_real: 0.287, D_fake: 0.261

[Rank 0] (epoch: 3, iters: 20, time: 0.372, data: 0.003) , G_GAN: 0.343, G_L1: 10.883, D_real: 0.198, D_fake: 0.233

[Rank 0] (epoch: 3, iters: 120, time: 1.100, data: 0.002) , G_GAN: 1.767, G_L1: 11.198, D_real: 0.759, D_fake: 0.749

[Rank 0] (epoch: 4, iters: 80, time: 0.371, data: 0.003) , G_GAN: 0.342, G_L1: 10.293, D_real: 0.237, D_fake: 0.169

[Rank 0] (epoch: 5, iters: 40, time: 0.370, data: 0.003) , G_GAN: 0.851, G_L1: 8.752, D_real: 0.264, D_fake: 0.112

[Rank 0] (epoch: 5, iters: 140, time: 0.371, data: 0.003) , G_GAN: 0.711, G_L1: 8.870, D_real: 0.196, D_fake: 0.239

[Rank 0] (epoch: 6, iters: 100, time: 1.111, data: 0.130) , G_GAN: 0.649, G_L1: 8.629, D_real: 0.122, D_fake: 0.069

[Rank 0] (epoch: 7, iters: 60, time: 0.370, data: 0.003) , G_GAN: 0.463, G_L1: 9.111, D_real: 0.190, D_fake: 0.243

[Rank 0] (epoch: 8, iters: 20, time: 0.371, data: 0.003) , G_GAN: 0.697, G_L1: 8.432, D_real: 0.034, D_fake: 0.205

[Rank 0] (epoch: 8, iters: 120, time: 0.370, data: 0.003) , G_GAN: 0.484, G_L1: 7.917, D_real: 0.130, D_fake: 0.062

[Rank 0] (epoch: 9, iters: 80, time: 1.121, data: 0.003) , G_GAN: 0.473, G_L1: 7.903, D_real: 0.145, D_fake: 0.115

[Rank 0] (epoch: 10, iters: 40, time: 0.371, data: 0.003) , G_GAN: 0.810, G_L1: 9.909, D_real: 0.176, D_fake: 0.055

[Rank 0] (epoch: 10, iters: 140, time: 0.389, data: 0.003) , G_GAN: 0.406, G_L1: 8.409, D_real: 0.183, D_fake: 0.181

[Rank 0] (epoch: 11, iters: 100, time: 0.370, data: 0.126) , G_GAN: 0.713, G_L1: 12.037, D_real: 0.060, D_fake: 0.233

[Rank 0] (epoch: 12, iters: 60, time: 1.110, data: 0.003) , G_GAN: 0.690, G_L1: 7.683, D_real: 0.175, D_fake: 0.146

[Rank 0] (epoch: 13, iters: 20, time: 0.371, data: 0.003) , G_GAN: 0.777, G_L1: 6.845, D_real: 0.081, D_fake: 0.160

[Rank 0] (epoch: 13, iters: 120, time: 0.385, data: 0.003) , G_GAN: 0.666, G_L1: 8.345, D_real: 0.111, D_fake: 0.206

[Rank 0] (epoch: 14, iters: 80, time: 0.377, data: 0.003) , G_GAN: 0.891, G_L1: 7.324, D_real: 0.096, D_fake: 0.025

[Rank 0] (epoch: 15, iters: 40, time: 1.110, data: 0.003) , G_GAN: 1.020, G_L1: 8.326, D_real: 0.065, D_fake: 0.039

[Rank 0] (epoch: 15, iters: 140, time: 0.371, data: 0.002) , G_GAN: 0.915, G_L1: 7.715, D_real: 0.036, D_fake: 0.180

[Rank 0] (epoch: 16, iters: 100, time: 0.371, data: 0.126) , G_GAN: 0.500, G_L1: 6.588, D_real: 0.422, D_fake: 0.124

[Rank 0] (epoch: 17, iters: 60, time: 0.371, data: 0.003) , G_GAN: 0.645, G_L1: 8.561, D_real: 0.029, D_fake: 0.358

[Rank 0] (epoch: 18, iters: 20, time: 1.127, data: 0.003) , G_GAN: 0.698, G_L1: 7.048, D_real: 0.122, D_fake: 0.427

[Rank 0] (epoch: 18, iters: 120, time: 0.385, data: 0.003) , G_GAN: 0.682, G_L1: 6.966, D_real: 0.114, D_fake: 0.135

[Rank 0] (epoch: 19, iters: 80, time: 0.406, data: 0.004) , G_GAN: 0.677, G_L1: 7.022, D_real: 0.104, D_fake: 0.210

[Rank 0] (epoch: 20, iters: 40, time: 0.391, data: 0.003) , G_GAN: 0.793, G_L1: 8.812, D_real: 0.038, D_fake: 0.139

[Rank 0] (epoch: 20, iters: 140, time: 1.153, data: 0.003) , G_GAN: 0.657, G_L1: 7.279, D_real: 0.120, D_fake: 0.337

[Rank 0] (epoch: 21, iters: 100, time: 0.371, data: 0.134) , G_GAN: 0.814, G_L1: 5.661, D_real: 0.339, D_fake: 0.254

[Rank 0] (epoch: 22, iters: 60, time: 0.383, data: 0.003) , G_GAN: 0.651, G_L1: 7.783, D_real: 0.140, D_fake: 0.136

[Rank 0] (epoch: 23, iters: 20, time: 0.371, data: 0.003) , G_GAN: 0.628, G_L1: 6.692, D_real: 0.071, D_fake: 0.245

[Rank 0] (epoch: 23, iters: 120, time: 1.166, data: 0.003) , G_GAN: 0.562, G_L1: 5.460, D_real: 0.158, D_fake: 0.304

[Rank 0] (epoch: 24, iters: 80, time: 0.373, data: 0.003) , G_GAN: 0.602, G_L1: 5.935, D_real: 0.175, D_fake: 0.138

[Rank 0] (epoch: 25, iters: 40, time: 0.373, data: 0.003) , G_GAN: 0.614, G_L1: 6.014, D_real: 0.489, D_fake: 0.141

[Rank 0] (epoch: 25, iters: 140, time: 0.371, data: 0.003) , G_GAN: 0.400, G_L1: 6.610, D_real: 0.224, D_fake: 0.024

[Rank 0] (epoch: 26, iters: 100, time: 1.236, data: 0.134) , G_GAN: 0.501, G_L1: 6.399, D_real: 0.122, D_fake: 0.220

[Rank 0] (epoch: 27, iters: 60, time: 0.376, data: 0.004) , G_GAN: 0.719, G_L1: 6.876, D_real: 0.113, D_fake: 0.170

[Rank 0] (epoch: 28, iters: 20, time: 0.373, data: 0.003) , G_GAN: 0.899, G_L1: 6.295, D_real: 0.028, D_fake: 0.099

[Rank 0] (epoch: 28, iters: 120, time: 0.371, data: 0.003) , G_GAN: 0.552, G_L1: 6.092, D_real: 0.294, D_fake: 0.234

[Rank 0] (epoch: 29, iters: 80, time: 1.152, data: 0.003) , G_GAN: 0.805, G_L1: 5.228, D_real: 0.092, D_fake: 0.125

[Rank 0] (epoch: 30, iters: 40, time: 0.371, data: 0.003) , G_GAN: 0.744, G_L1: 5.210, D_real: 0.175, D_fake: 0.377

[Rank 0] (epoch: 30, iters: 140, time: 0.371, data: 0.003) , G_GAN: 0.679, G_L1: 5.064, D_real: 0.105, D_fake: 0.124

[Rank 0] (epoch: 31, iters: 100, time: 0.397, data: 0.136) , G_GAN: 0.308, G_L1: 4.480, D_real: 0.317, D_fake: 0.054

[Rank 0] (epoch: 32, iters: 60, time: 1.146, data: 0.003) , G_GAN: 0.844, G_L1: 4.969, D_real: 0.067, D_fake: 0.124

[Rank 0] (epoch: 33, iters: 20, time: 0.380, data: 0.003) , G_GAN: 0.537, G_L1: 5.590, D_real: 0.059, D_fake: 0.280

[Rank 0] (epoch: 33, iters: 120, time: 0.397, data: 0.003) , G_GAN: 0.696, G_L1: 5.921, D_real: 0.148, D_fake: 0.181

[Rank 0] (epoch: 34, iters: 80, time: 0.371, data: 0.003) , G_GAN: 0.412, G_L1: 5.265, D_real: 0.094, D_fake: 0.183

[Rank 0] (epoch: 35, iters: 40, time: 1.117, data: 0.002) , G_GAN: 0.560, G_L1: 5.278, D_real: 0.084, D_fake: 0.331

[Rank 0] (epoch: 35, iters: 140, time: 0.371, data: 0.002) , G_GAN: 1.397, G_L1: 4.857, D_real: 0.207, D_fake: 1.192

[Rank 0] (epoch: 36, iters: 100, time: 0.371, data: 0.129) , G_GAN: 0.539, G_L1: 4.821, D_real: 0.209, D_fake: 0.145

[Rank 0] (epoch: 37, iters: 60, time: 0.372, data: 0.002) , G_GAN: 0.641, G_L1: 4.364, D_real: 0.320, D_fake: 0.429

[Rank 0] (epoch: 38, iters: 20, time: 1.154, data: 0.004) , G_GAN: 0.256, G_L1: 4.393, D_real: 0.242, D_fake: 0.168

[Rank 0] (epoch: 38, iters: 120, time: 0.371, data: 0.003) , G_GAN: 0.477, G_L1: 5.665, D_real: 0.254, D_fake: 0.077

[Rank 0] (epoch: 39, iters: 80, time: 0.380, data: 0.003) , G_GAN: 0.539, G_L1: 4.849, D_real: 0.117, D_fake: 0.208

[Rank 0] (epoch: 40, iters: 40, time: 0.371, data: 0.003) , G_GAN: 0.665, G_L1: 4.733, D_real: 0.131, D_fake: 0.192

[Rank 0] (epoch: 40, iters: 140, time: 1.139, data: 0.003) , G_GAN: 0.464, G_L1: 4.557, D_real: 0.149, D_fake: 0.117

[Rank 0] (epoch: 41, iters: 100, time: 0.370, data: 0.128) , G_GAN: 0.051, G_L1: 4.572, D_real: 0.492, D_fake: 0.049

[Rank 0] (epoch: 42, iters: 60, time: 0.370, data: 0.003) , G_GAN: 0.232, G_L1: 4.678, D_real: 0.388, D_fake: 0.109

[Rank 0] (epoch: 43, iters: 20, time: 0.370, data: 0.003) , G_GAN: 1.106, G_L1: 5.189, D_real: 0.099, D_fake: 0.382

[Rank 0] (epoch: 43, iters: 120, time: 1.142, data: 0.002) , G_GAN: 0.332, G_L1: 5.182, D_real: 0.185, D_fake: 0.062

[Rank 0] (epoch: 44, iters: 80, time: 0.370, data: 0.003) , G_GAN: 0.311, G_L1: 4.571, D_real: 0.579, D_fake: 0.047

[Rank 0] (epoch: 45, iters: 40, time: 0.371, data: 0.003) , G_GAN: 0.559, G_L1: 5.466, D_real: 0.239, D_fake: 0.045

[Rank 0] (epoch: 45, iters: 140, time: 0.371, data: 0.003) , G_GAN: 0.890, G_L1: 4.639, D_real: 0.057, D_fake: 0.241

[Rank 0] (epoch: 46, iters: 100, time: 1.153, data: 0.132) , G_GAN: 0.315, G_L1: 4.665, D_real: 0.658, D_fake: 0.183

[Rank 0] (epoch: 47, iters: 60, time: 0.370, data: 0.003) , G_GAN: 0.577, G_L1: 4.524, D_real: 0.042, D_fake: 0.672

[Rank 0] (epoch: 48, iters: 20, time: 0.371, data: 0.002) , G_GAN: 0.498, G_L1: 4.387, D_real: 0.113, D_fake: 0.226

[Rank 0] (epoch: 48, iters: 120, time: 0.377, data: 0.003) , G_GAN: 0.280, G_L1: 4.048, D_real: 0.152, D_fake: 0.106

[Rank 0] (epoch: 49, iters: 80, time: 1.125, data: 0.003) , G_GAN: 0.710, G_L1: 4.328, D_real: 0.072, D_fake: 0.308

[Rank 0] (epoch: 50, iters: 40, time: 0.374, data: 0.003) , G_GAN: 0.567, G_L1: 3.930, D_real: 0.094, D_fake: 0.203

[Rank 0] (epoch: 50, iters: 140, time: 0.372, data: 0.003) , G_GAN: 0.256, G_L1: 4.388, D_real: 0.348, D_fake: 0.304

[Rank 0] (epoch: 51, iters: 100, time: 0.371, data: 0.130) , G_GAN: 0.734, G_L1: 4.387, D_real: 0.089, D_fake: 0.208

[Rank 0] (epoch: 52, iters: 60, time: 1.126, data: 0.003) , G_GAN: 0.305, G_L1: 4.031, D_real: 0.104, D_fake: 0.275

[Rank 0] (epoch: 53, iters: 20, time: 0.371, data: 0.003) , G_GAN: 0.143, G_L1: 5.049, D_real: 0.501, D_fake: 0.026

[Rank 0] (epoch: 53, iters: 120, time: 0.383, data: 0.003) , G_GAN: 0.518, G_L1: 4.703, D_real: 0.242, D_fake: 0.069

[Rank 0] (epoch: 54, iters: 80, time: 0.396, data: 0.002) , G_GAN: 0.664, G_L1: 3.888, D_real: 0.181, D_fake: 0.175

================ Training Loss (Tue Feb 24 11:01:55 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.370, data: 0.125) , G_GAN: 0.504, G_L1: 11.047, D_real: 0.383, D_fake: 0.337

[Rank 0] (epoch: 2, iters: 60, time: 0.375, data: 0.003) , G_GAN: 0.324, G_L1: 10.598, D_real: 0.310, D_fake: 0.455

[Rank 0] (epoch: 3, iters: 20, time: 0.372, data: 0.003) , G_GAN: 0.303, G_L1: 9.215, D_real: 0.242, D_fake: 0.212

[Rank 0] (epoch: 3, iters: 120, time: 1.085, data: 0.003) , G_GAN: 0.448, G_L1: 12.022, D_real: 0.429, D_fake: 0.405

[Rank 0] (epoch: 4, iters: 80, time: 0.397, data: 0.003) , G_GAN: 0.450, G_L1: 8.342, D_real: 0.118, D_fake: 0.351

[Rank 0] (epoch: 5, iters: 40, time: 0.380, data: 0.003) , G_GAN: 0.489, G_L1: 7.867, D_real: 0.182, D_fake: 0.359

[Rank 0] (epoch: 5, iters: 140, time: 0.395, data: 0.002) , G_GAN: 0.764, G_L1: 9.298, D_real: 0.037, D_fake: 0.079

[Rank 0] (epoch: 6, iters: 100, time: 1.097, data: 0.132) , G_GAN: 0.427, G_L1: 7.642, D_real: 0.176, D_fake: 0.245

[Rank 0] (epoch: 7, iters: 60, time: 0.371, data: 0.004) , G_GAN: 1.006, G_L1: 7.731, D_real: 0.199, D_fake: 0.093

[Rank 0] (epoch: 8, iters: 20, time: 0.380, data: 0.003) , G_GAN: 0.508, G_L1: 8.117, D_real: 0.093, D_fake: 0.227

[Rank 0] (epoch: 8, iters: 120, time: 0.375, data: 0.003) , G_GAN: 0.662, G_L1: 9.186, D_real: 0.162, D_fake: 0.342

[Rank 0] (epoch: 9, iters: 80, time: 1.100, data: 0.003) , G_GAN: 0.877, G_L1: 7.800, D_real: 0.080, D_fake: 0.044

[Rank 0] (epoch: 10, iters: 40, time: 0.379, data: 0.003) , G_GAN: 0.540, G_L1: 7.330, D_real: 0.184, D_fake: 0.029

[Rank 0] (epoch: 10, iters: 140, time: 0.374, data: 0.003) , G_GAN: 0.556, G_L1: 7.750, D_real: 0.161, D_fake: 0.274

[Rank 0] (epoch: 11, iters: 100, time: 0.379, data: 0.134) , G_GAN: 0.594, G_L1: 7.387, D_real: 0.275, D_fake: 0.031

[Rank 0] (epoch: 12, iters: 60, time: 1.190, data: 0.002) , G_GAN: 0.807, G_L1: 10.027, D_real: 0.088, D_fake: 0.142

[Rank 0] (epoch: 13, iters: 20, time: 0.373, data: 0.003) , G_GAN: 0.859, G_L1: 7.203, D_real: 0.229, D_fake: 0.198

[Rank 0] (epoch: 13, iters: 120, time: 0.371, data: 0.003) , G_GAN: 0.584, G_L1: 7.051, D_real: 0.074, D_fake: 0.349

[Rank 0] (epoch: 14, iters: 80, time: 0.372, data: 0.003) , G_GAN: 0.269, G_L1: 7.679, D_real: 0.334, D_fake: 0.068

[Rank 0] (epoch: 15, iters: 40, time: 1.151, data: 0.004) , G_GAN: 0.685, G_L1: 7.853, D_real: 0.412, D_fake: 0.156

[Rank 0] (epoch: 15, iters: 140, time: 0.385, data: 0.002) , G_GAN: 0.539, G_L1: 9.232, D_real: 0.161, D_fake: 0.061

[Rank 0] (epoch: 16, iters: 100, time: 0.371, data: 0.137) , G_GAN: 0.442, G_L1: 8.059, D_real: 0.345, D_fake: 0.088

[Rank 0] (epoch: 17, iters: 60, time: 0.370, data: 0.002) , G_GAN: 0.401, G_L1: 6.585, D_real: 0.410, D_fake: 0.362

[Rank 0] (epoch: 18, iters: 20, time: 1.116, data: 0.003) , G_GAN: 1.028, G_L1: 5.669, D_real: 0.103, D_fake: 0.164

[Rank 0] (epoch: 18, iters: 120, time: 0.371, data: 0.003) , G_GAN: 0.817, G_L1: 6.926, D_real: 0.122, D_fake: 0.067

[Rank 0] (epoch: 19, iters: 80, time: 0.371, data: 0.003) , G_GAN: 0.318, G_L1: 7.135, D_real: 0.255, D_fake: 0.168

[Rank 0] (epoch: 20, iters: 40, time: 0.379, data: 0.003) , G_GAN: 0.632, G_L1: 7.274, D_real: 0.086, D_fake: 0.060

[Rank 0] (epoch: 20, iters: 140, time: 1.109, data: 0.003) , G_GAN: 0.760, G_L1: 5.987, D_real: 0.162, D_fake: 0.143

[Rank 0] (epoch: 21, iters: 100, time: 0.370, data: 0.141) , G_GAN: 0.984, G_L1: 6.780, D_real: 0.170, D_fake: 0.213

[Rank 0] (epoch: 22, iters: 60, time: 0.371, data: 0.003) , G_GAN: 0.594, G_L1: 5.919, D_real: 0.088, D_fake: 0.161

[Rank 0] (epoch: 23, iters: 20, time: 0.380, data: 0.003) , G_GAN: 0.311, G_L1: 5.383, D_real: 0.166, D_fake: 0.545

[Rank 0] (epoch: 23, iters: 120, time: 1.129, data: 0.003) , G_GAN: 0.273, G_L1: 6.208, D_real: 0.247, D_fake: 0.278

[Rank 0] (epoch: 24, iters: 80, time: 0.370, data: 0.003) , G_GAN: 0.418, G_L1: 4.474, D_real: 0.372, D_fake: 0.116

[Rank 0] (epoch: 25, iters: 40, time: 0.373, data: 0.003) , G_GAN: 0.534, G_L1: 5.632, D_real: 0.157, D_fake: 0.120

[Rank 0] (epoch: 25, iters: 140, time: 0.371, data: 0.003) , G_GAN: 0.413, G_L1: 5.020, D_real: 0.267, D_fake: 0.120

[Rank 0] (epoch: 26, iters: 100, time: 1.141, data: 0.141) , G_GAN: 0.493, G_L1: 5.072, D_real: 0.189, D_fake: 0.109

[Rank 0] (epoch: 27, iters: 60, time: 0.373, data: 0.003) , G_GAN: 0.529, G_L1: 5.032, D_real: 0.086, D_fake: 0.316

[Rank 0] (epoch: 28, iters: 20, time: 0.397, data: 0.003) , G_GAN: 0.420, G_L1: 4.839, D_real: 0.298, D_fake: 0.131

[Rank 0] (epoch: 28, iters: 120, time: 0.371, data: 0.003) , G_GAN: 0.926, G_L1: 4.684, D_real: 0.043, D_fake: 0.289

[Rank 0] (epoch: 29, iters: 80, time: 1.115, data: 0.003) , G_GAN: 0.408, G_L1: 5.155, D_real: 0.246, D_fake: 0.148

[Rank 0] (epoch: 30, iters: 40, time: 0.376, data: 0.003) , G_GAN: 0.423, G_L1: 5.157, D_real: 0.186, D_fake: 0.114

[Rank 0] (epoch: 30, iters: 140, time: 0.371, data: 0.003) , G_GAN: 0.166, G_L1: 5.416, D_real: 0.291, D_fake: 0.065

[Rank 0] (epoch: 31, iters: 100, time: 0.371, data: 0.155) , G_GAN: 0.374, G_L1: 4.846, D_real: 0.331, D_fake: 0.055

[Rank 0] (epoch: 32, iters: 60, time: 1.148, data: 0.003) , G_GAN: 0.575, G_L1: 5.257, D_real: 0.120, D_fake: 0.288

[Rank 0] (epoch: 33, iters: 20, time: 0.370, data: 0.003) , G_GAN: 0.482, G_L1: 5.468, D_real: 0.080, D_fake: 0.220

[Rank 0] (epoch: 33, iters: 120, time: 0.373, data: 0.003) , G_GAN: 0.367, G_L1: 4.865, D_real: 0.134, D_fake: 0.200

[Rank 0] (epoch: 34, iters: 80, time: 0.405, data: 0.003) , G_GAN: 0.283, G_L1: 4.749, D_real: 0.160, D_fake: 0.138

[Rank 0] (epoch: 35, iters: 40, time: 1.161, data: 0.003) , G_GAN: 0.529, G_L1: 5.843, D_real: 0.077, D_fake: 0.227

[Rank 0] (epoch: 35, iters: 140, time: 0.384, data: 0.003) , G_GAN: 0.946, G_L1: 5.636, D_real: 0.149, D_fake: 0.207

[Rank 0] (epoch: 36, iters: 100, time: 0.373, data: 0.141) , G_GAN: 0.401, G_L1: 4.333, D_real: 0.139, D_fake: 0.231

[Rank 0] (epoch: 37, iters: 60, time: 0.389, data: 0.003) , G_GAN: 0.977, G_L1: 4.677, D_real: 0.033, D_fake: 0.534

[Rank 0] (epoch: 38, iters: 20, time: 1.168, data: 0.003) , G_GAN: 0.160, G_L1: 4.927, D_real: 0.516, D_fake: 0.115

[Rank 0] (epoch: 38, iters: 120, time: 0.372, data: 0.003) , G_GAN: 1.249, G_L1: 5.838, D_real: 0.061, D_fake: 0.428

[Rank 0] (epoch: 39, iters: 80, time: 0.397, data: 0.003) , G_GAN: 0.422, G_L1: 5.301, D_real: 0.300, D_fake: 0.093

[Rank 0] (epoch: 40, iters: 40, time: 0.392, data: 0.003) , G_GAN: 0.848, G_L1: 4.637, D_real: 0.036, D_fake: 0.407

[Rank 0] (epoch: 40, iters: 140, time: 1.148, data: 0.004) , G_GAN: 0.761, G_L1: 5.004, D_real: 0.055, D_fake: 0.285

[Rank 0] (epoch: 41, iters: 100, time: 0.388, data: 0.140) , G_GAN: 0.774, G_L1: 4.522, D_real: 0.070, D_fake: 0.351

[Rank 0] (epoch: 42, iters: 60, time: 0.371, data: 0.003) , G_GAN: 0.471, G_L1: 4.571, D_real: 0.138, D_fake: 0.109

[Rank 0] (epoch: 43, iters: 20, time: 0.371, data: 0.003) , G_GAN: 0.314, G_L1: 4.763, D_real: 0.197, D_fake: 0.220

[Rank 0] (epoch: 43, iters: 120, time: 1.186, data: 0.003) , G_GAN: 0.971, G_L1: 4.712, D_real: 0.056, D_fake: 0.441

[Rank 0] (epoch: 44, iters: 80, time: 0.398, data: 0.003) , G_GAN: 0.220, G_L1: 4.659, D_real: 0.192, D_fake: 0.221

[Rank 0] (epoch: 45, iters: 40, time: 0.391, data: 0.003) , G_GAN: 0.476, G_L1: 5.348, D_real: 0.074, D_fake: 0.314

[Rank 0] (epoch: 45, iters: 140, time: 0.372, data: 0.003) , G_GAN: 0.533, G_L1: 4.020, D_real: 0.064, D_fake: 0.364

[Rank 0] (epoch: 46, iters: 100, time: 1.150, data: 0.137) , G_GAN: 0.679, G_L1: 4.238, D_real: 0.039, D_fake: 0.537

[Rank 0] (epoch: 47, iters: 60, time: 0.379, data: 0.003) , G_GAN: 0.161, G_L1: 4.877, D_real: 0.799, D_fake: 0.094

[Rank 0] (epoch: 48, iters: 20, time: 0.370, data: 0.003) , G_GAN: 0.302, G_L1: 4.676, D_real: 0.525, D_fake: 0.102

[Rank 0] (epoch: 48, iters: 120, time: 0.371, data: 0.003) , G_GAN: 0.277, G_L1: 5.080, D_real: 0.173, D_fake: 0.202

[Rank 0] (epoch: 49, iters: 80, time: 1.178, data: 0.003) , G_GAN: 0.268, G_L1: 4.707, D_real: 0.417, D_fake: 0.039

[Rank 0] (epoch: 50, iters: 40, time: 0.395, data: 0.003) , G_GAN: 0.343, G_L1: 4.092, D_real: 0.125, D_fake: 0.193

[Rank 0] (epoch: 50, iters: 140, time: 0.371, data: 0.003) , G_GAN: 0.313, G_L1: 4.224, D_real: 0.315, D_fake: 0.120

[Rank 0] (epoch: 51, iters: 100, time: 0.371, data: 0.137) , G_GAN: 0.638, G_L1: 5.592, D_real: 0.081, D_fake: 0.556

[Rank 0] (epoch: 52, iters: 60, time: 1.143, data: 0.003) , G_GAN: 0.895, G_L1: 3.984, D_real: 0.036, D_fake: 0.485

[Rank 0] (epoch: 53, iters: 20, time: 0.371, data: 0.003) , G_GAN: 0.446, G_L1: 3.752, D_real: 0.283, D_fake: 0.144

[Rank 0] (epoch: 53, iters: 120, time: 0.370, data: 0.003) , G_GAN: 0.326, G_L1: 4.330, D_real: 0.423, D_fake: 0.076

[Rank 0] (epoch: 54, iters: 80, time: 0.388, data: 0.003) , G_GAN: 0.279, G_L1: 5.252, D_real: 0.286, D_fake: 0.109

[Rank 0] (epoch: 55, iters: 40, time: 1.160, data: 0.004) , G_GAN: 0.087, G_L1: 3.888, D_real: 0.939, D_fake: 0.052

[Rank 0] (epoch: 55, iters: 140, time: 0.374, data: 0.003) , G_GAN: 0.219, G_L1: 4.043, D_real: 0.247, D_fake: 0.116

[Rank 0] (epoch: 56, iters: 100, time: 0.378, data: 0.154) , G_GAN: 0.331, G_L1: 3.837, D_real: 0.293, D_fake: 0.117

[Rank 0] (epoch: 57, iters: 60, time: 0.371, data: 0.003) , G_GAN: 0.427, G_L1: 3.956, D_real: 0.201, D_fake: 0.199

[Rank 0] (epoch: 58, iters: 20, time: 1.169, data: 0.003) , G_GAN: 0.663, G_L1: 4.138, D_real: 0.397, D_fake: 0.300

[Rank 0] (epoch: 58, iters: 120, time: 0.372, data: 0.003) , G_GAN: 0.401, G_L1: 4.324, D_real: 0.268, D_fake: 0.062

[Rank 0] (epoch: 59, iters: 80, time: 0.372, data: 0.003) , G_GAN: 0.974, G_L1: 4.129, D_real: 0.027, D_fake: 0.440

[Rank 0] (epoch: 60, iters: 40, time: 0.371, data: 0.003) , G_GAN: 0.507, G_L1: 4.585, D_real: 0.150, D_fake: 0.148

[Rank 0] (epoch: 60, iters: 140, time: 1.143, data: 0.003) , G_GAN: 0.680, G_L1: 3.984, D_real: 0.095, D_fake: 0.145

[Rank 0] (epoch: 61, iters: 100, time: 0.388, data: 0.146) , G_GAN: 0.539, G_L1: 3.988, D_real: 0.086, D_fake: 0.200

[Rank 0] (epoch: 62, iters: 60, time: 0.391, data: 0.003) , G_GAN: 0.434, G_L1: 4.410, D_real: 0.260, D_fake: 0.181

[Rank 0] (epoch: 63, iters: 20, time: 0.372, data: 0.003) , G_GAN: 0.686, G_L1: 3.486, D_real: 0.091, D_fake: 0.284

