================ Training Loss (Wed Feb 25 14:21:29 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.422, data: 0.190) , G_GAN: 0.353, G_L1: 8.640, D_real: 0.425, D_fake: 0.476

[Rank 0] (epoch: 2, iters: 60, time: 0.448, data: 0.003) , G_GAN: 0.357, G_L1: 6.492, D_real: 0.286, D_fake: 0.278

[Rank 0] (epoch: 3, iters: 20, time: 0.427, data: 0.003) , G_GAN: 0.371, G_L1: 7.254, D_real: 0.313, D_fake: 0.145

[Rank 0] (epoch: 3, iters: 120, time: 1.076, data: 0.004) , G_GAN: 0.728, G_L1: 10.204, D_real: 0.076, D_fake: 0.065

[Rank 0] (epoch: 4, iters: 80, time: 0.422, data: 0.003) , G_GAN: 0.683, G_L1: 5.797, D_real: 0.196, D_fake: 0.165

[Rank 0] (epoch: 5, iters: 40, time: 0.421, data: 0.004) , G_GAN: 0.906, G_L1: 6.106, D_real: 0.312, D_fake: 0.272

[Rank 0] (epoch: 5, iters: 140, time: 0.419, data: 0.005) , G_GAN: 0.995, G_L1: 7.165, D_real: 0.082, D_fake: 0.058

[Rank 0] (epoch: 6, iters: 100, time: 1.200, data: 0.235) , G_GAN: 0.974, G_L1: 6.803, D_real: 0.055, D_fake: 0.059

[Rank 0] (epoch: 7, iters: 60, time: 0.424, data: 0.003) , G_GAN: 0.309, G_L1: 5.854, D_real: 0.208, D_fake: 0.230

[Rank 0] (epoch: 8, iters: 20, time: 0.467, data: 0.004) , G_GAN: 0.809, G_L1: 5.996, D_real: 0.013, D_fake: 0.033

[Rank 0] (epoch: 8, iters: 120, time: 0.422, data: 0.004) , G_GAN: 0.961, G_L1: 6.769, D_real: 0.030, D_fake: 0.040

[Rank 0] (epoch: 9, iters: 80, time: 1.232, data: 0.004) , G_GAN: 0.822, G_L1: 4.981, D_real: 0.040, D_fake: 0.060

[Rank 0] (epoch: 10, iters: 40, time: 0.451, data: 0.004) , G_GAN: 1.038, G_L1: 5.819, D_real: 0.107, D_fake: 0.117

[Rank 0] (epoch: 10, iters: 140, time: 0.419, data: 0.004) , G_GAN: 1.144, G_L1: 6.903, D_real: 0.067, D_fake: 0.072

[Rank 0] (epoch: 11, iters: 100, time: 0.454, data: 0.213) , G_GAN: 1.022, G_L1: 5.018, D_real: 0.009, D_fake: 0.013

[Rank 0] (epoch: 12, iters: 60, time: 1.414, data: 0.004) , G_GAN: 0.935, G_L1: 5.538, D_real: 0.010, D_fake: 0.014

[Rank 0] (epoch: 13, iters: 20, time: 0.449, data: 0.005) , G_GAN: 0.742, G_L1: 4.562, D_real: 0.065, D_fake: 0.019

[Rank 0] (epoch: 13, iters: 120, time: 0.427, data: 0.004) , G_GAN: 0.911, G_L1: 5.111, D_real: 0.054, D_fake: 0.047

[Rank 0] (epoch: 14, iters: 80, time: 0.422, data: 0.003) , G_GAN: 1.034, G_L1: 5.201, D_real: 0.125, D_fake: 0.027

[Rank 0] (epoch: 15, iters: 40, time: 1.330, data: 0.004) , G_GAN: 0.264, G_L1: 4.900, D_real: 0.263, D_fake: 0.157

[Rank 0] (epoch: 15, iters: 140, time: 0.419, data: 0.004) , G_GAN: 0.981, G_L1: 4.862, D_real: 0.014, D_fake: 0.022

[Rank 0] (epoch: 16, iters: 100, time: 0.423, data: 0.212) , G_GAN: 1.153, G_L1: 6.121, D_real: 0.178, D_fake: 0.400

[Rank 0] (epoch: 17, iters: 60, time: 0.430, data: 0.004) , G_GAN: 0.877, G_L1: 4.118, D_real: 0.050, D_fake: 0.042

[Rank 0] (epoch: 18, iters: 20, time: 1.248, data: 0.004) , G_GAN: 1.046, G_L1: 5.159, D_real: 0.043, D_fake: 0.018

[Rank 0] (epoch: 18, iters: 120, time: 0.423, data: 0.003) , G_GAN: 0.546, G_L1: 3.859, D_real: 0.203, D_fake: 0.155

[Rank 0] (epoch: 19, iters: 80, time: 0.423, data: 0.004) , G_GAN: 0.731, G_L1: 3.853, D_real: 0.145, D_fake: 0.306

[Rank 0] (epoch: 20, iters: 40, time: 0.422, data: 0.004) , G_GAN: 0.911, G_L1: 4.339, D_real: 0.032, D_fake: 0.028

[Rank 0] (epoch: 20, iters: 140, time: 1.354, data: 0.004) , G_GAN: 0.470, G_L1: 3.878, D_real: 0.161, D_fake: 0.179

[Rank 0] (epoch: 21, iters: 100, time: 0.444, data: 0.224) , G_GAN: 1.116, G_L1: 5.372, D_real: 0.184, D_fake: 0.294

[Rank 0] (epoch: 22, iters: 60, time: 0.423, data: 0.004) , G_GAN: 1.200, G_L1: 4.551, D_real: 0.063, D_fake: 0.069

[Rank 0] (epoch: 23, iters: 20, time: 0.422, data: 0.003) , G_GAN: 0.998, G_L1: 5.304, D_real: 0.029, D_fake: 0.026

[Rank 0] (epoch: 23, iters: 120, time: 1.281, data: 0.004) , G_GAN: 0.359, G_L1: 4.016, D_real: 0.266, D_fake: 0.137

[Rank 0] (epoch: 24, iters: 80, time: 0.425, data: 0.005) , G_GAN: 1.037, G_L1: 3.550, D_real: 0.012, D_fake: 0.017

[Rank 0] (epoch: 25, iters: 40, time: 0.422, data: 0.004) , G_GAN: 1.011, G_L1: 4.420, D_real: 0.006, D_fake: 0.011

[Rank 0] (epoch: 25, iters: 140, time: 0.452, data: 0.004) , G_GAN: 0.547, G_L1: 3.550, D_real: 0.108, D_fake: 0.069

[Rank 0] (epoch: 26, iters: 100, time: 1.270, data: 0.213) , G_GAN: 0.349, G_L1: 2.886, D_real: 0.210, D_fake: 0.061

[Rank 0] (epoch: 27, iters: 60, time: 0.422, data: 0.003) , G_GAN: 0.968, G_L1: 3.173, D_real: 0.008, D_fake: 0.008

[Rank 0] (epoch: 28, iters: 20, time: 0.422, data: 0.004) , G_GAN: 1.160, G_L1: 4.992, D_real: 0.095, D_fake: 0.033

[Rank 0] (epoch: 28, iters: 120, time: 0.445, data: 0.003) , G_GAN: 0.979, G_L1: 3.730, D_real: 0.021, D_fake: 0.018

[Rank 0] (epoch: 29, iters: 80, time: 1.259, data: 0.004) , G_GAN: 1.070, G_L1: 4.122, D_real: 0.144, D_fake: 0.187

[Rank 0] (epoch: 30, iters: 40, time: 0.422, data: 0.003) , G_GAN: 1.000, G_L1: 4.048, D_real: 0.024, D_fake: 0.078

[Rank 0] (epoch: 30, iters: 140, time: 0.419, data: 0.004) , G_GAN: 0.904, G_L1: 3.508, D_real: 0.013, D_fake: 0.020

[Rank 0] (epoch: 31, iters: 100, time: 0.423, data: 0.214) , G_GAN: 0.851, G_L1: 3.632, D_real: 0.176, D_fake: 0.372

[Rank 0] (epoch: 32, iters: 60, time: 1.255, data: 0.004) , G_GAN: 1.052, G_L1: 5.208, D_real: 0.058, D_fake: 0.013

[Rank 0] (epoch: 33, iters: 20, time: 0.422, data: 0.004) , G_GAN: 0.948, G_L1: 3.131, D_real: 0.009, D_fake: 0.012

[Rank 0] (epoch: 33, iters: 120, time: 0.454, data: 0.004) , G_GAN: 0.948, G_L1: 2.813, D_real: 0.055, D_fake: 0.044

[Rank 0] (epoch: 34, iters: 80, time: 0.422, data: 0.004) , G_GAN: 1.097, G_L1: 3.367, D_real: 0.015, D_fake: 0.019

[Rank 0] (epoch: 35, iters: 40, time: 1.245, data: 0.004) , G_GAN: 0.915, G_L1: 2.560, D_real: 0.014, D_fake: 0.018

[Rank 0] (epoch: 35, iters: 140, time: 0.420, data: 0.004) , G_GAN: 0.905, G_L1: 3.791, D_real: 0.014, D_fake: 0.009

