================ Training Loss (Mon Mar  2 12:18:34 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.601, data: 0.191) , G_GAN: 0.389, G_L1: 1.563, D_real: 0.349, D_fake: 0.420, G_FM: 13.669

[Rank 0] (epoch: 2, iters: 60, time: 0.592, data: 0.004) , G_GAN: 0.461, G_L1: 1.212, D_real: 0.451, D_fake: 0.316, G_FM: 13.754

[Rank 0] (epoch: 3, iters: 20, time: 0.592, data: 0.004) , G_GAN: 0.304, G_L1: 1.359, D_real: 0.313, D_fake: 0.348, G_FM: 15.725

[Rank 0] (epoch: 3, iters: 120, time: 1.237, data: 0.004) , G_GAN: 0.331, G_L1: 1.083, D_real: 0.291, D_fake: 0.267, G_FM: 10.615

[Rank 0] (epoch: 4, iters: 80, time: 0.596, data: 0.004) , G_GAN: 0.310, G_L1: 1.151, D_real: 0.275, D_fake: 0.326, G_FM: 10.050

[Rank 0] (epoch: 5, iters: 40, time: 0.594, data: 0.004) , G_GAN: 0.303, G_L1: 0.987, D_real: 0.297, D_fake: 0.271, G_FM: 12.569

[Rank 0] (epoch: 5, iters: 140, time: 0.669, data: 0.004) , G_GAN: 0.418, G_L1: 1.029, D_real: 0.262, D_fake: 0.210, G_FM: 10.831

[Rank 0] (epoch: 6, iters: 100, time: 1.309, data: 0.256) , G_GAN: 0.438, G_L1: 1.055, D_real: 0.257, D_fake: 0.163, G_FM: 10.379

[Rank 0] (epoch: 7, iters: 60, time: 0.596, data: 0.004) , G_GAN: 0.344, G_L1: 0.949, D_real: 0.246, D_fake: 0.230, G_FM: 8.638

[Rank 0] (epoch: 8, iters: 20, time: 0.617, data: 0.004) , G_GAN: 0.328, G_L1: 1.381, D_real: 0.271, D_fake: 0.251, G_FM: 15.286

[Rank 0] (epoch: 8, iters: 120, time: 0.592, data: 0.004) , G_GAN: 0.348, G_L1: 1.269, D_real: 0.289, D_fake: 0.239, G_FM: 14.764

[Rank 0] (epoch: 9, iters: 80, time: 1.350, data: 0.004) , G_GAN: 0.286, G_L1: 0.941, D_real: 0.220, D_fake: 0.301, G_FM: 10.851

[Rank 0] (epoch: 10, iters: 40, time: 0.596, data: 0.004) , G_GAN: 0.401, G_L1: 1.092, D_real: 0.192, D_fake: 0.187, G_FM: 13.724

[Rank 0] (epoch: 10, iters: 140, time: 0.589, data: 0.004) , G_GAN: 0.311, G_L1: 1.138, D_real: 0.234, D_fake: 0.378, G_FM: 11.850

[Rank 0] (epoch: 11, iters: 100, time: 0.591, data: 0.228) , G_GAN: 0.332, G_L1: 0.904, D_real: 0.233, D_fake: 0.225, G_FM: 10.293

[Rank 0] (epoch: 12, iters: 60, time: 1.241, data: 0.004) , G_GAN: 0.357, G_L1: 1.048, D_real: 0.196, D_fake: 0.274, G_FM: 12.916

[Rank 0] (epoch: 13, iters: 20, time: 0.590, data: 0.004) , G_GAN: 0.260, G_L1: 0.856, D_real: 0.174, D_fake: 0.339, G_FM: 10.496

[Rank 0] (epoch: 13, iters: 120, time: 0.628, data: 0.004) , G_GAN: 0.408, G_L1: 0.829, D_real: 0.233, D_fake: 0.258, G_FM: 12.299

[Rank 0] (epoch: 14, iters: 80, time: 0.591, data: 0.004) , G_GAN: 0.320, G_L1: 0.770, D_real: 0.221, D_fake: 0.231, G_FM: 9.640

